t, kappa2d,  kappa, tau, CtrlPtsx, CtrlPtsy, CtrlPtsz, Px, Py, Pz,Tx, Ty, Tz, Nx, Ny, Nz, Bx, By, Bz
0, 0.00107936 , 0.00253288, 0.0017002, 95, 153.398, 0, 95, 153.398, 0, 0.983093, 0.182188, -0.018335, 0.0608718, -0.419611, -0.905661, -0.172694, 0.889233, -0.423606
0.0357892, 0.00109773 , 0.00267834, 0.00158332, 110.112, 156.067, 0, 110.101, 156.067, -0.5584, 0.984654, 0.165677, -0.0548451, 0.0170529, -0.4041, -0.914556, -0.173684, 0.899586, -0.400724
0.0715281, 0.00106953 , 0.00271656, 0.00150285, 125.223, 158.477, 0, 125.171, 158.477, -1.68764, 0.98443, 0.149246, -0.0928651, -0.0278312, -0.389303, -0.920689, -0.173562, 0.908938, -0.379088
0.107396, 0.00104067 , 0.00276149, 0.00143083, 140.482, 160.653, 0, 140.331, 160.653, -3.41589, 0.982315, 0.133275, -0.131512, -0.0731324, -0.373488, -0.924748, -0.172364, 0.918011, -0.357136
0.143052, 0.00102087 , 0.00282174, 0.00137539, 155.594, 162.564, 0, 155.266, 162.564, -5.72056, 0.978194, 0.117555, -0.171223, -0.118851, -0.35925, -0.925642, -0.170326, 0.925808, -0.337445
0.178848, 0.00100048 , 0.00287471, 0.00118283, 170.852, 164.251, 0, 170.239, 164.251, -8.65587, 0.972061, 0.10228, -0.211274, -0.164326, -0.3462, -0.923657, -0.167615, 0.932569, -0.31972
0.214443, 0.00098224 , 0.00292964, 0.00114374, 185.964, 165.688, 0, 184.936, 165.688, -12.1736, 0.963728, 0.0871554, -0.252255, -0.2103, -0.333964, -0.918826, -0.164325, 0.938548, -0.303522
0.250187, 0.00096784 , 0.00298838, 0.000954424, 201.222, 166.91, 0, 199.612, 166.91, -16.3489, 0.95327, 0.0724199, -0.293311, -0.255819, -0.322997, -0.911169, -0.160726, 0.943625, -0.289377
0.28574, 0.000950176 , 0.00303462, 0.000930254, 216.334, 167.895, 0, 213.955, 167.895, -21.1068, 0.940439, 0.0577942, -0.335015, -0.301661, -0.31255, -0.900729, -0.156766, 0.948141, -0.2765
0.321451, 0.000946309 , 0.00310937, 0.000902581, 231.592, 168.669, 0, 228.212, 168.669, -26.5431, 0.925338, 0.0434421, -0.376645, -0.346878, -0.304018, -0.887271, -0.153052, 0.951675, -0.26625
0.356978, 0.000922263 , 0.00314914, 0.000420484, 246.704, 169.218, 0, 242.077, 169.218, -32.5553, 0.907782, 0.029273, -0.41842, -0.392467, -0.292691, -0.871953, -0.147992, 0.955759, -0.254211
0.392497, 0.000926979 , 0.00321874, 0.00039029, 261.816, 169.555, 0, 255.651, 169.555, -39.1954, 0.887754, 0.0152517, -0.460066, -0.436732, -0.287915, -0.852273, -0.145459, 0.957535, -0.248937
0.428185, 0.000911825 , 0.00325374, 0.000404957, 277.074, 169.681, 0, 269.03, 169.681, -46.5315, 0.865275, 0.00133601, -0.501296, -0.480893, -0.280185, -0.830806, -0.141566, 0.959945, -0.241795
0.463701, 0.000909569 , 0.00331667, 0.000388766, 292.186, 169.596, 0, 281.921, 169.596, -54.4184, 0.840085, -0.0125522, -0.54231, -0.524459, -0.274166, -0.806087, -0.138564, 0.961601, -0.236905
0.499392, 0.00090464 , 0.00336661, 0.00022237, 307.444, 169.3, 0, 294.536, 169.3, -63.0021, 0.812518, -0.0262603, -0.582344, -0.566865, -0.26855, -0.77881, -0.135937, 0.962908, -0.233088
0.534917, 0.00090233 , 0.00341883, 0.000215333, 322.556, 168.798, 0, 306.596, 168.798, -72.1085, 0.782074, -0.0400434, -0.621898, -0.608609, -0.263658, -0.748385, -0.134001, 0.963785, -0.230571
0.570624, 0.000902729 , 0.00347404, 4.09817e-05, 337.814, 168.083, 0, 318.296, 168.083, -81.9021, 0.749285, -0.0536823, -0.660068, -0.648792, -0.259397, -0.715389, -0.132816, 0.964278, -0.229191
0.606171, 0.000900453 , 0.00351425, 4.00391e-05, 352.926, 167.166, 0, 329.374, 167.166, -92.1802, 0.713598, -0.0674309, -0.697303, -0.687929, -0.255574, -0.67929, -0.132408, 0.964435, -0.228765
0.641908, 0.000910985 , 0.00358593, 1.14837e-05, 368.184, 166.029, 0, 340.006, 166.029, -103.125, 0.675519, -0.0811394, -0.732864, -0.725147, -0.253128, -0.640381, -0.133549, 0.964024, -0.229831
0.677493, 0.000902115 , 0.00361793, 1.16022e-05, 383.296, 164.693, 0, 349.949, 164.693, -114.504, 0.634763, -0.0948852, -0.766859, -0.761101, -0.248133, -0.599295, -0.133419, 0.964068, -0.229723
0.713101, 0.000921489 , 0.00368147, -0.000414095, 398.408, 163.147, 0, 359.268, 163.147, -126.401, 0.591484, -0.108713, -0.798955, -0.794336, -0.248738, -0.554219, -0.13848, 0.96245, -0.233479
0.748908, 0.000921349 , 0.00370569, -0.000485171, 413.666, 161.37, 0, 368.007, 161.37, -138.909, 0.545883, -0.122657, -0.828835, -0.825706, -0.246646, -0.507322, -0.142202, 0.961312, -0.235919
0.784575, 0.000934739 , 0.00376074, -0.000467429, 428.778, 159.393, 0, 375.963, 159.393, -151.756, 0.497631, -0.13681, -0.856532, -0.854621, -0.246141, -0.457206, -0.148277, 0.95953, -0.239408
0.820449, 0.000945384 , 0.00380058, -0.000687791, 444.036, 157.173, 0, 383.253, 157.173, -165.161, 0.447524, -0.151015, -0.881429, -0.880657, -0.245761, -0.405025, -0.155456, 0.957495, -0.242976
0.85619, 0.000959622 , 0.00384118, -0.000668804, 459.148, 154.751, 0, 389.703, 154.751, -178.827, 0.394838, -0.165545, -0.903714, -0.903871, -0.246303, -0.349788, -0.164682, 0.95495, -0.246881
0.892149, 0.000977016 , 0.0038857, -0.000901405, 474.406, 152.073, 0, 395.403, 152.073, -192.981, 0.340646, -0.18018, -0.922765, -0.923695, -0.247185, -0.292724, -0.175351, 0.952069, -0.250634
0.927985, 0.000994073 , 0.00391628, -0.000884688, 489.518, 149.185, 0, 400.212, 149.185, -207.307, 0.284225, -0.195198, -0.938677, -0.940122, -0.248837, -0.232917, -0.188113, 0.948672, -0.254235
0.964049, 0.00101172 , 0.00393112, -0.000999823, 504.777, 146.025, 0, 404.195, 146.025, -222.036, 0.226677, -0.210417, -0.950969, -0.952538, -0.251594, -0.171382, -0.203196, 0.944683, -0.257461
1, 0.00109835 , 0.00422688, -0.000925625, 519.888, 142.645, 0, 407.246, 142.645, -236.837, 0.166612, -0.22623, -0.959719, -0.961736, -0.25198, -0.107564, -0.217496, 0.940918, -0.259556
