a(radian),a(degree),Eruling, Ebend, Eparalell, Eruling2
0,0, 337.638, 4.5036e+15, 35.661, 337.638
0.001,0.0572958, 337.629, 640267, 35.6609, 337.629
0.002,0.114592, 337.621, 160082, 35.6608, 337.621
0.003,0.171887, 337.612, 71158.6, 35.6606, 337.612
0.004,0.229183, 337.603, 40035.4, 35.6605, 337.603
0.005,0.286479, 337.595, 25629.8, 35.6604, 337.595
0.006,0.343775, 337.586, 17804.5, 35.6603, 337.586
0.007,0.40107, 337.578, 13086.1, 35.6602, 337.578
0.008,0.458366, 337.569, 10023.7, 35.66, 337.569
0.009,0.515662, 337.561, 7924.09, 35.6599, 337.561
0.01,0.572958, 337.552, 6422.24, 35.6598, 337.552
0.011,0.630254, 337.544, 5311.04, 35.6597, 337.544
0.012,0.687549, 337.535, 4465.87, 35.6596, 337.535
0.013,0.744845, 337.527, 3808.12, 35.6594, 337.527
0.014,0.802141, 337.518, 3286.21, 35.6593, 337.518
0.015,0.859437, 337.509, 2865.15, 35.6592, 337.509
0.016,0.916732, 337.501, 2520.54, 35.6591, 337.501
0.017,0.974028, 337.492, 2234.93, 35.6589, 337.492
0.018,1.03132, 337.484, 1995.58, 35.6588, 337.484
0.019,1.08862, 337.475, 1793.02, 35.6587, 337.475
0.02,1.14592, 337.466, 1620.07, 35.6586, 337.466
0.021,1.20321, 337.458, 1471.23, 35.6584, 337.458
0.022,1.26051, 337.449, 1342.21, 35.6583, 337.449
0.023,1.3178, 337.44, 1229.65, 35.6582, 337.44
0.024,1.3751, 337.432, 1130.86, 35.6581, 337.432
0.025,1.43239, 337.423, 1043.69, 35.6579, 337.423
0.026,1.48969, 337.414, 966.374, 35.6578, 337.414
0.027,1.54699, 337.406, 897.486, 35.6577, 337.406
0.028,1.60428, 337.397, 835.842, 35.6576, 337.397
0.029,1.66158, 337.388, 780.463, 35.6575, 337.388
0.03,1.71887, 337.38, 730.525, 35.6573, 337.38
0.031,1.77617, 337.371, 685.339, 35.6572, 337.371
0.032,1.83346, 337.362, 644.319, 35.6571, 337.362
0.033,1.89076, 337.354, 606.97, 35.657, 337.354
0.034,1.94806, 337.345, 572.864, 35.6568, 337.345
0.035,2.00535, 337.336, 541.637, 35.6567, 337.336
0.036,2.06265, 337.327, 512.974, 35.6566, 337.327
0.037,2.11994, 337.319, 486.601, 35.6564, 337.319
0.038,2.17724, 337.31, 462.281, 35.6563, 337.31
0.039,2.23454, 337.301, 439.804, 35.6562, 337.301
0.04,2.29183, 337.292, 418.991, 35.6561, 337.292
0.041,2.34913, 337.284, 399.679, 35.6559, 337.284
0.042,2.40642, 337.275, 381.728, 35.6558, 337.275
0.043,2.46372, 337.266, 365.014, 35.6557, 337.266
0.044,2.52101, 337.257, 349.423, 35.6556, 337.257
0.045,2.57831, 337.248, 334.859, 35.6554, 337.248
0.046,2.63561, 337.24, 321.232, 35.6553, 337.24
0.047,2.6929, 337.231, 308.465, 35.6552, 337.231
0.048,2.7502, 337.222, 296.484, 35.6551, 337.222
0.049,2.80749, 337.213, 285.229, 35.6549, 337.213
0.05,2.86479, 337.204, 274.64, 35.6548, 337.204
0.051,2.92208, 337.196, 264.666, 35.6547, 337.196
0.052,2.97938, 337.187, 255.261, 35.6545, 337.187
0.053,3.03668, 337.178, 246.381, 35.6544, 337.178
0.054,3.09397, 337.169, 237.988, 35.6543, 337.169
0.055,3.15127, 337.16, 230.048, 35.6542, 337.16
0.056,3.20856, 337.151, 222.528, 35.654, 337.151
0.057,3.26586, 337.142, 215.398, 35.6539, 337.142
0.058,3.32316, 337.133, 208.633, 35.6538, 337.133
0.059,3.38045, 337.125, 202.208, 35.6536, 337.125
0.06,3.43775, 337.116, 196.1, 35.6535, 337.116
0.061,3.49504, 337.107, 190.288, 35.6534, 337.107
0.062,3.55234, 337.098, 184.754, 35.6532, 337.098
