a(radian),a(degree),Eruling, Ebend
0,0, 297.571, inf, 1
0.001,0.0572958, 297.569, 429767, 1
0.002,0.114592, 297.567, 107629, 1
0.003,0.171887, 297.565, 47971.8, 1
0.004,0.229183, 297.562, 27089.9, 1
0.005,0.286479, 297.56, 17423.1, 1
0.006,0.343775, 297.558, 12170.7, 1
0.007,0.40107, 297.556, 9002.68, 1
0.008,0.458366, 297.553, 6945.6, 1
0.009,0.515662, 297.551, 5534.49, 1
0.01,0.572958, 297.549, 4524.44, 1
0.011,0.630254, 297.546, 3776.5, 1
0.012,0.687549, 297.544, 3207.07, 1
0.013,0.744845, 297.542, 2763.41, 1
0.014,0.802141, 297.539, 2410.93, 1
0.015,0.859437, 297.537, 2126.14, 1
0.016,0.916732, 297.534, 1892.68, 1
0.017,0.974028, 297.532, 1698.84, 1
0.018,1.03132, 297.53, 1536.07, 1
0.019,1.08862, 297.527, 1398.01, 1
0.02,1.14592, 297.525, 1279.86, 1
0.021,1.20321, 297.522, 1177.92, 1
0.022,1.26051, 297.52, 1089.31, 1
0.023,1.3178, 297.517, 1011.77, 1
0.024,1.3751, 297.515, 943.508, 1
0.025,1.43239, 297.512, 883.066, 1
0.026,1.48969, 297.51, 829.271, 1
0.027,1.54699, 297.507, 781.16, 1
0.028,1.60428, 297.505, 737.94, 1
0.029,1.66158, 297.502, 698.951, 1
0.03,1.71887, 297.5, 663.641, 1
0.031,1.77617, 297.497, 631.548, 1
0.032,1.83346, 297.495, 602.278, 1
0.033,1.89076, 297.492, 575.497, 1
0.034,1.94806, 297.49, 550.918, 1
0.035,2.00535, 297.487, 528.298, 1
0.036,2.06265, 297.484, 507.422, 1
0.037,2.11994, 297.482, 488.107, 1
0.038,2.17724, 297.479, 470.194, 1
0.039,2.23454, 297.476, 453.542, 1
0.04,2.29183, 297.474, 438.029, 1
0.041,2.34913, 297.471, 423.547, 1
0.042,2.40642, 297.468, 410, 1
0.043,2.46372, 297.466, 397.304, 1
0.044,2.52101, 297.463, 385.384, 1
0.045,2.57831, 297.46, 374.174, 1
0.046,2.63561, 297.458, 363.613, 1
0.047,2.6929, 297.455, 353.649, 1
0.048,2.7502, 297.452, 344.234, 1
0.049,2.80749, 297.449, 335.324, 1
0.05,2.86479, 297.447, 326.881, 1
0.051,2.92208, 297.444, 318.869, 1
0.052,2.97938, 297.441, 311.257, 1
0.053,3.03668, 297.438, 304.015, 1
0.054,3.09397, 297.436, 297.119, 1
0.055,3.15127, 297.433, 290.543, 1
0.056,3.20856, 297.43, 284.266, 1
0.057,3.26586, 297.427, 278.268, 1
0.058,3.32316, 297.424, 272.531, 1
0.059,3.38045, 297.421, 267.039, 1
0.06,3.43775, 297.418, 261.774, 1
0.061,3.49504, 297.416, 256.725, 1
0.062,3.55234, 297.413, 251.877, 1
0.063,3.60963, 297.41, 247.219, 1
0.064,3.66693, 297.407, 242.739, 1
0.065,3.72423, 297.404, 238.428, 1
0.066,3.78152, 297.401, 234.275, 1
0.067,3.83882, 297.398, 230.272, 1
0.068,3.89611, 297.395, 226.411, 1
0.069,3.95341, 297.392, 222.684, 1
0.07,4.0107, 297.389, 219.084, 1
0.071,4.068, 297.386, 215.605, 1
0.072,4.1253, 297.383, 212.24, 1
0.073,4.18259, 297.38, 208.983, 1
0.074,4.23989, 297.377, 205.83, 1
0.075,4.29718, 297.374, 202.775, 1
0.076,4.35448, 297.371, 199.814, 1
0.077,4.41178, 297.368, 196.942, 1
0.078,4.46907, 297.365, 194.154, 1
0.079,4.52637, 297.362, 191.448, 1
0.08,4.58366, 297.358, 188.819, 1
0.081,4.64096, 297.355, 186.264, 1
0.082,4.69825, 297.352, 183.78, 1
0.083,4.75555, 297.349, 181.364, 1
0.084,4.81285, 297.346, 179.012, 1
0.085,4.87014, 297.343, 176.723, 1
0.086,4.92744, 297.34, 174.493, 1
0.087,4.98473, 297.336, 172.321, 1
0.088,5.04203, 297.333, 170.203, 1
0.089,5.09932, 297.33, 168.138, 1
0.09,5.15662, 297.327, 166.123, 1
0.091,5.21392, 297.324, 164.158, 1
0.092,5.27121, 297.32, 162.239, 1
0.093,5.32851, 297.317, 160.365, 1
0.094,5.3858, 297.314, 158.535, 1
0.095,5.4431, 297.311, 156.746, 1
0.096,5.50039, 297.307, 154.998, 1
0.097,5.55769, 297.304, 153.289, 1
0.098,5.61499, 297.301, 151.617, 1
0.099,5.67228, 297.297, 149.982, 1
0.1,5.72958, 297.294, 148.381, 1
0.101,5.78687, 297.291, 146.815, 1
0.102,5.84417, 297.287, 145.281, 1
0.103,5.90147, 297.284, 143.778, 1
0.104,5.95876, 297.281, 142.307, 1
0.105,6.01606, 297.277, 140.865, 1
0.106,6.07335, 297.274, 139.451, 1
0.107,6.13065, 297.27, 138.066, 1
0.108,6.18794, 297.267, 136.707, 1
0.109,6.24524, 297.263, 135.375, 1
0.11,6.30254, 297.26, 134.067, 1
0.111,6.35983, 297.257, 132.785, 1
0.112,6.41713, 297.253, 131.526, 1
0.113,6.47442, 297.25, 130.29, 1
0.114,6.53172, 297.246, 129.076, 1
0.115,6.58901, 297.243, 127.885, 1
0.116,6.64631, 297.239, 126.714, 1
0.117,6.70361, 297.236, 125.565, 1
0.118,6.7609, 297.232, 124.435, 1
0.119,6.8182, 297.228, 123.325, 1
0.12,6.87549, 297.225, 122.233, 1
0.121,6.93279, 297.221, 121.161, 1
0.122,6.99009, 297.218, 120.106, 1
0.123,7.04738, 297.214, 119.068, 1
0.124,7.10468, 297.211, 118.048, 1
0.125,7.16197, 297.207, 117.044, 1
0.126,7.21927, 297.203, 116.056, 1
0.127,7.27656, 297.2, 115.084, 1
0.128,7.33386, 297.196, 114.128, 1
0.129,7.39116, 297.192, 113.186, 1
0.13,7.44845, 297.189, 112.259, 1
0.131,7.50575, 297.185, 111.347, 1
0.132,7.56304, 297.181, 110.448, 1
0.133,7.62034, 297.178, 109.563, 1
0.134,7.67763, 297.174, 108.691, 1
0.135,7.73493, 297.17, 107.832, 1
0.136,7.79223, 297.166, 106.986, 1
0.137,7.84952, 297.163, 106.152, 1
0.138,7.90682, 297.159, 105.33, 1
0.139,7.96411, 297.155, 104.52, 1
0.14,8.02141, 297.151, 103.721, 1
0.141,8.0787, 297.147, 102.934, 1
0.142,8.136, 297.144, 102.158, 1
0.143,8.1933, 297.14, 101.393, 1
0.144,8.25059, 297.136, 100.638, 1
0.145,8.30789, 297.132, 99.8934, 1
0.146,8.36518, 297.128, 99.1591, 1
