a(radian), a(degree) , Eruling, Ebend, Ebend
3.14159, 180 , 301.271, inf, 1
3.14259, 180.057 , 301.271, 628731, 1
3.14359, 180.115 , 301.272, 85551.3, 1
3.14459, 180.172 , 301.272, 41302.8, 1
3.14559, 180.229 , 301.273, 33626.1, 1
3.14659, 180.286 , 301.273, 47109.8, 1
3.14759, 180.344 , 301.273, 186545, 1
3.14859, 180.401 , 301.273, 1.63168e+06, 1
3.14959, 180.458 , 301.273, 74993.5, 1
3.15059, 180.516 , 301.273, 32204.6, 1
3.15159, 180.573 , 301.273, 24757.6, 1
3.15259, 180.63 , 301.273, 26809, 1
3.15359, 180.688 , 301.273, 40203.8, 1
3.15459, 180.745 , 301.273, 106570, 1
3.15559, 180.802 , 301.273, 1.05733e+07, 1
3.15659, 180.859 , 301.273, 201893, 1
3.15759, 180.917 , 301.273, 947225, 1
3.15859, 180.974 , 301.272, 290213, 1
3.15959, 181.031 , 301.272, 110751, 1
3.16059, 181.089 , 301.272, 227859, 1
3.16159, 181.146 , 301.271, 1.45134e+08, 1
3.16259, 181.203 , 301.271, 1.57731e+06, 1
3.16359, 181.261 , 301.27, 145564, 1
3.16459, 181.318 , 301.27, 55844.7, 1
3.16559, 181.375 , 301.269, 30360.8, 1
3.16659, 181.432 , 301.268, 19459.1, 1
3.16759, 181.49 , 301.268, 13728.7, 1
3.16859, 181.547 , 301.267, 10313, 1
3.16959, 181.604 , 301.266, 8096.37, 1
3.17059, 181.662 , 301.265, 6566.92, 1
3.17159, 181.719 , 301.265, 5461.53, 1
3.17259, 181.776 , 301.264, 4633.12, 1
3.17359, 181.833 , 301.263, 3993.94, 1
3.17459, 181.891 , 301.262, 3488.84, 1
3.17559, 181.948 , 301.261, 3081.65, 1
3.17659, 182.005 , 301.26, 2747.8, 1
3.17759, 182.063 , 301.258, 2470.08, 1
3.17859, 182.12 , 301.257, 2236.13, 1
3.17959, 182.177 , 301.256, 2036.88, 1
3.18059, 182.235 , 301.255, 1865.54, 1
3.18159, 182.292 , 301.253, 1716.91, 1
3.18259, 182.349 , 301.252, 1586.99, 1
3.18359, 182.406 , 301.251, 1472.64, 1
3.18459, 182.464 , 301.249, 1371.36, 1
3.18559, 182.521 , 301.248, 1281.16, 1
3.18659, 182.578 , 301.246, 1200.4, 1
3.18759, 182.636 , 301.244, 1127.75, 1
3.18859, 182.693 , 301.243, 1062.11, 1
3.18959, 182.75 , 301.241, 1002.58, 1
3.19059, 182.807 , 301.239, 948.375, 1
3.19159, 182.865 , 301.238, 898.859, 1
3.19259, 182.922 , 301.236, 853.482, 1
3.19359, 182.979 , 301.234, 811.774, 1
3.19459, 183.037 , 301.232, 773.332, 1
3.19559, 183.094 , 301.23, 737.809, 1
3.19659, 183.151 , 301.228, 704.904, 1
3.19759, 183.209 , 301.226, 674.355, 1
3.19859, 183.266 , 301.224, 645.932, 1
3.19959, 183.323 , 301.222, 619.435, 1
3.20059, 183.38 , 301.219, 594.686, 1
3.20159, 183.438 , 301.217, 571.528, 1
3.20259, 183.495 , 301.215, 549.822, 1
3.20359, 183.552 , 301.213, 529.444, 1
3.20459, 183.61 , 301.21, 510.284, 1
3.20559, 183.667 , 301.208, 492.243, 1
3.20659, 183.724 , 301.205, 475.231, 1
3.20759, 183.782 , 301.203, 459.17, 1
3.20859, 183.839 , 301.2, 443.987, 1
3.20959, 183.896 , 301.198, 429.616, 1
3.21059, 183.953 , 301.195, 415.999, 1
3.21159, 184.011 , 301.192, 403.082, 1
3.21259, 184.068 , 301.189, 390.817, 1
3.21359, 184.125 , 301.187, 379.158, 1
3.21459, 184.183 , 301.184, 368.065, 1
3.21559, 184.24 , 301.181, 357.501, 1
3.21659, 184.297 , 301.178, 347.432, 1
3.21759, 184.354 , 301.175, 337.825, 1
3.21859, 184.412 , 301.172, 328.654, 1
3.21959, 184.469 , 301.169, 319.89, 1
3.22059, 184.526 , 301.166, 311.51, 1
3.22159, 184.584 , 301.163, 303.491, 1
3.22259, 184.641 , 301.159, 295.812, 1
3.22359, 184.698 , 301.156, 288.453, 1
3.22459, 184.756 , 301.153, 281.397, 1
3.22559, 184.813 , 301.149, 274.626, 1
3.22659, 184.87 , 301.146, 268.126, 1
3.22759, 184.927 , 301.143, 261.881, 1
3.22859, 184.985 , 301.139, 255.878, 1
3.22959, 185.042 , 301.136, 250.106, 1
3.23059, 185.099 , 301.132, 244.551, 1
3.23159, 185.157 , 301.128, 239.203, 1
3.23259, 185.214 , 301.125, 234.051, 1
3.23359, 185.271 , 301.121, 229.087, 1
3.23459, 185.329 , 301.117, 224.3, 1
3.23559, 185.386 , 301.113, 219.683, 1
3.23659, 185.443 , 301.109, 215.228, 1
3.23759, 185.5 , 301.105, 210.926, 1
3.23859, 185.558 , 301.101, 206.771, 1
3.23959, 185.615 , 301.097, 202.757, 1
3.24059, 185.672 , 301.093, 198.876, 1
3.24159, 185.73 , 301.089, 195.124, 1
3.24259, 185.787 , 301.085, 191.494, 1
3.24359, 185.844 , 301.081, 187.982, 1
3.24459, 185.901 , 301.077, 184.581, 1
3.24559, 185.959 , 301.072, 181.289, 1
3.24659, 186.016 , 301.068, 178.099, 1
3.24759, 186.073 , 301.064, 175.008, 1
3.24859, 186.131 , 301.059, 172.012, 1
3.24959, 186.188 , 301.055, 169.108, 1
3.25059, 186.245 , 301.05, 166.29, 1
3.25159, 186.303 , 301.045, 163.557, 1
3.25259, 186.36 , 301.041, 160.905, 1
3.25359, 186.417 , 301.036, 158.33, 1
3.25459, 186.474 , 301.031, 155.831, 1
3.25559, 186.532 , 301.027, 153.403, 1
3.25659, 186.589 , 301.022, 151.044, 1
3.25759, 186.646 , 301.017, 148.753, 1
3.25859, 186.704 , 301.012, 146.526, 1
3.25959, 186.761 , 301.007, 144.361, 1
3.26059, 186.818 , 301.002, 142.255, 1
3.26159, 186.875 , 300.997, 140.208, 1
3.26259, 186.933 , 300.992, 138.216, 1
3.26359, 186.99 , 300.987, 136.279, 1
3.26459, 187.047 , 300.981, 134.393, 1
3.26559, 187.105 , 300.976, 132.558, 1
3.26659, 187.162 , 300.971, 130.771, 1
3.26759, 187.219 , 300.965, 129.031, 1
3.26859, 187.277 , 300.96, 127.337, 1
3.26959, 187.334 , 300.955, 125.687, 1
3.27059, 187.391 , 300.949, 124.079, 1
3.27159, 187.448 , 300.943, 122.513, 1
3.27259, 187.506 , 300.938, 120.987, 1
3.27359, 187.563 , 300.932, 119.499, 1
3.27459, 187.62 , 300.926, 118.049, 1
3.27559, 187.678 , 300.921, 116.635, 1
3.27659, 187.735 , 300.915, 115.257, 1
3.27759, 187.792 , 300.909, 113.913, 1
3.27859, 187.85 , 300.903, 112.603, 1
3.27959, 187.907 , 300.897, 111.324, 1
3.28059, 187.964 , 300.891, 110.077, 1
3.28159, 188.021 , 300.885, 108.86, 1
3.28259, 188.079 , 300.879, 107.674, 1
3.28359, 188.136 , 300.873, 106.515, 1
3.28459, 188.193 , 300.867, 105.385, 1
3.28559, 188.251 , 300.86, 104.282, 1
3.28659, 188.308 , 300.854, 103.205, 1
3.28759, 188.365 , 300.848, 102.155, 1
3.28859, 188.422 , 300.841, 101.129, 1
3.28959, 188.48 , 300.835, 100.128, 1
3.29059, 188.537 , 300.828, 99.15, 1
3.29159, 188.594 , 300.822, 98.1955, 1
3.29259, 188.652 , 300.815, 97.2637, 1
3.29359, 188.709 , 300.809, 96.3538, 1
3.29459, 188.766 , 300.802, 95.4654, 1
3.29559, 188.824 , 300.795, 94.5978, 1
3.29659, 188.881 , 300.788, 93.7507, 1
3.29759, 188.938 , 300.782, 92.9235, 1
3.29859, 188.995 , 300.775, 92.1157, 1
3.29959, 189.053 , 300.768, 91.3268, 1
3.30059, 189.11 , 300.761, 90.5565, 1
3.30159, 189.167 , 300.754, 89.8042, 1
3.30259, 189.225 , 300.747, 89.0697, 1
3.30359, 189.282 , 300.739, 88.3524, 1
3.30459, 189.339 , 300.732, 87.652, 1
3.30559, 189.397 , 300.725, 86.9681, 1
3.30659, 189.454 , 300.718, 86.3003, 1
3.30759, 189.511 , 300.71, 85.6484, 1
3.30859, 189.568 , 300.703, 85.0119, 1
3.30959, 189.626 , 300.695, 84.3905, 1
3.31059, 189.683 , 300.688, 83.784, 1
3.31159, 189.74 , 300.68, 83.192, 1
3.31259, 189.798 , 300.673, 82.6142, 1
