a(radian),a(degree),Eruling, Ebend
0,0, 84.8866, inf, 1
0.001,0.0572958, 84.8853, 440212, 1
0.002,0.114592, 84.884, 110239, 1
0.003,0.171887, 84.8827, 49128.5, 1
0.004,0.229183, 84.8813, 27736.3, 1
0.005,0.286479, 84.88, 17832.1, 1
0.006,0.343775, 84.8786, 12449.8, 1
0.007,0.40107, 84.8772, 9202.56, 1
0.008,0.458366, 84.8758, 7093.44, 1
0.009,0.515662, 84.8744, 5646.1, 1
0.01,0.572958, 84.873, 4609.66, 1
0.011,0.630254, 84.8716, 3841.81, 1
0.012,0.687549, 84.8701, 3256.9, 1
0.013,0.744845, 84.8687, 2800.91, 1
0.014,0.802141, 84.8672, 2438.39, 1
0.015,0.859437, 84.8657, 2145.3, 1
0.016,0.916732, 84.8642, 1904.84, 1
0.017,0.974028, 84.8627, 1705.05, 1
0.018,1.03132, 84.8612, 1537.14, 1
0.019,1.08862, 84.8597, 1394.61, 1
0.02,1.14592, 84.8581, 1272.53, 1
0.021,1.20321, 84.8566, 1167.11, 1
0.022,1.26051, 84.855, 1075.41, 1
0.023,1.3178, 84.8534, 995.099, 1
0.024,1.3751, 84.8518, 924.335, 1
0.025,1.43239, 84.8502, 861.629, 1
0.026,1.48969, 84.8486, 805.777, 1
0.027,1.54699, 84.847, 755.79, 1
0.028,1.60428, 84.8453, 710.853, 1
0.029,1.66158, 84.8437, 670.288, 1
0.03,1.71887, 84.842, 633.53, 1
0.031,1.77617, 84.8403, 600.101, 1
0.032,1.83346, 84.8386, 569.597, 1
0.033,1.89076, 84.8369, 541.675, 1
0.034,1.94806, 84.8352, 516.039, 1
0.035,2.00535, 84.8335, 492.438, 1
0.036,2.06265, 84.8318, 470.652, 1
0.037,2.11994, 84.83, 450.491, 1
0.038,2.17724, 84.8282, 431.792, 1
0.039,2.23454, 84.8265, 414.408, 1
0.04,2.29183, 84.8247, 398.214, 1
0.041,2.34913, 84.8229, 383.097, 1
0.042,2.40642, 84.8211, 368.96, 1
0.043,2.46372, 84.8192, 355.714, 1
0.044,2.52101, 84.8174, 343.283, 1
0.045,2.57831, 84.8155, 331.597, 1
0.046,2.63561, 84.8137, 320.593, 1
0.047,2.6929, 84.8118, 310.218, 1
0.048,2.7502, 84.8099, 300.42, 1
0.049,2.80749, 84.808, 291.156, 1
0.05,2.86479, 84.8061, 282.383, 1
0.051,2.92208, 84.8042, 274.067, 1
0.052,2.97938, 84.8022, 266.174, 1
0.053,3.03668, 84.8003, 258.673, 1
0.054,3.09397, 84.7983, 251.537, 1
0.055,3.15127, 84.7963, 244.742, 1
0.056,3.20856, 84.7943, 238.264, 1
0.057,3.26586, 84.7923, 232.082, 1
0.058,3.32316, 84.7903, 226.178, 1
0.059,3.38045, 84.7883, 220.534, 1
0.06,3.43775, 84.7863, 215.133, 1
0.061,3.49504, 84.7842, 209.96, 1
0.062,3.55234, 84.7822, 205.003, 1
0.063,3.60963, 84.7801, 200.248, 1
0.064,3.66693, 84.778, 195.684, 1
0.065,3.72423, 84.7759, 191.299, 1
0.066,3.78152, 84.7738, 187.084, 1
0.067,3.83882, 84.7717, 183.029, 1
0.068,3.89611, 84.7695, 179.126, 1
0.069,3.95341, 84.7674, 175.367, 1
0.07,4.0107, 84.7652, 171.744, 1
0.071,4.068, 84.763, 168.249, 1
0.072,4.1253, 84.7608, 164.877, 1
0.073,4.18259, 84.7586, 161.622, 1
0.074,4.23989, 84.7564, 158.477, 1
0.075,4.29718, 84.7542, 155.437, 1
0.076,4.35448, 84.752, 152.497, 1
0.077,4.41178, 84.7497, 149.653, 1
0.078,4.46907, 84.7474, 146.9, 1
0.079,4.52637, 84.7452, 144.234, 1
0.08,4.58366, 84.7429, 141.651, 1
0.081,4.64096, 84.7406, 139.147, 1
0.082,4.69825, 84.7383, 136.719, 1
0.083,4.75555, 84.7359, 134.363, 1
0.084,4.81285, 84.7336, 132.077, 1
0.085,4.87014, 84.7313, 129.857, 1
0.086,4.92744, 84.7289, 127.701, 1
0.087,4.98473, 84.7265, 125.607, 1
0.088,5.04203, 84.7241, 123.57, 1
0.089,5.09932, 84.7217, 121.59, 1
0.09,5.15662, 84.7193, 119.664, 1
0.091,5.21392, 84.7169, 117.79, 1
0.092,5.27121, 84.7145, 115.966, 1
0.093,5.32851, 84.712, 114.19, 1
0.094,5.3858, 84.7095, 112.46, 1
0.095,5.4431, 84.7071, 110.775, 1
0.096,5.50039, 84.7046, 109.132, 1
0.097,5.55769, 84.7021, 107.531, 1
0.098,5.61499, 84.6996, 105.97, 1
0.099,5.67228, 84.697, 104.447, 1
0.1,5.72958, 84.6945, 102.961, 1
0.101,5.78687, 84.692, 101.511, 1
0.102,5.84417, 84.6894, 100.095, 1
0.103,5.90147, 84.6868, 98.7131, 1
0.104,5.95876, 84.6842, 97.3632, 1
0.105,6.01606, 84.6816, 96.0443, 1
0.106,6.07335, 84.679, 94.7556, 1
0.107,6.13065, 84.6764, 93.4961, 1
0.108,6.18794, 84.6738, 92.2648, 1
0.109,6.24524, 84.6711, 91.0608, 1
0.11,6.30254, 84.6684, 89.8833, 1
0.111,6.35983, 84.6658, 88.7313, 1
0.112,6.41713, 84.6631, 87.6043, 1
0.113,6.47442, 84.6604, 86.5012, 1
0.114,6.53172, 84.6577, 85.4215, 1
0.115,6.58901, 84.6549, 84.3645, 1
0.116,6.64631, 84.6522, 83.3294, 1
0.117,6.70361, 84.6494, 82.3156, 1
0.118,6.7609, 84.6467, 81.3225, 1
0.119,6.8182, 84.6439, 80.3495, 1
0.12,6.87549, 84.6411, 79.396, 1
0.121,6.93279, 84.6383, 78.4614, 1
0.122,6.99009, 84.6355, 77.5453, 1
0.123,7.04738, 84.6327, 76.6471, 1
0.124,7.10468, 84.6298, 75.7662, 1
0.125,7.16197, 84.627, 74.9023, 1
0.126,7.21927, 84.6241, 74.0549, 1
0.127,7.27656, 84.6212, 73.2235, 1
0.128,7.33386, 84.6183, 72.4077, 1
0.129,7.39116, 84.6154, 71.607, 1
0.13,7.44845, 84.6125, 70.8212, 1
0.131,7.50575, 84.6096, 70.0497, 1
0.132,7.56304, 84.6066, 69.2923, 1
0.133,7.62034, 84.6037, 68.5485, 1
