a(radian), a(degree) , Eruling, Ebend, Ebend
3.14159, 180 , 66.0491, inf, 1
3.14259, 180.057 , 66.0492, 139278, 1
3.14359, 180.115 , 66.0492, 85294.3, 1
3.14459, 180.172 , 66.0492, 694435, 1
3.14559, 180.229 , 66.0492, 288421, 1
3.14659, 180.286 , 66.0492, 46203.6, 1
3.14759, 180.344 , 66.0492, 19814.3, 1
3.14859, 180.401 , 66.0492, 11568.3, 1
3.14959, 180.458 , 66.0492, 7839.04, 1
3.15059, 180.516 , 66.0491, 5796.71, 1
3.15159, 180.573 , 66.0491, 4540.22, 1
3.15259, 180.63 , 66.0491, 3704.98, 1
3.15359, 180.688 , 66.049, 3118.71, 1
3.15459, 180.745 , 66.049, 2690.65, 1
3.15559, 180.802 , 66.0489, 2368.98, 1
3.15659, 180.859 , 66.0488, 2122.29, 1
3.15759, 180.917 , 66.0488, 1930.57, 1
3.15859, 180.974 , 66.0487, 1780.67, 1
3.15959, 181.031 , 66.0486, 1663.71, 1
3.16059, 181.089 , 66.0485, 1573.62, 1
3.16159, 181.146 , 66.0484, 1506.3, 1
3.16259, 181.203 , 66.0483, 1459.08, 1
3.16359, 181.261 , 66.0482, 1430.41, 1
3.16459, 181.318 , 66.0481, 1419.73, 1
3.16559, 181.375 , 66.0479, 1427.42, 1
3.16659, 181.432 , 66.0478, 1454.91, 1
3.16759, 181.49 , 66.0477, 1504.85, 1
3.16859, 181.547 , 66.0475, 1581.6, 1
3.16959, 181.604 , 66.0473, 1691.89, 1
3.17059, 181.662 , 66.0472, 1846.06, 1
3.17159, 181.719 , 66.047, 2060.29, 1
3.17259, 181.776 , 66.0468, 2360.58, 1
3.17359, 181.833 , 66.0467, 2790.51, 1
3.17459, 181.891 , 66.0465, 3427.36, 1
3.17559, 181.948 , 66.0463, 4418.64, 1
3.17659, 182.005 , 66.0461, 6074.95, 1
3.17759, 182.063 , 66.0459, 9145.78, 1
3.17859, 182.12 , 66.0456, 15845.1, 1
3.17959, 182.177 , 66.0454, 35343, 1
3.18059, 182.235 , 66.0452, 146398, 1
3.18159, 182.292 , 66.045, 5.54032e+07, 1
3.18259, 182.349 , 66.0447, 120594, 1
3.18359, 182.406 , 66.0445, 32214.2, 1
3.18459, 182.464 , 66.0442, 15036.5, 1
3.18559, 182.521 , 66.0439, 8944.6, 1
3.18659, 182.578 , 66.0437, 6129.54, 1
3.18759, 182.636 , 66.0434, 4624.02, 1
3.18859, 182.693 , 66.0431, 3746.5, 1
3.18959, 182.75 , 66.0428, 3210.56, 1
3.19059, 182.807 , 66.0425, 2878.9, 1
3.19159, 182.865 , 66.0422, 2678.93, 1
3.19259, 182.922 , 66.0419, 2568.9, 1
3.19359, 182.979 , 66.0416, 2522.59, 1
3.19459, 183.037 , 66.0413, 2521.65, 1
3.19559, 183.094 , 66.0409, 2551.34, 1
3.19659, 183.151 , 66.0406, 2598.15, 1
3.19759, 183.209 , 66.0402, 2648.61, 1
3.19859, 183.266 , 66.0399, 2689.33, 1
3.19959, 183.323 , 66.0395, 2707.9, 1
3.20059, 183.38 , 66.0392, 2694.65, 1
3.20159, 183.438 , 66.0388, 2644.36, 1
3.20259, 183.495 , 66.0384, 2557.12, 1
3.20359, 183.552 , 66.038, 2437.96, 1
3.20459, 183.61 , 66.0376, 2295.17, 1
3.20559, 183.667 , 66.0372, 2138.24, 1
3.20659, 183.724 , 66.0368, 1976.05, 1
3.20759, 183.782 , 66.0364, 1815.77, 1
3.20859, 183.839 , 66.036, 1662.48, 1
3.20959, 183.896 , 66.0356, 1519.29, 1
3.21059, 183.953 , 66.0351, 1387.77, 1
3.21159, 184.011 , 66.0347, 1268.38, 1
3.21259, 184.068 , 66.0343, 1160.84, 1
3.21359, 184.125 , 66.0338, 1064.43, 1
3.21459, 184.183 , 66.0333, 978.227, 1
3.21559, 184.24 , 66.0329, 901.24, 1
3.21659, 184.297 , 66.0324, 832.472, 1
3.21759, 184.354 , 66.0319, 770.987, 1
3.21859, 184.412 , 66.0314, 715.928, 1
3.21959, 184.469 , 66.0309, 666.525, 1
3.22059, 184.526 , 66.0304, 622.098, 1
3.22159, 184.584 , 66.0299, 582.048, 1
3.22259, 184.641 , 66.0294, 545.851, 1
3.22359, 184.698 , 66.0289, 513.053, 1
3.22459, 184.756 , 66.0284, 483.256, 1
3.22559, 184.813 , 66.0278, 456.117, 1
3.22659, 184.87 , 66.0273, 431.335, 1
3.22759, 184.927 , 66.0267, 408.651, 1
3.22859, 184.985 , 66.0262, 387.836, 1
3.22959, 185.042 , 66.0256, 368.692, 1
3.23059, 185.099 , 66.025, 351.044, 1
3.23159, 185.157 , 66.0245, 334.742, 1
3.23259, 185.214 , 66.0239, 319.65, 1
3.23359, 185.271 , 66.0233, 305.651, 1
3.23459, 185.329 , 66.0227, 292.641, 1
3.23559, 185.386 , 66.0221, 280.527, 1
3.23659, 185.443 , 66.0215, 269.227, 1
3.23759, 185.5 , 66.0208, 258.669, 1
3.23859, 185.558 , 66.0202, 248.788, 1
3.23959, 185.615 , 66.0196, 239.525, 1
3.24059, 185.672 , 66.0189, 230.83, 1
3.24159, 185.73 , 66.0183, 222.655, 1
3.24259, 185.787 , 66.0176, 214.959, 1
3.24359, 185.844 , 66.017, 207.704, 1
3.24459, 185.901 , 66.0163, 200.856, 1
3.24559, 185.959 , 66.0156, 194.384, 1
3.24659, 186.016 , 66.015, 188.261, 1
3.24759, 186.073 , 66.0143, 182.46, 1
3.24859, 186.131 , 66.0136, 176.959, 1
3.24959, 186.188 , 66.0129, 171.738, 1
3.25059, 186.245 , 66.0122, 166.776, 1
3.25159, 186.303 , 66.0114, 162.056, 1
3.25259, 186.36 , 66.0107, 157.563, 1
3.25359, 186.417 , 66.01, 153.281, 1
3.25459, 186.474 , 66.0093, 149.197, 1
3.25559, 186.532 , 66.0085, 145.299, 1
3.25659, 186.589 , 66.0078, 141.575, 1
3.25759, 186.646 , 66.007, 138.015, 1
3.25859, 186.704 , 66.0062, 134.608, 1
3.25959, 186.761 , 66.0055, 131.346, 1
3.26059, 186.818 , 66.0047, 128.221, 1
3.26159, 186.875 , 66.0039, 125.225, 1
3.26259, 186.933 , 66.0031, 122.35, 1
3.26359, 186.99 , 66.0023, 119.59, 1
3.26459, 187.047 , 66.0015, 116.939, 1
3.26559, 187.105 , 66.0007, 114.39, 1
3.26659, 187.162 , 65.9999, 111.939, 1
3.26759, 187.219 , 65.999, 109.581, 1
3.26859, 187.277 , 65.9982, 107.31, 1
3.26959, 187.334 , 65.9974, 105.123, 1
3.27059, 187.391 , 65.9965, 103.015, 1
3.27159, 187.448 , 65.9957, 100.983, 1
3.27259, 187.506 , 65.9948, 99.0217, 1
3.27359, 187.563 , 65.9939, 97.1292, 1
3.27459, 187.62 , 65.9931, 95.3019, 1
3.27559, 187.678 , 65.9922, 93.5368, 1
3.27659, 187.735 , 65.9913, 91.831, 1
3.27759, 187.792 , 65.9904, 90.1819, 1
3.27859, 187.85 , 65.9895, 88.587, 1
3.27959, 187.907 , 65.9886, 87.0439, 1
3.28059, 187.964 , 65.9877, 85.5505, 1
3.28159, 188.021 , 65.9867, 84.1044, 1
3.28259, 188.079 , 65.9858, 82.7039, 1
3.28359, 188.136 , 65.9849, 81.347, 1
3.28459, 188.193 , 65.9839, 80.0319, 1
3.28559, 188.251 , 65.983, 78.757, 1
3.28659, 188.308 , 65.982, 77.5205, 1
3.28759, 188.365 , 65.981, 76.3211, 1
3.28859, 188.422 , 65.9801, 75.1573, 1
3.28959, 188.48 , 65.9791, 74.0276, 1
