a(radian), a(degree) , Eruling, Ebend, Ebend
0, 0 , 8.86971, inf, 1
0.001, 0.0572958 , 8.86966, 92362, 1
0.002, 0.114592 , 8.86962, 23578.2, 1
0.003, 0.171887 , 8.86958, 10765.8, 1
0.004, 0.229183 , 8.86954, 6237.55, 1
0.005, 0.286479 , 8.86949, 4114.28, 1
0.006, 0.343775 , 8.86945, 2943.1, 1
0.007, 0.40107 , 8.86941, 2224.88, 1
0.008, 0.458366 , 8.86936, 1750.32, 1
0.009, 0.515662 , 8.86932, 1418.94, 1
0.01, 0.572958 , 8.86927, 1177.5, 1
0.011, 0.630254 , 8.86923, 995.559, 1
0.012, 0.687549 , 8.86918, 854.675, 1
0.013, 0.744845 , 8.86914, 743.103, 1
0.014, 0.802141 , 8.86909, 653.065, 1
0.015, 0.859437 , 8.86904, 579.235, 1
0.016, 0.916732 , 8.869, 517.858, 1
0.017, 0.974028 , 8.86895, 466.223, 1
0.018, 1.03132 , 8.8689, 422.328, 1
0.019, 1.08862 , 8.86886, 384.668, 1
0.02, 1.14592 , 8.86881, 352.092, 1
0.021, 1.20321 , 8.86876, 323.707, 1
0.022, 1.26051 , 8.86871, 298.811, 1
0.023, 1.3178 , 8.86866, 276.845, 1
0.024, 1.3751 , 8.86861, 257.359, 1
0.025, 1.43239 , 8.86856, 239.989, 1
0.026, 1.48969 , 8.86851, 224.433, 1
0.027, 1.54699 , 8.86846, 210.446, 1
0.028, 1.60428 , 8.86841, 197.821, 1
0.029, 1.66158 , 8.86836, 186.385, 1
0.03, 1.71887 , 8.86831, 175.992, 1
0.031, 1.77617 , 8.86826, 166.519, 1
0.032, 1.83346 , 8.86821, 157.859, 1
0.033, 1.89076 , 8.86816, 149.922, 1
0.034, 1.94806 , 8.86811, 142.63, 1
0.035, 2.00535 , 8.86806, 135.915, 1
0.036, 2.06265 , 8.868, 129.717, 1
0.037, 2.11994 , 8.86795, 123.986, 1
0.038, 2.17724 , 8.8679, 118.676, 1
0.039, 2.23454 , 8.86784, 113.747, 1
0.04, 2.29183 , 8.86779, 109.165, 1
0.041, 2.34913 , 8.86774, 104.897, 1
0.042, 2.40642 , 8.86768, 100.918, 1
0.043, 2.46372 , 8.86763, 97.201, 1
0.044, 2.52101 , 8.86757, 93.7253, 1
0.045, 2.57831 , 8.86752, 90.471, 1
0.046, 2.63561 , 8.86746, 87.4204, 1
0.047, 2.6929 , 8.86741, 84.5575, 1
0.048, 2.7502 , 8.86735, 81.8681, 1
0.049, 2.80749 , 8.86729, 79.3392, 1
0.05, 2.86479 , 8.86724, 76.959, 1
0.051, 2.92208 , 8.86718, 74.7169, 1
0.052, 2.97938 , 8.86712, 72.6032, 1
0.053, 3.03668 , 8.86706, 70.6091, 1
0.054, 3.09397 , 8.86701, 68.7265, 1
0.055, 3.15127 , 8.86695, 66.9482, 1
0.056, 3.20856 , 8.86689, 65.2674, 1
0.057, 3.26586 , 8.86683, 63.678, 1
0.058, 3.32316 , 8.86677, 62.1742, 1
0.059, 3.38045 , 8.86671, 60.751, 1
0.06, 3.43775 , 8.86665, 59.4035, 1
0.061, 3.49504 , 8.86659, 58.1273, 1
0.062, 3.55234 , 8.86653, 56.9184, 1
0.063, 3.60963 , 8.86647, 55.7731, 1
0.064, 3.66693 , 8.86641, 54.6879, 1
0.065, 3.72423 , 8.86635, 53.6597, 1
0.066, 3.78152 , 8.86629, 52.6854, 1
0.067, 3.83882 , 8.86623, 51.7623, 1
0.068, 3.89611 , 8.86617, 50.8879, 1
0.069, 3.95341 , 8.8661, 50.0599, 1
0.07, 4.0107 , 8.86604, 49.276, 1
0.071, 4.068 , 8.86598, 48.5343, 1
0.072, 4.1253 , 8.86591, 47.8329, 1
0.073, 4.18259 , 8.86585, 47.1701, 1
0.074, 4.23989 , 8.86579, 46.5441, 1
0.075, 4.29718 , 8.86572, 45.9536, 1
0.076, 4.35448 , 8.86566, 45.3971, 1
0.077, 4.41178 , 8.86559, 44.8734, 1
0.078, 4.46907 , 8.86553, 44.3812, 1
0.079, 4.52637 , 8.86546, 43.9195, 1
0.08, 4.58366 , 8.8654, 43.4872, 1
0.081, 4.64096 , 8.86533, 43.0833, 1
0.082, 4.69825 , 8.86527, 42.7071, 1
0.083, 4.75555 , 8.8652, 42.3576, 1
0.084, 4.81285 , 8.86513, 42.0342, 1
0.085, 4.87014 , 8.86507, 41.7361, 1
0.086, 4.92744 , 8.865, 41.4628, 1
0.087, 4.98473 , 8.86493, 41.2136, 1
0.088, 5.04203 , 8.86486, 40.9882, 1
0.089, 5.09932 , 8.8648, 40.7859, 1
0.09, 5.15662 , 8.86473, 40.6064, 1
0.091, 5.21392 , 8.86466, 40.4493, 1
0.092, 5.27121 , 8.86459, 40.3143, 1
0.093, 5.32851 , 8.86452, 40.2012, 1
0.094, 5.3858 , 8.86445, 40.1096, 1
0.095, 5.4431 , 8.86438, 40.0395, 1
0.096, 5.50039 , 8.86431, 39.9906, 1
0.097, 5.55769 , 8.86424, 39.9629, 1
0.098, 5.61499 , 8.86417, 39.9563, 1
0.099, 5.67228 , 8.8641, 39.9708, 1
0.1, 5.72958 , 8.86403, 40.0063, 1
0.101, 5.78687 , 8.86395, 40.063, 1
0.102, 5.84417 , 8.86388, 40.1409, 1
0.103, 5.90147 , 8.86381, 40.2402, 1
0.104, 5.95876 , 8.86374, 40.3611, 1
0.105, 6.01606 , 8.86366, 40.5037, 1
0.106, 6.07335 , 8.86359, 40.6684, 1
0.107, 6.13065 , 8.86352, 40.8555, 1
0.108, 6.18794 , 8.86344, 41.0652, 1
0.109, 6.24524 , 8.86337, 41.2981, 1
0.11, 6.30254 , 8.8633, 41.5546, 1
0.111, 6.35983 , 8.86322, 41.8351, 1
0.112, 6.41713 , 8.86315, 42.1403, 1
0.113, 6.47442 , 8.86307, 42.4707, 1
0.114, 6.53172 , 8.863, 42.8271, 1
0.115, 6.58901 , 8.86292, 43.2101, 1
0.116, 6.64631 , 8.86284, 43.6205, 1
0.117, 6.70361 , 8.86277, 44.0593, 1
0.118, 6.7609 , 8.86269, 44.5273, 1
0.119, 6.8182 , 8.86261, 45.0256, 1
0.12, 6.87549 , 8.86254, 45.5552, 1
0.121, 6.93279 , 8.86246, 46.1174, 1
0.122, 6.99009 , 8.86238, 46.7135, 1
0.123, 7.04738 , 8.8623, 47.3447, 1
0.124, 7.10468 , 8.86222, 48.0127, 1
0.125, 7.16197 , 8.86215, 48.7189, 1
0.126, 7.21927 , 8.86207, 49.4652, 1
0.127, 7.27656 , 8.86199, 50.2534, 1
0.128, 7.33386 , 8.86191, 51.0855, 1
0.129, 7.39116 , 8.86183, 51.9636, 1
0.13, 7.44845 , 8.86175, 52.8901, 1
0.131, 7.50575 , 8.86167, 53.8676, 1
0.132, 7.56304 , 8.86159, 54.8986, 1
0.133, 7.62034 , 8.8615, 55.9862, 1
0.134, 7.67763 , 8.86142, 57.1335, 1
0.135, 7.73493 , 8.86134, 58.344, 1
0.136, 7.79223 , 8.86126, 59.6213, 1
0.137, 7.84952 , 8.86118, 60.9695, 1
0.138, 7.90682 , 8.86109, 62.3929, 1
0.139, 7.96411 , 8.86101, 63.8963, 1
0.14, 8.02141 , 8.86093, 65.4848, 1
0.141, 8.0787 , 8.86084, 67.1641, 1
0.142, 8.136 , 8.86076, 68.9401, 1
0.143, 8.1933 , 8.86068, 70.8196, 1
0.144, 8.25059 , 8.86059, 72.8099, 1
0.145, 8.30789 , 8.86051, 74.9188, 1
0.146, 8.36518 , 8.86042, 77.1552, 1
0.147, 8.42248 , 8.86034, 79.5284, 1
0.148, 8.47978 , 8.86025, 82.0492, 1
0.149, 8.53707 , 8.86017, 84.7289, 1
0.15, 8.59437 , 8.86008, 87.5804, 1
0.151, 8.65166 , 8.85999, 90.6178, 1
0.152, 8.70896 , 8.85991, 93.8566, 1
0.153, 8.76625 , 8.85982, 97.3142, 1
0.154, 8.82355 , 8.85973, 101.01, 1
0.155, 8.88085 , 8.85965, 104.965, 1
0.156, 8.93814 , 8.85956, 109.203, 1
0.157, 8.99544 , 8.85947, 113.752, 1
0.158, 9.05273 , 8.85938, 118.641, 1
0.159, 9.11003 , 8.85929, 123.904, 1
0.16, 9.16732 , 8.8592, 129.579, 1
0.161, 9.22462 , 8.85911, 135.71, 1
0.162, 9.28192 , 8.85902, 142.345, 1
0.163, 9.33921 , 8.85893, 149.542, 1
0.164, 9.39651 , 8.85884, 157.363, 1
0.165, 9.4538 , 8.85875, 165.882, 1
0.166, 9.5111 , 8.85866, 175.184, 1
0.167, 9.5684 , 8.85857, 185.366, 1
0.168, 9.62569 , 8.85848, 196.544, 1
0.169, 9.68299 , 8.85839, 208.848, 1
0.17, 9.74028 , 8.8583, 222.435, 1
0.171, 9.79758 , 8.8582, 237.488, 1
0.172, 9.85487 , 8.85811, 254.226, 1
0.173, 9.91217 , 8.85802, 272.907, 1
0.174, 9.96947 , 8.85793, 293.845, 1
0.175, 10.0268 , 8.85783, 317.415, 1
0.176, 10.0841 , 8.85774, 344.078, 1
0.177, 10.1414 , 8.85764, 374.398, 1
0.178, 10.1986 , 8.85755, 409.074, 1
0.179, 10.2559 , 8.85746, 448.981, 1
0.18, 10.3132 , 8.85736, 495.225, 1
0.181, 10.3705 , 8.85727, 549.221, 1
0.182, 10.4278 , 8.85717, 612.803, 1
0.183, 10.4851 , 8.85707, 688.38, 1
0.184, 10.5424 , 8.85698, 779.168, 1
0.185, 10.5997 , 8.85688, 889.542, 1
0.186, 10.657 , 8.85679, 1025.56, 1
0.187, 10.7143 , 8.85669, 1195.84, 1
0.188, 10.7716 , 8.85659, 1412.93, 1
0.189, 10.8289 , 8.85649, 1695.69, 1
0.19, 10.8862 , 8.8564, 2073.56, 1
0.191, 10.9435 , 8.8563, 2594.51, 1
0.192, 11.0008 , 8.8562, 3341.08, 1
0.193, 11.0581 , 8.8561, 4465.21, 1
0.194, 11.1154 , 8.856, 6272.11, 1
0.195, 11.1727 , 8.8559, 9451.64, 1
0.196, 11.23 , 8.8558, 15849.6, 1
0.197, 11.2873 , 8.8557, 31904, 1
0.198, 11.3446 , 8.8556, 94510.8, 1
0.199, 11.4019 , 8.8555, 1.21753e+06, 1
0.2, 11.4592 , 8.8554, 481844, 1
0.201, 11.5165 , 8.8553, 69713.3, 1
0.202, 11.5737 , 8.8552, 26580.2, 1
0.203, 11.631 , 8.8551, 13909.6, 1
0.204, 11.6883 , 8.855, 8537.22, 1
0.205, 11.7456 , 8.85489, 5769.87, 1
0.206, 11.8029 , 8.85479, 4159.86, 1
0.207, 11.8602 , 8.85469, 3141.48, 1
0.208, 11.9175 , 8.85459, 2456.73, 1
0.209, 11.9748 , 8.85448, 1974.35, 1
0.21, 12.0321 , 8.85438, 1621.79, 1
0.211, 12.0894 , 8.85428, 1356.34, 1
0.212, 12.1467 , 8.85417, 1151.49, 1
0.213, 12.204 , 8.85407, 990.118, 1
0.214, 12.2613 , 8.85396, 860.736, 1
0.215, 12.3186 , 8.85386, 755.419, 1
0.216, 12.3759 , 8.85375, 668.551, 1
0.217, 12.4332 , 8.85365, 596.063, 1
0.218, 12.4905 , 8.85354, 534.951, 1
0.219, 12.5478 , 8.85343, 482.955, 1
0.22, 12.6051 , 8.85333, 438.349, 1
0.221, 12.6624 , 8.85322, 399.798, 1
0.222, 12.7197 , 8.85311, 366.256, 1
0.223, 12.777 , 8.85301, 336.892, 1
0.224, 12.8343 , 8.8529, 311.042, 1
0.225, 12.8916 , 8.85279, 288.168, 1
0.226, 12.9488 , 8.85268, 267.832, 1
0.227, 13.0061 , 8.85257, 249.672, 1
0.228, 13.0634 , 8.85246, 233.391, 1
0.229, 13.1207 , 8.85236, 218.739, 1
0.23, 13.178 , 8.85225, 205.506, 1
0.231, 13.2353 , 8.85214, 193.517, 1
0.232, 13.2926 , 8.85203, 182.622, 1
0.233, 13.3499 , 8.85192, 172.692, 1
0.234, 13.4072 , 8.85181, 163.618, 1
0.235, 13.4645 , 8.85169, 155.306, 1
0.236, 13.5218 , 8.85158, 147.673, 1
0.237, 13.5791 , 8.85147, 140.648, 1
0.238, 13.6364 , 8.85136, 134.17, 1
0.239, 13.6937 , 8.85125, 128.184, 1
0.24, 13.751 , 8.85114, 122.643, 1
0.241, 13.8083 , 8.85102, 117.505, 1
0.242, 13.8656 , 8.85091, 112.733, 1
0.243, 13.9229 , 8.8508, 108.293, 1
0.244, 13.9802 , 8.85068, 104.156, 1
0.245, 14.0375 , 8.85057, 100.297, 1
0.246, 14.0948 , 8.85046, 96.6923, 1
0.247, 14.1521 , 8.85034, 93.3207, 1
0.248, 14.2094 , 8.85023, 90.1636, 1
0.249, 14.2666 , 8.85011, 87.2043, 1
0.25, 14.3239 , 8.85, 84.4275, 1
0.251, 14.3812 , 8.84988, 81.8194, 1
0.252, 14.4385 , 8.84977, 79.3677, 1
0.253, 14.4958 , 8.84965, 77.0611, 1
0.254, 14.5531 , 8.84953, 74.8893, 1
0.255, 14.6104 , 8.84942, 72.8431, 1
0.256, 14.6677 , 8.8493, 70.9139, 1
0.257, 14.725 , 8.84918, 69.094, 1
0.258, 14.7823 , 8.84906, 67.3763, 1
0.259, 14.8396 , 8.84895, 65.7542, 1
0.26, 14.8969 , 8.84883, 64.222, 1
0.261, 14.9542 , 8.84871, 62.7741, 1
0.262, 15.0115 , 8.84859, 61.4055, 1
0.263, 15.0688 , 8.84847, 60.1115, 1
0.264, 15.1261 , 8.84835, 58.8881, 1
0.265, 15.1834 , 8.84823, 57.7311, 1
0.266, 15.2407 , 8.84811, 56.6371, 1
0.267, 15.298 , 8.84799, 55.6027, 1
0.268, 15.3553 , 8.84787, 54.6249, 1
0.269, 15.4126 , 8.84775, 53.7007, 1
