a(radian),a(degree),Eruling, Ebend
0,0, 8.80395, inf, 1
0.001,0.0572958, 8.80466, 127025, 1
0.002,0.114592, 8.80538, 31775.7, 1
0.003,0.171887, 8.80609, 14137.2, 1
0.004,0.229183, 8.80681, 7963.98, 1
0.005,0.286479, 8.80752, 5106.89, 1
0.006,0.343775, 8.80824, 3555.08, 1
0.007,0.40107, 8.80896, 2619.56, 1
0.008,0.458366, 8.80968, 2012.52, 1
0.009,0.515662, 8.8104, 1596.49, 1
0.01,0.572958, 8.81112, 1299.04, 1
0.011,0.630254, 8.81184, 1079.09, 1
0.012,0.687549, 8.81256, 911.919, 1
0.013,0.744845, 8.81328, 781.94, 1
0.014,0.802141, 8.81401, 678.919, 1
0.015,0.859437, 8.81473, 595.917, 1
0.016,0.916732, 8.81545, 528.092, 1
0.017,0.974028, 8.81618, 471.985, 1
0.018,1.03132, 8.8169, 425.069, 1
0.019,1.08862, 8.81763, 385.465, 1
0.02,1.14592, 8.81836, 351.751, 1
0.021,1.20321, 8.81909, 322.835, 1
0.022,1.26051, 8.81981, 297.87, 1
0.023,1.3178, 8.82054, 276.187, 1
0.024,1.3751, 8.82127, 257.255, 1
0.025,1.43239, 8.822, 240.645, 1
0.026,1.48969, 8.82274, 226.011, 1
0.027,1.54699, 8.82347, 213.069, 1
0.028,1.60428, 8.8242, 201.587, 1
0.029,1.66158, 8.82493, 191.369, 1
0.03,1.71887, 8.82567, 182.255, 1
0.031,1.77617, 8.8264, 174.108, 1
0.032,1.83346, 8.82714, 166.813, 1
0.033,1.89076, 8.82788, 160.274, 1
0.034,1.94806, 8.82861, 154.405, 1
0.035,2.00535, 8.82935, 149.138, 1
0.036,2.06265, 8.83009, 144.409, 1
0.037,2.11994, 8.83083, 140.167, 1
0.038,2.17724, 8.83157, 136.365, 1
0.039,2.23454, 8.83231, 132.965, 1
0.04,2.29183, 8.83305, 129.931, 1
0.041,2.34913, 8.83379, 127.234, 1
0.042,2.40642, 8.83454, 124.848, 1
0.043,2.46372, 8.83528, 122.749, 1
0.044,2.52101, 8.83602, 120.918, 1
0.045,2.57831, 8.83677, 119.338, 1
0.046,2.63561, 8.83752, 117.993, 1
0.047,2.6929, 8.83826, 116.87, 1
0.048,2.7502, 8.83901, 115.959, 1
0.049,2.80749, 8.83976, 115.249, 1
0.05,2.86479, 8.84051, 114.732, 1
0.051,2.92208, 8.84126, 114.402, 1
0.052,2.97938, 8.84201, 114.253, 1
0.053,3.03668, 8.84276, 114.279, 1
0.054,3.09397, 8.84351, 114.479, 1
0.055,3.15127, 8.84426, 114.849, 1
0.056,3.20856, 8.84502, 115.388, 1
0.057,3.26586, 8.84577, 116.096, 1
0.058,3.32316, 8.84653, 116.972, 1
0.059,3.38045, 8.84728, 118.018, 1
0.06,3.43775, 8.84804, 119.236, 1
0.061,3.49504, 8.8488, 120.63, 1
0.062,3.55234, 8.84956, 122.204, 1
0.063,3.60963, 8.85031, 123.961, 1
0.064,3.66693, 8.85107, 125.909, 1
0.065,3.72423, 8.85183, 128.055, 1
