a(radian), a(degree) , Eruling, Ebend, Eparalell, Ebend,,243.77,0,38.6366,0.405974
3.14159,180,23.558,1.00E+15,1.65689,1,,243.827,0,38.4732,0.402445
3.14259,180.057,23.5567,163382,1.65682,1,,243.885,0,38.3117,0.39892
3.14359,180.115,23.5554,41428.5,1.65675,1,,243.942,0,38.1521,0.395399
3.14459,180.172,23.554,18784.5,1.65668,1,,243.999,0,37.9944,0.391884
3.14559,180.229,23.5527,10820.1,1.65661,1,,244.057,0,37.8385,0.388373
3.14659,180.286,23.5514,7107.32,1.65654,1,,244.114,0,37.6845,0.384867
3.14759,180.344,23.55,5071.84,1.65647,1,,244.171,0,37.5322,0.381366
3.14859,180.401,23.5487,3830.96,1.65639,1,,244.229,0,37.3818,0.377871
3.14959,180.458,23.5473,3015.47,1.65632,1,,244.286,0,37.2331,0.374382
3.15059,180.516,23.5459,2448.68,1.65624,1,,244.343,0,37.0862,0.370898
3.15159,180.573,23.5446,2037.3,1.65617,1,,244.4,0,36.941,0.367421
3.15259,180.63,23.5432,1728.24,1.65609,1,,244.458,0,36.7976,0.363949
3.15359,180.688,23.5418,1489.43,1.65602,1,,244.515,0,36.6558,0.360485
3.15459,180.745,23.5404,1300.56,1.65594,1,,244.572,0,36.5157,0.357027
3.15559,180.802,23.539,1148.24,1.65586,1,,244.63,0,36.3772,0.353576
3.15659,180.859,23.5376,1023.33,1.65579,1,,244.687,0,36.2404,0.350132
3.15759,180.917,23.5362,919.421,1.65571,1,,244.744,0,36.1052,0.346695
3.15859,180.974,23.5348,831.896,1.65563,1,,244.802,0,35.9716,0.343266
3.15959,181.031,23.5334,757.363,1.65555,1,,244.859,0,35.8396,0.339845
3.16059,181.089,23.5319,693.28,1.65547,1,,244.916,0,35.7091,0.336432
3.16159,181.146,23.5305,637.708,1.65539,1,,244.973,0,35.5802,0.333027
3.16259,181.203,23.5291,589.147,1.65531,1,,245.031,0,35.4529,0.329631
3.16359,181.261,23.5276,546.42,1.65523,1,,245.088,0,35.327,0.326243
3.16459,181.318,23.5261,508.592,1.65514,1,,245.145,0,35.2027,0.322864
3.16559,181.375,23.5247,474.913,1.65506,1,,245.203,0,35.0798,0.319494
3.16659,181.432,23.5232,444.772,1.65498,1,,245.26,0,34.9584,0.316134
3.16759,181.49,23.5217,417.673,1.65489,1,,245.317,0,34.8385,0.312783
3.16859,181.547,23.5202,393.203,1.65481,1,,245.374,0,34.72,0.309442
3.16959,181.604,23.5188,371.018,1.65473,1,,245.432,0,34.603,0.306111
3.17059,181.662,23.5173,350.832,1.65464,1,,245.489,0,34.4873,0.302791
3.17159,181.719,23.5158,332.403,1.65455,1,,245.546,0,34.3731,0.29948
3.17259,181.776,23.5142,315.523,1.65447,1,,245.604,0,34.2602,0.296181
3.17359,181.833,23.5127,300.019,1.65438,1,,245.661,0,34.1487,0.292892
3.17459,181.891,23.5112,285.737,1.65429,1,,245.718,0,34.0386,0.289615
3.17559,181.948,23.5097,272.549,1.6542,1,,245.776,0,33.9298,0.286349
3.17659,182.005,23.5081,260.34,1.65411,1,,245.833,0,33.8224,0.283094
3.17759,182.063,23.5066,249.013,1.65402,1,,245.89,0,33.7163,0.279852
3.17859,182.12,23.505,238.482,1.65393,1,,245.947,0,33.6115,0.276621
3.17959,182.177,23.5035,228.671,1.65384,1,,246.005,0,33.508,0.273403
3.18059,182.235,23.5019,219.513,1.65375,1,,246.062,0,33.4057,0.270197
3.18159,182.292,23.5003,210.949,1.65366,1,,246.119,0,33.3048,0.267004
3.18259,182.349,23.4987,202.928,1.65357,1,,246.177,0,33.2051,0.263824
3.18359,182.406,23.4972,195.403,1.65348,1,,246.234,0,33.1067,0.260657
3.18459,182.464,23.4956,188.331,1.65338,1,,246.291,0,33.0095,0.257504
3.18559,182.521,23.494,181.677,1.65329,1,,246.349,0,32.9135,0.254364
3.18659,182.578,23.4924,175.407,1.65319,1,,246.406,0,32.8188,0.251238
3.18759,182.636,23.4907,169.49,1.6531,1,,246.463,0,32.7252,0.248126
3.18859,182.693,23.4891,163.9,1.653,1,,246.52,0,32.6329,0.245029
3.18959,182.75,23.4875,158.613,1.65291,1,,246.578,0,32.5418,0.241946
3.19059,182.807,23.4859,153.605,1.65281,1,,246.635,0,32.4518,0.238878
3.19159,182.865,23.4842,148.858,1.65271,1,,246.692,0,32.363,0.235825
3.19259,182.922,23.4826,144.352,1.65261,1,,246.75,0,32.2754,0.232787
3.19359,182.979,23.4809,140.071,1.65252,1,,246.807,0,32.1889,0.229764
3.19459,183.037,23.4793,136,1.65242,1,,246.864,0,32.1035,0.226757
3.19559,183.094,23.4776,132.125,1.65232,1,,246.921,0,32.0193,0.223767
3.19659,183.151,23.4759,128.433,1.65222,1,,246.979,0,31.9363,0.220792
3.19759,183.209,23.4742,124.912,1.65212,1,,247.036,0,31.8543,0.217833
3.19859,183.266,23.4725,121.552,1.65201,1,,247.093,0,31.7734,0.214892
3.19959,183.323,23.4708,118.342,1.65191,1,,247.151,0,31.6937,0.211966
3.20059,183.38,23.4691,115.274,1.65181,1,,247.208,0,31.615,0.209058
3.20159,183.438,23.4674,112.339,1.65171,1,,247.265,0,31.5374,0.206168
3.20259,183.495,23.4657,109.529,1.6516,1,,247.323,0,31.4609,0.203294
3.20359,183.552,23.464,106.836,1.6515,1,,247.38,0,31.3855,0.200438
3.20459,183.61,23.4622,104.256,1.65139,1,,247.437,0,31.3111,0.197601
3.20559,183.667,23.4605,101.78,1.65129,1,,247.494,0,31.2378,0.194781
