a(radian),a(degree),Eruling, Ebend, Eparalell,
0,0,33.8258,1.00E+15,3.38099,1
0.001,0.0572958,33.8252,636461,3.38099,1
0.002,0.114592,33.8247,168357,3.38099,1
0.003,0.171887,33.8241,80614.7,3.38099,1
0.004,0.229183,33.8235,49856.5,3.38098,1
0.005,0.286479,33.8229,36137.4,3.38098,1
0.006,0.343775,33.8223,29707.6,3.38098,1
0.007,0.40107,33.8217,27542.3,3.38098,1
0.008,0.458366,33.8211,29082.4,3.38098,1
0.009,0.515662,33.8205,35761.8,3.38098,1
0.01,0.572958,33.82,53344.4,3.38097,1
0.011,0.630254,33.8194,105697,3.38097,1
0.012,0.687549,33.8188,372654,3.38097,1
0.013,0.744845,33.8182,7.09E+07,3.38096,1
0.014,0.802141,33.8176,504725,3.38096,1
0.015,0.859437,33.817,119248,3.38096,1
0.016,0.916732,33.8164,53496,3.38096,1
0.017,0.974028,33.8158,30967.6,3.38095,1
0.018,1.03132,33.8152,20568,3.38095,1
0.019,1.08862,33.8146,14881.4,3.38094,1
0.02,1.14592,33.814,11411,3.38094,1
0.021,1.20321,33.8134,9123.85,3.38093,1
0.022,1.26051,33.8128,7528.78,3.38093,1
0.023,1.3178,33.8122,6367.49,3.38093,1
0.024,1.3751,33.8116,5493.27,3.38092,1
0.025,1.43239,33.811,4817.58,3.38091,1
0.026,1.48969,33.8104,4284.32,3.38091,1
0.027,1.54699,33.8097,3856.51,3.3809,1
0.028,1.60428,33.8091,3508.92,3.3809,1
0.029,1.66158,33.8085,3223.91,3.38089,1
0.03,1.71887,33.8079,2988.84,3.38089,1
0.031,1.77617,33.8073,2794.52,3.38088,1
0.032,1.83346,33.8067,2634.18,3.38087,1
0.033,1.89076,33.8061,2502.84,3.38087,1
0.034,1.94806,33.8055,2396.83,3.38086,1
0.035,2.00535,33.8048,2313.53,3.38085,1
0.036,2.06265,33.8042,2251.14,3.38084,1
0.037,2.11994,33.8036,2208.62,3.38084,1
0.038,2.17724,33.803,2185.54,3.38083,1
0.039,2.23454,33.8024,2182.16,3.38082,1
0.04,2.29183,33.8017,2199.38,3.38081,1
0.041,2.34913,33.8011,2238.86,3.3808,1
0.042,2.40642,33.8005,2303.13,3.3808,1
0.043,2.46372,33.7999,2395.81,3.38079,1
0.044,2.52101,33.7992,2521.9,3.38078,1
0.045,2.57831,33.7986,2688.21,3.38077,1
0.046,2.63561,33.798,2903.94,3.38076,1
0.047,2.6929,33.7974,3181.51,3.38075,1
0.048,2.7502,33.7967,3537.7,3.38074,1
0.049,2.80749,33.7961,3995.03,3.38073,1
0.05,2.86479,33.7955,4583.53,3.38072,1
0.051,2.92208,33.7948,5342.03,3.38071,1
0.052,2.97938,33.7942,6317.84,3.3807,1
0.053,3.03668,33.7936,7560.27,3.38069,1
0.054,3.09397,33.7929,9099.42,3.38068,1
0.055,3.15127,33.7923,10895.6,3.38067,1
0.056,3.20856,33.7917,12753.9,3.38066,1
0.057,3.26586,33.791,14258.6,3.38064,1
0.058,3.32316,33.7904,14885,3.38063,1
0.059,3.38045,33.7897,14355.6,3.38062,1
0.06,3.43775,33.7891,12892,3.38061,1
0.061,3.49504,33.7885,11010.9,3.3806,1
0.062,3.55234,33.7878,9152.78,3.38058,1
0.063,3.60963,33.7872,7537.61,3.38057,1
0.064,3.66693,33.7865,6218.8,3.38056,1
0.065,3.72423,33.7859,5171.05,3.38055,1
0.066,3.78152,33.7852,4345.53,3.38053,1
0.067,3.83882,33.7846,3693.86,3.38052,1
0.068,3.89611,33.7839,3175.76,3.38051,1
0.069,3.95341,33.7833,2759.91,3.38049,1
0.07,4.0107,33.7826,2422.57,3.38048,1
0.071,4.068,33.782,2146,3.38046,1
0.072,4.1253,33.7813,1916.88,3.38045,1
0.073,4.18259,33.7807,1725.17,3.38044,1
0.074,4.23989,33.78,1563.28,3.38042,1
0.075,4.29718,33.7793,1425.38,3.38041,1
0.076,4.35448,33.7787,1306.97,3.38039,1
0.077,4.41178,33.778,1204.53,3.38037,1
0.078,4.46907,33.7774,1115.29,3.38036,1
0.079,4.52637,33.7767,1037.07,3.38034,1
0.08,4.58366,33.776,968.089,3.38033,1
0.081,4.64096,33.7754,906.932,3.38031,1
0.082,4.69825,33.7747,852.436,3.3803,1
0.083,4.75555,33.774,803.648,3.38028,1
0.084,4.81285,33.7734,759.781,3.38026,1
