a, Fruling
1.09782 , 660.493
1.09882 , 660.49
1.09982 , 660.486
1.10082 , 660.482
1.10182 , 660.478
1.10282 , 660.474
1.10382 , 660.47
1.10482 , 660.467
1.10582 , 660.463
1.10682 , 660.459
1.10782 , 660.455
1.10882 , 660.451
1.10982 , 660.447
1.11082 , 660.443
1.11182 , 660.439
1.11282 , 660.436
1.11382 , 660.432
1.11482 , 660.428
1.11582 , 660.424
1.11682 , 660.42
1.11782 , 660.416
1.11882 , 660.412
1.11982 , 660.408
1.12082 , 660.404
1.12182 , 660.4
1.12282 , 660.396
1.12382 , 660.392
1.12482 , 660.388
1.12582 , 660.384
1.12682 , 660.38
1.12782 , 660.376
1.12882 , 660.372
1.12982 , 660.368
1.13082 , 660.364
1.13182 , 660.359
1.13282 , 660.355
1.13382 , 660.351
1.13482 , 660.347
1.13582 , 660.343
1.13682 , 660.339
1.13782 , 660.335
1.13882 , 660.331
1.13982 , 660.327
1.14082 , 660.322
1.14182 , 660.318
1.14282 , 660.314
1.14382 , 660.31
1.14482 , 660.306
1.14582 , 660.301
1.14682 , 660.297
1.14782 , 660.293
1.14882 , 660.289
1.14982 , 660.285
1.15082 , 660.28
1.15182 , 660.276
1.15282 , 660.272
1.15382 , 660.267
1.15482 , 660.263
1.15582 , 660.259
1.15682 , 660.255
1.15782 , 660.25
1.15882 , 660.246
1.15982 , 660.242
1.16082 , 660.237
1.16182 , 660.233
1.16282 , 660.229
1.16382 , 660.224
1.16482 , 660.22
1.16582 , 660.216
1.16682 , 660.211
1.16782 , 660.207
1.16882 , 660.202
1.16982 , 660.198
1.17082 , 660.194
1.17182 , 660.189
1.17282 , 660.185
1.17382 , 660.18
1.17482 , 660.176
1.17582 , 660.171
1.17682 , 660.167
1.17782 , 660.162
1.17882 , 660.158
1.17982 , 660.153
1.18082 , 660.149
1.18182 , 660.144
1.18282 , 660.14
1.18382 , 660.135
1.18482 , 660.131
1.18582 , 660.126
1.18682 , 660.122
1.18782 , 660.117
1.18882 , 660.112
1.18982 , 660.108
1.19082 , 660.103
1.19182 , 660.099
1.19282 , 660.094
1.19382 , 660.089
1.19482 , 660.085
1.19582 , 660.08
1.19682 , 660.076
1.19782 , 660.071
1.19882 , 660.066
1.19982 , 660.062
1.20082 , 660.057
1.20182 , 660.052
1.20282 , 660.048
1.20382 , 660.043
1.20482 , 660.038
1.20582 , 660.033
1.20682 , 660.029
1.20782 , 660.024
1.20882 , 660.019
1.20982 , 660.014
1.21082 , 660.01
1.21182 , 660.005
1.21282 , 660
1.21382 , 659.995
1.21482 , 659.991
1.21582 , 659.986
1.21682 , 659.981
1.21782 , 659.976
1.21882 , 659.971
1.21982 , 659.966
1.22082 , 659.962
1.22182 , 659.957
1.22282 , 659.952
1.22382 , 659.947
1.22482 , 659.942
1.22582 , 659.937
1.22682 , 659.932
1.22782 , 659.927
1.22882 , 659.923
1.22982 , 659.918
1.23082 , 659.913
1.23182 , 659.908
1.23282 , 659.903
1.23382 , 659.898
1.23482 , 659.893
1.23582 , 659.888
1.23682 , 659.883
1.23782 , 659.878
1.23882 , 659.873
1.23982 , 659.868
1.24082 , 659.863
1.24182 , 659.858
1.24282 , 659.853
1.24382 , 659.848
1.24482 , 659.843
1.24582 , 659.838
1.24682 , 659.833
1.24782 , 659.828
1.24882 , 659.823
1.24982 , 659.818
1.25082 , 659.812
1.25182 , 659.807
1.25282 , 659.802
1.25382 , 659.797
1.25482 , 659.792
1.25582 , 659.787
1.25682 , 659.782
1.25782 , 659.777
1.25882 , 659.771
1.25982 , 659.766
1.26082 , 659.761
1.26182 , 659.756
1.26282 , 659.751
1.26382 , 659.746
1.26482 , 659.74
1.26582 , 659.735
1.26682 , 659.73
1.26782 , 659.725
1.26882 , 659.719
1.26982 , 659.714
1.27082 , 659.709
1.27182 , 659.704
1.27282 , 659.698
1.27382 , 659.693
1.27482 , 659.688
