a, Fruling
1.801 , 0
1.802 , 0
1.803 , 0
1.804 , 0
1.805 , 0
1.806 , 0
1.807 , 0
1.808 , 0
1.809 , 0
1.81 , 2.05858
1.811 , 2.22982
1.812 , 6.52558
1.813 , 6.9936
1.814 , 9.5935
1.815 , 14.3141
1.816 , 17.1701
1.817 , 22.2585
1.818 , 23.4513
1.819 , 24.6449
1.82 , 25.8394
1.821 , 27.0348
1.822 , 28.2311
1.823 , 29.4286
1.824 , 30.6273
1.825 , 31.8272
1.826 , 33.0285
1.827 , 34.2312
1.828 , 35.4355
1.829 , 36.6413
1.83 , 37.8489
1.831 , 39.0582
1.832 , 40.2695
1.833 , 41.4827
1.834 , 42.698
1.835 , 43.9154
1.836 , 45.1351
1.837 , 46.3572
1.838 , 47.5817
1.839 , 48.8087
1.84 , 50.0384
1.841 , 51.2708
1.842 , 52.5061
1.843 , 53.7443
1.844 , 54.9856
1.845 , 56.23
1.846 , 57.4777
1.847 , 58.7288
1.848 , 59.9834
1.849 , 61.2415
1.85 , 62.5034
1.851 , 63.769
1.852 , 65.0387
1.853 , 66.3124
1.854 , 67.5903
1.855 , 68.5457
1.856 , 69.5031
1.857 , 70.4755
1.858 , 71.4616
1.859 , 72.4599
1.86 , 73.4696
1.861 , 74.4896
1.862 , 75.5192
1.863 , 76.5579
1.864 , 77.605
1.865 , 78.66
1.866 , 79.7226
1.867 , 80.7923
1.868 , 81.8689
1.869 , 82.9522
1.87 , 84.0418
1.871 , 85.1376
1.872 , 86.2394
1.873 , 87.3471
1.874 , 88.4606
1.875 , 89.5798
1.876 , 90.5119
1.877 , 91.4278
1.878 , 92.3499
1.879 , 93.2778
1.88 , 94.2114
1.881 , 95.1504
1.882 , 96.0949
1.883 , 97.0445
1.884 , 97.9993
1.885 , 98.959
1.886 , 99.9237
1.887 , 100.893
1.888 , 101.867
1.889 , 102.846
1.89 , 103.83
1.891 , 104.818
1.892 , 105.805
1.893 , 106.592
1.894 , 107.382
1.895 , 108.176
1.896 , 108.974
1.897 , 109.775
1.898 , 110.58
1.899 , 111.388
1.9 , 112.2
1.901 , 113.014
1.902 , 113.832
1.903 , 114.653
1.904 , 115.478
1.905 , 116.305
1.906 , 117.135
1.907 , 117.968
1.908 , 118.805
1.909 , 119.644
1.91 , 120.486
1.911 , 121.33
1.912 , 122.178
1.913 , 123.029
1.914 , 123.882
1.915 , 124.738
1.916 , 125.597
1.917 , 126.459
1.918 , 127.324
1.919 , 128.191
1.92 , 128.926
1.921 , 129.621
1.922 , 130.318
1.923 , 131.017
1.924 , 131.717
1.925 , 132.419
1.926 , 133.123
1.927 , 133.829
1.928 , 134.536
1.929 , 135.245
1.93 , 135.955
1.931 , 136.668
1.932 , 137.381
1.933 , 138.097
1.934 , 138.814
1.935 , 139.532
1.936 , 140.252
1.937 , 140.974
1.938 , 141.697
1.939 , 142.422
1.94 , 143.149
1.941 , 143.877
1.942 , 144.606
1.943 , 145.337
1.944 , 146.07
1.945 , 146.804
1.946 , 147.408
1.947 , 147.986
1.948 , 148.565
1.949 , 149.145
1.95 , 149.726
