a, Fruling
0 , 276.736
0.001 , 276.732
0.002 , 276.728
0.003 , 276.724
0.004 , 276.72
0.005 , 276.716
0.006 , 276.712
0.007 , 276.708
0.008 , 276.703
0.009 , 276.699
0.01 , 276.695
0.011 , 276.691
0.012 , 276.687
0.013 , 276.683
0.014 , 276.679
0.015 , 276.674
0.016 , 276.67
0.017 , 276.666
0.018 , 276.662
0.019 , 276.657
0.02 , 276.653
0.021 , 276.649
0.022 , 276.645
0.023 , 276.64
0.024 , 276.636
0.025 , 276.632
0.026 , 276.627
0.027 , 276.623
0.028 , 276.619
0.029 , 276.614
0.03 , 276.61
0.031 , 276.605
0.032 , 276.601
0.033 , 276.596
0.034 , 276.592
0.035 , 276.587
0.036 , 276.583
0.037 , 276.578
0.038 , 276.574
0.039 , 276.569
0.04 , 276.565
0.041 , 276.56
0.042 , 276.556
0.043 , 276.551
0.044 , 276.546
0.045 , 276.542
0.046 , 276.537
0.047 , 276.532
0.048 , 276.528
0.049 , 276.523
0.05 , 276.518
0.051 , 276.514
0.052 , 276.509
0.053 , 276.504
0.054 , 276.499
0.055 , 276.494
0.056 , 276.49
0.057 , 276.485
0.058 , 276.48
0.059 , 276.475
0.06 , 276.47
0.061 , 276.465
0.062 , 276.461
0.063 , 276.456
0.064 , 276.451
0.065 , 276.446
0.066 , 276.441
0.067 , 276.436
0.068 , 276.431
0.069 , 276.426
0.07 , 276.421
0.071 , 276.416
0.072 , 276.411
0.073 , 276.406
0.074 , 276.401
0.075 , 276.396
0.076 , 276.391
0.077 , 276.385
0.078 , 276.38
0.079 , 276.375
0.08 , 276.37
0.081 , 276.365
0.082 , 276.36
0.083 , 276.354
0.084 , 276.349
0.085 , 276.344
0.086 , 276.339
0.087 , 276.333
0.088 , 276.328
0.089 , 276.323
0.09 , 276.318
0.091 , 276.312
0.092 , 276.307
0.093 , 276.301
0.094 , 276.296
0.095 , 276.291
0.096 , 276.285
0.097 , 276.28
0.098 , 276.274
0.099 , 276.269
0.1 , 276.264
0.101 , 276.258
0.102 , 276.253
0.103 , 276.247
0.104 , 276.242
0.105 , 276.236
0.106 , 276.23
0.107 , 276.225
0.108 , 276.219
0.109 , 276.214
0.11 , 276.208
0.111 , 276.202
0.112 , 276.197
0.113 , 276.191
0.114 , 276.185
0.115 , 276.18
0.116 , 276.174
0.117 , 276.168
0.118 , 276.163
0.119 , 276.157
0.12 , 276.151
0.121 , 276.145
0.122 , 276.139
0.123 , 276.134
0.124 , 276.128
0.125 , 276.122
0.126 , 276.116
0.127 , 276.11
0.128 , 276.104
0.129 , 276.098
0.13 , 276.093
0.131 , 276.087
0.132 , 276.081
0.133 , 276.075
0.134 , 276.069
0.135 , 276.063
0.136 , 276.057
0.137 , 276.051
0.138 , 276.045
0.139 , 276.038
0.14 , 276.032
0.141 , 276.026
0.142 , 276.02
0.143 , 276.014
0.144 , 276.008
0.145 , 276.002
0.146 , 275.996
0.147 , 275.989
0.148 , 275.983
0.149 , 275.977
0.15 , 275.971
0.151 , 275.965
0.152 , 275.958
0.153 , 275.952
0.154 , 275.946
0.155 , 275.939
0.156 , 275.933
0.157 , 275.927
0.158 , 275.92
0.159 , 275.914
0.16 , 275.908
0.161 , 275.901
0.162 , 275.895
0.163 , 275.888
0.164 , 275.882
0.165 , 275.875
0.166 , 275.869
0.167 , 275.862
0.168 , 275.856
0.169 , 275.849
0.17 , 275.843
0.171 , 275.836
0.172 , 275.83
0.173 , 275.823
0.174 , 275.816
0.175 , 275.81
0.176 , 275.803
0.177 , 275.796
0.178 , 275.79
0.179 , 275.783
0.18 , 275.776
0.181 , 275.77
0.182 , 275.763
0.183 , 275.756
0.184 , 275.749
0.185 , 275.743
0.186 , 275.736
0.187 , 275.729
0.188 , 275.722
0.189 , 275.715
0.19 , 275.708
0.191 , 275.702
0.192 , 275.695
0.193 , 275.688
0.194 , 275.681
0.195 , 275.674
0.196 , 275.667
0.197 , 275.66
0.198 , 275.653
0.199 , 275.646
0.2 , 275.639
0.201 , 275.632
0.202 , 275.625
0.203 , 275.618
0.204 , 275.611
0.205 , 275.603
0.206 , 275.596
0.207 , 275.589
0.208 , 275.582
0.209 , 275.575
0.21 , 275.568
0.211 , 275.56
0.212 , 275.553
0.213 , 275.546
0.214 , 275.539
0.215 , 275.531
0.216 , 275.524
0.217 , 275.517
0.218 , 275.51
0.219 , 275.502
0.22 , 275.495
0.221 , 275.487
0.222 , 275.48
0.223 , 275.473
0.224 , 275.465
0.225 , 275.458
0.226 , 275.45
0.227 , 275.443
0.228 , 275.435
0.229 , 275.428
0.23 , 275.42
0.231 , 275.413
0.232 , 275.405
0.233 , 275.398
0.234 , 275.39
0.235 , 275.383
0.236 , 275.375
0.237 , 275.367
0.238 , 275.36
0.239 , 275.352
0.24 , 275.344
0.241 , 275.337
0.242 , 275.329
0.243 , 275.321
0.244 , 275.313
0.245 , 275.306
0.246 , 275.298
0.247 , 275.29
0.248 , 275.282
0.249 , 275.274
0.25 , 275.266
0.251 , 275.259
0.252 , 275.251
0.253 , 275.243
0.254 , 275.235
0.255 , 275.227
0.256 , 275.219
0.257 , 275.211
0.258 , 275.203
0.259 , 275.195
0.26 , 275.187
0.261 , 275.179
0.262 , 275.171
0.263 , 275.163
0.264 , 275.155
0.265 , 275.147
0.266 , 275.138
0.267 , 275.13
0.268 , 275.122
0.269 , 275.114
0.27 , 275.106
0.271 , 275.098
0.272 , 275.089
0.273 , 275.081
0.274 , 275.073
0.275 , 275.065
0.276 , 275.056
0.277 , 275.048
0.278 , 275.04
0.279 , 275.031
0.28 , 275.023
0.281 , 275.014
0.282 , 275.006
0.283 , 274.998
0.284 , 274.989
0.285 , 274.981
0.286 , 274.972
0.287 , 274.964
0.288 , 274.955
0.289 , 274.947
0.29 , 274.938
0.291 , 274.93
0.292 , 274.921
0.293 , 274.913
0.294 , 274.904
0.295 , 274.895
0.296 , 274.887
0.297 , 274.878
0.298 , 274.869
0.299 , 274.861
0.3 , 274.852
0.301 , 274.843
0.302 , 274.834
0.303 , 274.826
0.304 , 274.817
0.305 , 274.808
0.306 , 274.799
0.307 , 274.79
0.308 , 274.781
0.309 , 274.773
0.31 , 274.764
0.311 , 274.755
0.312 , 274.746
0.313 , 274.737
0.314 , 274.728
0.315 , 274.719
0.316 , 274.71
0.317 , 274.701
0.318 , 274.692
0.319 , 274.683
0.32 , 274.674
0.321 , 274.665
0.322 , 274.656
0.323 , 274.646
0.324 , 274.637
0.325 , 274.628
0.326 , 274.619
0.327 , 274.61
0.328 , 274.601
0.329 , 274.591
0.33 , 274.582
0.331 , 274.573
0.332 , 274.563
0.333 , 274.554
0.334 , 274.545
0.335 , 274.536
0.336 , 274.526
0.337 , 274.517
0.338 , 274.507
0.339 , 274.498
0.34 , 274.489
0.341 , 274.479
0.342 , 274.47
0.343 , 274.46
0.344 , 274.451
0.345 , 274.441
0.346 , 274.431
0.347 , 274.422
0.348 , 274.412
0.349 , 274.403
0.35 , 274.393
0.351 , 274.383
0.352 , 274.374
0.353 , 274.364
0.354 , 274.354
0.355 , 274.345
0.356 , 274.335
0.357 , 274.325
0.358 , 274.315
0.359 , 274.306
0.36 , 274.296
0.361 , 274.286
0.362 , 274.276
0.363 , 274.266
0.364 , 274.256
0.365 , 274.247
0.366 , 274.237
0.367 , 274.227
0.368 , 274.217
0.369 , 274.207
0.37 , 274.197
0.371 , 274.187
0.372 , 274.177
0.373 , 274.167
0.374 , 274.157
0.375 , 274.146
0.376 , 274.136
0.377 , 274.126
0.378 , 274.116
0.379 , 274.106
0.38 , 274.096
0.381 , 274.085
0.382 , 274.075
0.383 , 274.065
0.384 , 274.055
0.385 , 274.044
0.386 , 274.034
0.387 , 274.024
0.388 , 274.013
0.389 , 274.003
0.39 , 273.993
0.391 , 273.982
0.392 , 273.972
0.393 , 273.961
0.394 , 273.951
0.395 , 273.941
0.396 , 273.93
0.397 , 273.919
0.398 , 273.909
0.399 , 273.898
0.4 , 273.888
0.401 , 273.877
0.402 , 273.867
0.403 , 273.856
0.404 , 273.845
0.405 , 273.835
0.406 , 273.824
0.407 , 273.813
0.408 , 273.802
0.409 , 273.792
0.41 , 273.781
0.411 , 273.77
0.412 , 273.759
0.413 , 273.748
0.414 , 273.738
0.415 , 273.727
0.416 , 273.716
0.417 , 273.705
0.418 , 273.694
0.419 , 273.683
0.42 , 273.672
0.421 , 273.661
0.422 , 273.65
0.423 , 273.639
0.424 , 273.628
0.425 , 273.617
0.426 , 273.606
0.427 , 273.595
0.428 , 273.583
0.429 , 273.572
0.43 , 273.561
0.431 , 273.55
0.432 , 273.539
0.433 , 273.527
0.434 , 273.516
0.435 , 273.505
0.436 , 273.494
0.437 , 273.482
0.438 , 273.471
0.439 , 273.46
0.44 , 273.448
0.441 , 273.437
0.442 , 273.425
0.443 , 273.414
0.444 , 273.402
0.445 , 273.391
0.446 , 273.379
0.447 , 273.368
0.448 , 273.356
0.449 , 273.345
0.45 , 273.333
0.451 , 273.322
0.452 , 273.31
0.453 , 273.298
0.454 , 273.287
0.455 , 273.275
0.456 , 273.263
0.457 , 273.251
0.458 , 273.24
0.459 , 273.228
0.46 , 273.216
0.461 , 273.204
0.462 , 273.192
0.463 , 273.18
0.464 , 273.169
0.465 , 273.157
0.466 , 273.145
0.467 , 273.133
0.468 , 273.121
0.469 , 273.109
0.47 , 273.097
0.471 , 273.085
0.472 , 273.073
0.473 , 273.061
0.474 , 273.048
0.475 , 273.036
0.476 , 273.024
0.477 , 273.012
0.478 , 273
0.479 , 272.988
0.48 , 272.975
0.481 , 272.963
0.482 , 272.951
