a, Fruling
-4.4825 , 0
-4.4815 , 0
-4.4805 , 0
-4.4795 , 0
-4.4785 , 0
-4.4775 , 0
-4.4765 , 0
-4.4755 , 0
-4.4745 , 0
-4.4735 , 2.00523
-4.4725 , 2.17642
-4.4715 , 4.42153
-4.4705 , 6.84766
-4.4695 , 9.40545
-4.4685 , 12.067
-4.4675 , 14.9012
-4.4665 , 19.8882
-4.4655 , 23.0794
-4.4645 , 24.2728
-4.4635 , 25.4669
-4.4625 , 26.662
-4.4615 , 27.8581
-4.4605 , 29.0552
-4.4595 , 30.2535
-4.4585 , 31.453
-4.4575 , 32.6539
-4.4565 , 33.8561
-4.4555 , 35.0599
-4.4545 , 36.2652
-4.4535 , 37.4722
-4.4525 , 38.681
-4.4515 , 39.8917
-4.4505 , 41.1043
-4.4495 , 42.3189
-4.4485 , 43.5357
-4.4475 , 44.7547
-4.4465 , 45.976
-4.4455 , 47.1997
-4.4445 , 48.4259
-4.4435 , 49.6548
-4.4425 , 50.8863
-4.4415 , 52.1207
-4.4405 , 53.358
-4.4395 , 54.5983
-4.4385 , 55.8418
-4.4375 , 57.0884
-4.4365 , 58.3384
-4.4355 , 59.5919
-4.4345 , 60.8489
-4.4335 , 62.1096
-4.4325 , 63.3741
-4.4315 , 64.6425
-4.4305 , 65.9149
-4.4295 , 67.1914
-4.4285 , 68.2506
-4.4275 , 69.2029
-4.4265 , 70.1709
-4.4255 , 71.1528
-4.4245 , 72.1474
-4.4235 , 73.1537
-4.4225 , 74.1705
-4.4215 , 75.1973
-4.4205 , 76.2332
-4.4195 , 77.2777
-4.4185 , 78.3303
-4.4175 , 79.3905
-4.4165 , 80.4581
-4.4155 , 81.5326
-4.4145 , 82.6138
-4.4135 , 83.7014
-4.4125 , 84.7953
-4.4115 , 85.8953
-4.4105 , 87.0012
-4.4095 , 88.1129
-4.4085 , 89.2303
-4.4075 , 90.2276
-4.4065 , 91.1416
-4.4055 , 92.0618
-4.4045 , 92.9879
-4.4035 , 93.9197
-4.4025 , 94.8571
-4.4015 , 95.7999
-4.4005 , 96.7479
-4.3995 , 97.7011
-4.3985 , 98.6593
-4.3975 , 99.6225
-4.3965 , 100.59
-4.3955 , 101.563
-4.3945 , 102.541
-4.3935 , 103.523
-4.3925 , 104.509
-4.3915 , 105.501
-4.3905 , 106.346
-4.3895 , 107.135
-4.3885 , 107.928
-4.3875 , 108.725
-4.3865 , 109.525
-4.3855 , 110.329
-4.3845 , 111.136
-4.3835 , 111.946
-4.3825 , 112.76
-4.3815 , 113.577
-4.3805 , 114.397
-4.3795 , 115.22
-4.3785 , 116.047
-4.3775 , 116.876
-4.3765 , 117.708
-4.3755 , 118.544
-4.3745 , 119.382
-4.3735 , 120.223
-4.3725 , 121.067
-4.3715 , 121.914
-4.3705 , 122.763
-4.3695 , 123.616
-4.3685 , 124.471
-4.3675 , 125.329
-4.3665 , 126.19
-4.3655 , 127.054
-4.3645 , 127.921
-4.3635 , 128.709
-4.3625 , 129.404
-4.3615 , 130.1
-4.3605 , 130.799
