a, Fruling
1.289 , 0
1.29 , 0
1.291 , 0
1.292 , 0
1.293 , 0
1.294 , 0
1.295 , 0
1.296 , 0
1.297 , 0
1.298 , 0
1.299 , 6.21234
1.3 , 11.0054
1.301 , 14.1082
1.302 , 15.2802
1.303 , 20.5888
1.304 , 22.0581
1.305 , 23.5287
1.306 , 25.0006
1.307 , 28.5072
1.308 , 30.096
1.309 , 31.6866
1.31 , 33.2791
1.311 , 34.8736
1.312 , 36.4702
1.313 , 38.0689
1.314 , 39.67
1.315 , 41.2734
1.316 , 42.8794
1.317 , 44.4879
1.318 , 46.0991
1.319 , 47.7131
1.32 , 49.33
1.321 , 50.9499
1.322 , 52.5729
1.323 , 54.1991
1.324 , 55.8287
1.325 , 57.4617
1.326 , 59.0982
1.327 , 60.7384
1.328 , 62.3824
1.329 , 64.0303
1.33 , 65.6821
1.331 , 67.3382
1.332 , 68.9985
1.333 , 70.6631
1.334 , 72.3323
1.335 , 74.0061
1.336 , 75.6847
1.337 , 77.3682
1.338 , 79.0567
1.339 , 80.7505
1.34 , 82.4495
1.341 , 84.154
1.342 , 85.8641
1.343 , 87.58
1.344 , 89.3017
1.345 , 91.0296
1.346 , 92.7636
1.347 , 94.5041
1.348 , 96.2511
1.349 , 98.0048
1.35 , 99.7655
1.351 , 101.533
1.352 , 103.308
1.353 , 105.09
1.354 , 106.88
1.355 , 108.678
1.356 , 110.484
1.357 , 112.298
1.358 , 114.121
1.359 , 115.952
1.36 , 117.792
1.361 , 119.641
1.362 , 121.499
1.363 , 123.367
1.364 , 125.245
1.365 , 127.133
1.366 , 129.031
1.367 , 130.94
1.368 , 132.86
1.369 , 134.79
1.37 , 136.732
1.371 , 138.686
1.372 , 140.652
1.373 , 142.631
1.374 , 144.622
1.375 , 146.626
1.376 , 148.643
1.377 , 150.674
1.378 , 152.719
1.379 , 154.779
1.38 , 156.854
1.381 , 158.944
1.382 , 161.05
1.383 , 163.172
1.384 , 165.31
1.385 , 167.466
1.386 , 169.64
1.387 , 171.831
1.388 , 174.042
1.389 , 176.271
1.39 , 178.518
1.391 , 180.762
1.392 , 183.028
1.393 , 185.316
1.394 , 187.627
1.395 , 189.961
1.396 , 192.32
1.397 , 194.703
1.398 , 197.112
1.399 , 199.548
1.4 , 202.011
1.401 , 204.503
1.402 , 207.025
1.403 , 209.577
1.404 , 212.162
1.405 , 214.779
1.406 , 217.431
1.407 , 220.118
1.408 , 222.843
1.409 , 225.606
1.41 , 228.409
1.411 , 231.254
1.412 , 234.143
1.413 , 237.077
1.414 , 240.059
1.415 , 243.091
1.416 , 246.176
1.417 , 249.315
1.418 , 252.512
1.419 , 255.769
1.42 , 259.09
1.421 , 262.478
1.422 , 265.936
1.423 , 269.47
1.424 , 273.082
1.425 , 276.779
1.426 , 280.565
1.427 , 284.446
1.428 , 288.429
1.429 , 292.52
1.43 , 296.727
1.431 , 301.059
1.432 , 304.103
1.433 , 307.074
1.434 , 310.089
1.435 , 313.151
1.436 , 316.261
1.437 , 319.421
1.438 , 322.634
1.439 , 325.901
1.44 , 328.929
1.441 , 331.434
1.442 , 333.969
1.443 , 336.308
1.444 , 338.168
1.445 , 340.04
1.446 , 341.925
1.447 , 343.822
1.448 , 345.712
1.449 , 347.609
1.45 , 349.52
1.451 , 351.445
1.452 , 353.384
1.453 , 355.005
1.454 , 356.509
1.455 , 358.02
1.456 , 359.387
1.457 , 360.515
1.458 , 361.645
1.459 , 362.777
1.46 , 363.912
1.461 , 365.049
1.462 , 366.171
1.463 , 367.286
1.464 , 368.405
1.465 , 369.526
1.466 , 370.649
1.467 , 371.524
1.468 , 372.392
1.469 , 373.26
1.47 , 374.035
1.471 , 374.679
1.472 , 375.322
1.473 , 375.965
1.474 , 376.607
1.475 , 377.249
1.476 , 377.891
1.477 , 378.533
1.478 , 379.174
1.479 , 379.815
1.48 , 380.456
1.481 , 380.984
1.482 , 381.472
1.483 , 381.959
1.484 , 382.408
1.485 , 382.761
1.486 , 383.113
1.487 , 383.465
1.488 , 383.815
1.489 , 384.165
1.49 , 384.49
1.491 , 384.806
1.492 , 385.121
1.493 , 385.435
1.494 , 385.672
1.495 , 385.873
1.496 , 386.04
1.497 , 386.146
1.498 , 386.251
1.499 , 386.355
1.5 , 386.459
1.501 , 386.533
1.502 , 386.531
1.503 , 386.53
1.504 , 386.528
1.505 , 386.526
1.506 , 386.525
1.507 , 386.523
1.508 , 386.522
1.509 , 386.52
1.51 , 386.518
1.511 , 386.517
1.512 , 386.515
