a, Fruling
0 , 383.621
0.001 , 383.625
0.002 , 383.629
0.003 , 383.634
0.004 , 383.638
0.005 , 383.642
0.006 , 383.647
0.007 , 383.651
0.008 , 383.655
0.009 , 383.659
0.01 , 383.664
0.011 , 383.668
0.012 , 383.672
0.013 , 383.676
0.014 , 383.681
0.015 , 383.685
0.016 , 383.689
0.017 , 383.693
0.018 , 383.698
0.019 , 383.702
0.02 , 383.706
0.021 , 383.71
0.022 , 383.714
0.023 , 383.719
0.024 , 383.723
0.025 , 383.727
0.026 , 383.731
0.027 , 383.735
0.028 , 383.739
0.029 , 383.744
0.03 , 383.748
0.031 , 383.752
0.032 , 383.756
0.033 , 383.76
0.034 , 383.764
0.035 , 383.768
0.036 , 383.773
0.037 , 383.777
0.038 , 383.781
0.039 , 383.785
0.04 , 383.789
0.041 , 383.793
0.042 , 383.797
0.043 , 383.801
0.044 , 383.805
0.045 , 383.809
0.046 , 383.813
0.047 , 383.818
0.048 , 383.822
0.049 , 383.826
0.05 , 383.83
0.051 , 383.834
0.052 , 383.838
0.053 , 383.842
0.054 , 383.846
0.055 , 383.85
0.056 , 383.854
0.057 , 383.858
0.058 , 383.862
0.059 , 383.866
0.06 , 383.87
0.061 , 383.874
0.062 , 383.878
0.063 , 383.882
0.064 , 383.886
0.065 , 383.89
0.066 , 383.894
0.067 , 383.898
0.068 , 383.902
0.069 , 383.906
0.07 , 383.91
0.071 , 383.914
0.072 , 383.918
0.073 , 383.921
0.074 , 383.925
0.075 , 383.929
0.076 , 383.933
0.077 , 383.937
0.078 , 383.941
0.079 , 383.945
0.08 , 383.949
0.081 , 383.953
0.082 , 383.957
0.083 , 383.961
0.084 , 383.964
0.085 , 383.968
0.086 , 383.972
0.087 , 383.976
0.088 , 383.98
0.089 , 383.984
0.09 , 383.988
0.091 , 383.991
0.092 , 383.995
0.093 , 383.999
0.094 , 384.003
0.095 , 384.007
0.096 , 384.011
0.097 , 384.015
0.098 , 384.018
0.099 , 384.022
0.1 , 384.026
0.101 , 384.03
0.102 , 384.034
0.103 , 384.037
0.104 , 384.041
0.105 , 384.045
0.106 , 384.049
0.107 , 384.053
0.108 , 384.056
0.109 , 384.06
0.11 , 384.064
0.111 , 384.068
0.112 , 384.071
0.113 , 384.075
0.114 , 384.079
0.115 , 384.083
0.116 , 384.086
0.117 , 384.09
0.118 , 384.094
0.119 , 384.098
0.12 , 384.101
0.121 , 384.105
0.122 , 384.109
0.123 , 384.112
0.124 , 384.116
0.125 , 384.12
0.126 , 384.124
0.127 , 384.127
0.128 , 384.131
0.129 , 384.135
0.13 , 384.138
0.131 , 384.142
0.132 , 384.146
