a, Fruling
-1.85267 , 377.289
-1.85167 , 377.276
-1.85067 , 377.263
-1.84967 , 377.25
-1.84867 , 377.237
-1.84767 , 377.224
-1.84667 , 377.211
-1.84567 , 377.197
-1.84467 , 377.184
-1.84367 , 377.171
-1.84267 , 377.157
-1.84167 , 377.144
-1.84067 , 377.131
-1.83967 , 377.117
-1.83867 , 377.104
-1.83767 , 377.09
-1.83667 , 377.076
-1.83567 , 377.063
-1.83467 , 377.049
-1.83367 , 377.036
-1.83267 , 377.022
-1.83167 , 377.008
-1.83067 , 376.994
-1.82967 , 376.98
-1.82867 , 376.967
-1.82767 , 376.953
-1.82667 , 376.939
-1.82567 , 376.925
-1.82467 , 376.911
-1.82367 , 376.897
-1.82267 , 376.882
-1.82167 , 376.868
-1.82067 , 376.854
-1.81967 , 376.84
-1.81867 , 376.826
-1.81767 , 376.811
-1.81667 , 376.797
-1.81567 , 376.782
-1.81467 , 376.768
-1.81367 , 376.754
-1.81267 , 376.739
-1.81167 , 376.724
-1.81067 , 376.71
-1.80967 , 376.695
-1.80867 , 376.681
-1.80767 , 376.666
-1.80667 , 376.651
-1.80567 , 376.636
-1.80467 , 376.621
-1.80367 , 376.607
-1.80267 , 376.592
-1.80167 , 376.577
-1.80067 , 376.562
-1.79967 , 376.547
-1.79867 , 376.531
-1.79767 , 376.516
-1.79667 , 376.501
-1.79567 , 376.486
-1.79467 , 376.471
-1.79367 , 376.455
-1.79267 , 376.44
-1.79167 , 376.424
-1.79067 , 376.409
-1.78967 , 376.393
-1.78867 , 376.378
-1.78767 , 376.362
-1.78667 , 376.347
-1.78567 , 376.331
-1.78467 , 376.315
-1.78367 , 376.299
-1.78267 , 376.283
-1.78167 , 376.268
-1.78067 , 376.252
-1.77967 , 376.236
-1.77867 , 376.22
-1.77767 , 376.204
-1.77667 , 376.187
-1.77567 , 376.171
-1.77467 , 376.155
-1.77367 , 376.139
-1.77267 , 376.122
-1.77167 , 376.106
-1.77067 , 376.09
-1.76967 , 376.073
-1.76867 , 376.057
-1.76767 , 376.04
-1.76667 , 376.024
-1.76567 , 376.007
-1.76467 , 375.99
-1.76367 , 375.973
-1.76267 , 375.957
-1.76167 , 375.94
-1.76067 , 375.923
-1.75967 , 375.906
-1.75867 , 375.889
-1.75767 , 375.872
-1.75667 , 375.855
-1.75567 , 375.837
-1.75467 , 375.82
-1.75367 , 375.803
-1.75267 , 375.785
-1.75167 , 375.768
-1.75067 , 375.751
-1.74967 , 375.733
-1.74867 , 375.715
-1.74767 , 375.698
-1.74667 , 375.68
-1.74567 , 375.662
-1.74467 , 375.645
-1.74367 , 375.627
-1.74267 , 375.609
-1.74167 , 375.591
-1.74067 , 375.573
-1.73967 , 375.555
-1.73867 , 375.537
-1.73767 , 375.519
-1.73667 , 375.5
-1.73567 , 375.482
-1.73467 , 375.464
-1.73367 , 375.445
-1.73267 , 375.427
-1.73167 , 375.408
-1.73067 , 375.39
-1.72967 , 375.371
-1.72867 , 375.352
-1.72767 , 375.333
-1.72667 , 375.315
-1.72567 , 375.296
-1.72467 , 375.277
-1.72367 , 375.258
-1.72267 , 375.239
-1.72167 , 375.219
-1.72067 , 375.2
-1.71967 , 375.181
-1.71867 , 375.162
-1.71767 , 375.142
-1.71667 , 375.123
-1.71567 , 375.103
-1.71467 , 375.084
-1.71367 , 375.064
-1.71267 , 375.044
-1.71167 , 375.024
-1.71067 , 375.005
-1.70967 , 374.985
-1.70867 , 374.965
-1.70767 , 374.945
-1.70667 , 374.924
-1.70567 , 374.904
-1.70467 , 374.884
-1.70367 , 374.864
-1.70267 , 374.843
-1.70167 , 374.823
-1.70067 , 374.802
-1.69967 , 374.782
-1.69867 , 374.761
-1.69767 , 374.74
-1.69667 , 374.719
-1.69567 , 374.699
-1.69467 , 374.678
-1.69367 , 374.657
-1.69267 , 374.635
-1.69167 , 374.614
-1.69067 , 374.593
-1.68967 , 374.572
-1.68867 , 374.55
-1.68767 , 374.529
-1.68667 , 374.507
-1.68567 , 374.486
-1.68467 , 374.464
-1.68367 , 374.442
-1.68267 , 374.42
-1.68167 , 374.398
-1.68067 , 374.376
-1.67967 , 374.354
-1.67867 , 374.332
-1.67767 , 374.31
-1.67667 , 374.288
-1.67567 , 374.265
-1.67467 , 374.243
-1.67367 , 374.22
-1.67267 , 374.198
-1.67167 , 374.175
-1.67067 , 374.152
-1.66967 , 374.129
-1.66867 , 374.106
-1.66767 , 374.083
-1.66667 , 374.06
-1.66567 , 374.037
-1.66467 , 374.014
-1.66367 , 373.99
-1.66267 , 373.967
-1.66167 , 373.943
-1.66067 , 373.92
-1.65967 , 373.896
-1.65867 , 373.872
-1.65767 , 373.848
-1.65667 , 373.824
-1.65567 , 373.8
-1.65467 , 373.776
