a, Fruling
1.25026 , 30.9956
1.25126 , 30.9827
1.25226 , 30.9699
1.25326 , 30.957
1.25426 , 30.9441
1.25526 , 30.9311
1.25626 , 30.9182
1.25726 , 30.9052
1.25826 , 30.8921
1.25926 , 30.8791
1.26026 , 30.866
1.26126 , 30.8529
1.26226 , 30.8398
1.26326 , 30.8267
1.26426 , 30.8135
1.26526 , 30.8003
1.26626 , 30.7871
1.26726 , 30.7738
1.26826 , 30.7606
1.26926 , 30.7473
1.27026 , 30.734
1.27126 , 30.7206
1.27226 , 30.7072
1.27326 , 30.6938
1.27426 , 30.6804
1.27526 , 30.6669
1.27626 , 30.6535
1.27726 , 30.64
1.27826 , 30.6264
1.27926 , 30.6129
1.28026 , 30.5993
1.28126 , 30.5857
1.28226 , 30.572
1.28326 , 30.5584
1.28426 , 30.5447
1.28526 , 30.5309
1.28626 , 30.5172
1.28726 , 30.5034
1.28826 , 30.4896
1.28926 , 30.4758
1.29026 , 30.4619
1.29126 , 30.4481
1.29226 , 30.4341
1.29326 , 30.4202
1.29426 , 30.4062
1.29526 , 30.3923
1.29626 , 30.3782
1.29726 , 30.3642
1.29826 , 30.3501
1.29926 , 30.336
1.30026 , 30.3219
1.30126 , 30.3077
1.30226 , 30.2935
1.30326 , 30.2793
1.30426 , 30.2651
1.30526 , 30.2508
1.30626 , 30.2365
1.30726 , 30.2222
1.30826 , 30.2078
1.30926 , 30.1934
1.31026 , 30.179
1.31126 , 30.1646
1.31226 , 30.1501
1.31326 , 30.1356
1.31426 , 30.1211
1.31526 , 30.1065
1.31626 , 30.0919
1.31726 , 30.0773
1.31826 , 30.0626
1.31926 , 30.048
1.32026 , 30.0332
1.32126 , 30.0185
1.32226 , 30.0037
1.32326 , 29.9889
1.32426 , 29.9741
1.32526 , 29.9593
1.32626 , 29.9444
1.32726 , 29.9295
1.32826 , 29.9145
1.32926 , 29.8995
1.33026 , 29.8845
1.33126 , 29.8695
1.33226 , 29.8544
1.33326 , 29.8393
1.33426 , 29.8242
1.33526 , 29.809
1.33626 , 29.7938
1.33726 , 29.7786
1.33826 , 29.7634
1.33926 , 29.7481
1.34026 , 29.7328
1.34126 , 29.7174
1.34226 , 29.702
1.34326 , 29.6866
1.34426 , 29.6712
1.34526 , 29.6557
1.34626 , 29.6402
1.34726 , 29.6247
1.34826 , 29.6091
1.34926 , 29.5935
1.35026 , 29.5779
1.35126 , 29.5622
1.35226 , 29.5465
1.35326 , 29.5308
1.35426 , 29.515
1.35526 , 29.4992
1.35626 , 29.4834
1.35726 , 29.4675
1.35826 , 29.4516
1.35926 , 29.4357
1.36026 , 29.4197
1.36126 , 29.4037
1.36226 , 29.3877
1.36326 , 29.3717
1.36426 , 29.3556
1.36526 , 29.3389
1.36626 , 29.2472
1.36726 , 29.1558
1.36826 , 29.0648
1.36926 , 28.9742
1.37026 , 28.8839
1.37126 , 28.794
1.37226 , 28.7044
1.37326 , 28.6151
1.37426 , 28.5262
1.37526 , 28.4377
1.37626 , 28.3494
1.37726 , 28.2615
1.37826 , 28.174
1.37926 , 28.0868
1.38026 , 27.9999
1.38126 , 27.9133
1.38226 , 27.827
1.38326 , 27.7411
1.38426 , 27.6555
1.38526 , 27.5702
1.38626 , 27.4852
1.38726 , 27.4006
1.38826 , 27.3163
1.38926 , 27.2322
1.39026 , 27.1485
1.39126 , 27.0651
1.39226 , 26.982
1.39326 , 26.8992
1.39426 , 26.8167
1.39526 , 26.7345
1.39626 , 26.6526
1.39726 , 26.5709
1.39826 , 26.4896
1.39926 , 26.4086
1.40026 , 26.3279
1.40126 , 26.2474
1.40226 , 26.1673
1.40326 , 26.0874
1.40426 , 26.0078
1.40526 , 25.9285
1.40626 , 25.8495
1.40726 , 25.7707
1.40826 , 25.6922
1.40926 , 25.614
1.41026 , 25.5361
1.41126 , 25.4584
1.41226 , 25.3811
1.41326 , 25.3039
1.41426 , 25.2271
1.41526 , 25.1505
1.41626 , 25.0742
1.41726 , 24.9981
1.41826 , 24.9223
1.41926 , 24.8468
1.42026 , 24.7715
1.42126 , 24.6964
1.42226 , 24.6217
1.42326 , 24.5471
1.42426 , 24.4729
1.42526 , 24.3988
1.42626 , 24.3251
1.42726 , 24.2515
1.42826 , 24.1783
1.42926 , 24.1052
1.43026 , 24.0324
1.43126 , 23.9599
1.43226 , 23.8875
1.43326 , 23.8155
1.43426 , 23.7436
1.43526 , 23.672
1.43626 , 23.6006
1.43726 , 23.5295
1.43826 , 23.4586
1.43926 , 23.3879
1.44026 , 23.3174
1.44126 , 23.2472
1.44226 , 23.1772
1.44326 , 23.1074
1.44426 , 23.0379
1.44526 , 22.9685
1.44626 , 22.8994
1.44726 , 22.8305
1.44826 , 22.7618
1.44926 , 22.6934
1.45026 , 22.6251
1.45126 , 22.5571
1.45226 , 22.4893
1.45326 , 22.4217
1.45426 , 22.3543
1.45526 , 22.2871
1.45626 , 22.2201
1.45726 , 22.1533
1.45826 , 22.0868
1.45926 , 22.0204
1.46026 , 21.9542
1.46126 , 21.8883
1.46226 , 21.8225
1.46326 , 21.757
1.46426 , 21.6916
1.46526 , 21.6264
1.46626 , 21.5615
1.46726 , 21.4967
1.46826 , 21.4321
1.46926 , 21.3677
1.47026 , 21.3035
1.47126 , 21.2395
1.47226 , 21.1757
1.47326 , 21.1121
1.47426 , 21.0487
1.47526 , 20.9854
1.47626 , 20.9223
1.47726 , 20.8595
1.47826 , 20.7968
1.47926 , 20.7342
1.48026 , 20.6719
1.48126 , 20.6098
1.48226 , 20.5478
1.48326 , 20.486
1.48426 , 20.4244
1.48526 , 20.3629
1.48626 , 20.3016
1.48726 , 20.2406
1.48826 , 20.1796
1.48926 , 20.1189
1.49026 , 20.0583
1.49126 , 19.9979
1.49226 , 19.9377
1.49326 , 19.8776
1.49426 , 19.8177
1.49526 , 19.7579
1.49626 , 19.6984
1.49726 , 19.639
1.49826 , 19.5797
1.49926 , 19.5206
1.50026 , 19.4617
1.50126 , 19.403
1.50226 , 19.3444
1.50326 , 19.2859
1.50426 , 19.2276
1.50526 , 19.1695
1.50626 , 19.1115
1.50726 , 19.0537
1.50826 , 18.9961
1.50926 , 18.9386
1.51026 , 18.8812
1.51126 , 18.824
1.51226 , 18.767
1.51326 , 18.7101
