a, Fruling
1.862 , 0
1.863 , 0
1.864 , 0
1.865 , 2.11398
1.866 , 2.3845
1.867 , 4.84061
1.868 , 5.37206
1.869 , 7.98483
1.87 , 8.74132
1.871 , 9.49839
1.872 , 12.3728
1.873 , 13.3167
1.874 , 16.2741
1.875 , 19.547
1.876 , 22.876
1.877 , 28.492
1.878 , 30.2161
1.879 , 31.9416
1.88 , 33.6688
1.881 , 35.3977
1.882 , 37.1286
1.883 , 38.8615
1.884 , 40.5966
1.885 , 42.334
1.886 , 44.074
1.887 , 45.8165
1.888 , 47.5619
1.889 , 49.3102
1.89 , 51.0616
1.891 , 52.8162
1.892 , 54.5742
1.893 , 56.3357
1.894 , 58.101
1.895 , 59.8701
1.896 , 61.6433
1.897 , 63.4207
1.898 , 65.2024
1.899 , 66.9886
1.9 , 68.7796
1.901 , 70.5754
1.902 , 72.3762
1.903 , 74.1822
1.904 , 75.9937
1.905 , 77.8107
1.906 , 79.6335
1.907 , 81.3742
1.908 , 83.0921
1.909 , 84.8142
1.91 , 86.5405
1.911 , 88.2712
1.912 , 90.0067
1.913 , 91.747
1.914 , 93.4925
1.915 , 95.2432
1.916 , 96.6923
1.917 , 98.0704
1.918 , 99.456
1.919 , 100.849
1.92 , 102.249
1.921 , 103.655
1.922 , 105.068
1.923 , 106.487
1.924 , 107.913
1.925 , 109.344
1.926 , 110.782
1.927 , 112.225
1.928 , 113.674
1.929 , 115.129
1.93 , 116.59
1.931 , 118.056
1.932 , 119.528
1.933 , 120.897
1.934 , 122.084
1.935 , 123.275
1.936 , 124.468
1.937 , 125.665
1.938 , 126.865
1.939 , 128.069
1.94 , 129.275
1.941 , 130.484
1.942 , 131.696
1.943 , 132.911
1.944 , 134.129
1.945 , 135.35
1.946 , 136.574
1.947 , 137.801
1.948 , 139.03
1.949 , 140.263
1.95 , 141.499
1.951 , 142.738
1.952 , 143.979
1.953 , 145.224
1.954 , 146.472
1.955 , 147.723
1.956 , 148.955
1.957 , 150.075
1.958 , 151.069
1.959 , 151.954
1.96 , 152.838
1.961 , 153.722
1.962 , 154.606
1.963 , 155.49
1.964 , 156.373
1.965 , 157.257
1.966 , 158.14
1.967 , 159.023
1.968 , 159.905
1.969 , 160.788
1.97 , 161.67
1.971 , 162.552
1.972 , 163.434
1.973 , 164.316
1.974 , 165.198
1.975 , 166.079
1.976 , 166.961
1.977 , 167.842
1.978 , 168.724
1.979 , 169.605
1.98 , 170.486
1.981 , 171.367
1.982 , 172.248
1.983 , 173.129
1.984 , 174.01
1.985 , 174.891
1.986 , 175.771
1.987 , 176.652
1.988 , 177.533
1.989 , 178.415
1.99 , 179.296
1.991 , 180.177
1.992 , 181.058
1.993 , 181.94
1.994 , 182.821
1.995 , 183.703
1.996 , 184.585
1.997 , 185.338
1.998 , 186.038
1.999 , 186.737
2 , 187.435
2.001 , 188.131
2.002 , 188.827
2.003 , 189.522
2.004 , 190.216
2.005 , 190.91
2.006 , 191.602
2.007 , 192.293
2.008 , 192.984
2.009 , 193.673
2.01 , 194.362
2.011 , 195.05
2.012 , 195.737
2.013 , 196.423
2.014 , 197.108
2.015 , 197.793
2.016 , 198.477
2.017 , 199.16
2.018 , 199.842
2.019 , 200.523
2.02 , 201.203
2.021 , 201.883
2.022 , 202.562
2.023 , 203.241
2.024 , 203.918
2.025 , 204.595
2.026 , 205.221
2.027 , 205.781
2.028 , 206.34
2.029 , 206.898
2.03 , 207.455
2.031 , 208.011
2.032 , 208.565
2.033 , 209.119
2.034 , 209.672
2.035 , 210.223
2.036 , 210.774
2.037 , 211.323
2.038 , 211.871
2.039 , 212.419
2.04 , 212.965
2.041 , 213.511
2.042 , 214.055
2.043 , 214.599
2.044 , 215.141
2.045 , 215.683
2.046 , 216.223
2.047 , 216.763
2.048 , 217.301
2.049 , 217.839
2.05 , 218.376
2.051 , 218.912
2.052 , 219.447
2.053 , 219.981
2.054 , 220.514
2.055 , 221.046
2.056 , 221.577
2.057 , 222.107
2.058 , 222.637
2.059 , 223.166
2.06 , 223.693
2.061 , 224.22
2.062 , 224.746
2.063 , 225.272
2.064 , 225.796
2.065 , 226.319
2.066 , 226.765
2.067 , 227.169
2.068 , 227.572
2.069 , 227.974
2.07 , 228.375
2.071 , 228.774
2.072 , 229.173
2.073 , 229.57
2.074 , 229.967
2.075 , 230.362
2.076 , 230.756
2.077 , 231.149
2.078 , 231.542
2.079 , 231.933
2.08 , 232.323
2.081 , 232.712
2.082 , 233.1
2.083 , 233.486
2.084 , 233.872
2.085 , 234.257
2.086 , 234.641
2.087 , 235.024
2.088 , 235.406
2.089 , 235.786
2.09 , 236.166
2.091 , 236.545
2.092 , 236.923
2.093 , 237.3
2.094 , 237.675
2.095 , 238.05
2.096 , 238.424
2.097 , 238.797
2.098 , 239.169
2.099 , 239.54
2.1 , 239.91
2.101 , 240.279
2.102 , 240.647
2.103 , 241.015
2.104 , 241.381
2.105 , 241.746
2.106 , 242.111
2.107 , 242.474
2.108 , 242.837
2.109 , 243.198
2.11 , 243.559
2.111 , 243.919
2.112 , 244.278
2.113 , 244.636
2.114 , 244.993
2.115 , 245.35
2.116 , 245.705
2.117 , 246.059
2.118 , 246.413
2.119 , 246.766
2.12 , 247.118
2.121 , 247.469
2.122 , 247.819
2.123 , 248.168
2.124 , 248.517
2.125 , 248.864
2.126 , 249.211
2.127 , 249.557
2.128 , 249.902
2.129 , 250.246
