a, Eruling,,a, Eruling
0,319.857,,3.14159,322.481
0.001,319.855,,3.14259,322.484
0.002,319.853,,3.14359,322.486
0.003,319.852,,3.14459,322.489
0.004,319.85,,3.14559,322.491
0.005,319.848,,3.14659,322.494
0.006,319.846,,3.14759,322.496
0.007,319.845,,3.14859,322.499
0.008,319.843,,3.14959,322.501
0.009,319.841,,3.15059,322.503
0.01,319.839,,3.15159,322.505
0.011,319.837,,3.15259,322.507
0.012,319.835,,3.15359,322.509
0.013,319.833,,3.15459,322.511
0.014,319.832,,3.15559,322.513
0.015,319.83,,3.15659,322.515
0.016,319.828,,3.15759,322.517
0.017,319.826,,3.15859,322.519
0.018,319.824,,3.15959,322.52
0.019,319.822,,3.16059,322.522
0.02,319.82,,3.16159,322.523
0.021,319.818,,3.16259,322.525
0.022,319.816,,3.16359,322.526
0.023,319.813,,3.16459,322.528
0.024,319.811,,3.16559,322.529
0.025,319.809,,3.16659,322.53
0.026,319.807,,3.16759,322.532
0.027,319.805,,3.16859,322.533
0.028,319.803,,3.16959,322.534
0.029,319.801,,3.17059,322.535
0.03,319.798,,3.17159,322.536
0.031,319.796,,3.17259,322.537
0.032,319.794,,3.17359,322.537
0.033,319.792,,3.17459,322.538
0.034,319.789,,3.17559,322.539
0.035,319.787,,3.17659,322.539
0.036,319.785,,3.17759,322.54
0.037,319.782,,3.17859,322.541
0.038,319.78,,3.17959,322.541
0.039,319.778,,3.18059,322.541
0.04,319.775,,3.18159,322.542
0.041,319.773,,3.18259,322.542
0.042,319.77,,3.18359,322.542
0.043,319.768,,3.18459,322.542
0.044,319.765,,3.18559,322.542
0.045,319.763,,3.18659,322.542
0.046,319.76,,3.18759,322.542
0.047,319.758,,3.18859,322.542
0.048,319.755,,3.18959,322.542
0.049,319.753,,3.19059,322.542
0.05,319.75,,3.19159,322.542
0.051,319.747,,3.19259,322.541
0.052,319.745,,3.19359,322.541
0.053,319.742,,3.19459,322.54
0.054,319.739,,3.19559,322.54
0.055,319.737,,3.19659,322.539
0.056,319.734,,3.19759,322.539
0.057,319.731,,3.19859,322.538
0.058,319.729,,3.19959,322.537
0.059,319.726,,3.20059,322.536
0.06,319.723,,3.20159,322.535
0.061,319.72,,3.20259,322.535
0.062,319.717,,3.20359,322.533
0.063,319.715,,3.20459,322.532
0.064,319.712,,3.20559,322.531
0.065,319.709,,3.20659,322.53
0.066,319.706,,3.20759,322.529
0.067,319.703,,3.20859,322.527
0.068,319.7,,3.20959,322.526
0.069,319.697,,3.21059,322.525
0.07,319.694,,3.21159,322.523
0.071,319.691,,3.21259,322.522
0.072,319.688,,3.21359,322.52
0.073,319.685,,3.21459,322.518
0.074,319.682,,3.21559,322.516
0.075,319.679,,3.21659,322.515
0.076,319.676,,3.21759,322.513
0.077,319.673,,3.21859,322.511
0.078,319.67,,3.21959,322.509
0.079,319.667,,3.22059,322.507
0.08,319.663,,3.22159,322.505
0.081,319.66,,3.22259,322.502
0.082,319.657,,3.22359,322.5
0.083,319.654,,3.22459,322.498
0.084,319.651,,3.22559,322.495
0.085,319.647,,3.22659,322.493
0.086,319.644,,3.22759,322.491
0.087,319.641,,3.22859,322.488
0.088,319.637,,3.22959,322.485
0.089,319.634,,3.23059,322.483
0.09,319.631,,3.23159,322.48
0.091,319.627,,3.23259,322.477
0.092,319.624,,3.23359,322.474
0.093,319.621,,3.23459,322.471
0.094,319.617,,3.23559,322.468
0.095,319.614,,3.23659,322.465
0.096,319.61,,3.23759,322.462
0.097,319.607,,3.23859,322.459
0.098,319.603,,3.23959,322.456
0.099,319.6,,3.24059,322.452
0.1,319.596,,3.24159,322.449
0.101,319.593,,3.24259,322.446
0.102,319.589,,3.24359,322.442
0.103,319.586,,3.24459,322.438
0.104,319.582,,3.24559,322.435
0.105,319.578,,3.24659,322.431
0.106,319.575,,3.24759,322.427
0.107,319.571,,3.24859,322.424
0.108,319.567,,3.24959,322.42
0.109,319.564,,3.25059,322.416
0.11,319.56,,3.25159,322.412
0.111,319.556,,3.25259,322.408
0.112,319.552,,3.25359,322.404
0.113,319.548,,3.25459,322.399
0.114,319.545,,3.25559,322.395
0.115,319.541,,3.25659,322.391
0.116,319.537,,3.25759,322.386
0.117,319.533,,3.25859,322.382
0.118,319.529,,3.25959,322.378
0.119,319.525,,3.26059,322.373
0.12,319.521,,3.26159,322.368
0.121,319.517,,3.26259,322.364
0.122,319.514,,3.26359,322.359
0.123,319.51,,3.26459,322.354
0.124,319.506,,3.26559,322.349
0.125,319.502,,3.26659,322.344
0.126,319.497,,3.26759,322.339
0.127,319.493,,3.26859,322.334
0.128,319.489,,3.26959,322.329
0.129,319.485,,3.27059,322.324
0.13,319.481,,3.27159,322.319
0.131,319.477,,3.27259,322.313
0.132,319.473,,3.27359,322.308
0.133,319.469,,3.27459,322.302
0.134,319.464,,3.27559,322.297
0.135,319.46,,3.27659,322.291
0.136,319.456,,3.27759,322.286
0.137,319.452,,3.27859,322.28
0.138,319.448,,3.27959,322.274
0.139,319.443,,3.28059,322.268
0.14,319.439,,3.28159,322.262
0.141,319.435,,3.28259,322.256
0.142,319.43,,3.28359,322.25
0.143,319.426,,3.28459,322.244
0.144,319.421,,3.28559,322.238
0.145,319.417,,3.28659,322.232
0.146,319.413,,3.28759,322.226
0.147,319.408,,3.28859,322.219
0.148,319.404,,3.28959,322.213
0.149,319.399,,3.29059,322.206
0.15,319.395,,3.29159,322.2
0.151,319.39,,3.29259,322.193
0.152,319.386,,3.29359,322.187
0.153,319.381,,3.29459,322.18
0.154,319.377,,3.29559,322.173
0.155,319.372,,3.29659,322.166
0.156,319.367,,3.29759,322.159
0.157,319.363,,3.29859,322.152
0.158,319.358,,3.29959,322.145
0.159,319.353,,3.30059,322.138
0.16,319.349,,3.30159,322.131
0.161,319.344,,3.30259,322.124
0.162,319.339,,3.30359,322.116
0.163,319.334,,3.30459,322.109
0.164,319.33,,3.30559,322.101
0.165,319.325,,3.30659,322.094
0.166,319.32,,3.30759,322.086
0.167,319.315,,3.30859,322.079
0.168,319.31,,3.30959,322.071
0.169,319.306,,3.31059,322.063
0.17,319.301,,3.31159,322.055
0.171,319.296,,3.31259,322.047
0.172,319.291,,3.31359,322.039
0.173,319.286,,3.31459,322.031
0.174,319.281,,3.31559,322.023
0.175,319.276,,3.31659,322.015
0.176,319.271,,3.31759,322.007
0.177,319.266,,3.31859,321.999
0.178,319.261,,3.31959,321.99
0.179,319.256,,3.32059,321.982
0.18,319.251,,3.32159,321.973
0.181,319.246,,3.32259,321.965
0.182,319.24,,3.32359,321.956
0.183,319.235,,3.32459,321.947
0.184,319.23,,3.32559,321.939
0.185,319.225,,3.32659,321.93
0.186,319.22,,3.32759,321.921
0.187,319.214,,3.32859,321.912
0.188,319.209,,3.32959,321.903
0.189,319.204,,3.33059,321.894
0.19,319.199,,3.33159,321.885
0.191,319.193,,3.33259,321.875
0.192,319.188,,3.33359,321.866
0.193,319.183,,3.33459,321.857
0.194,319.177,,3.33559,321.847
0.195,319.172,,3.33659,321.838
0.196,319.166,,3.33759,321.828
0.197,319.161,,3.33859,321.819
0.198,319.156,,3.33959,321.809
0.199,319.15,,3.34059,321.799
0.2,319.145,,3.34159,321.789
0.201,319.139,,3.34259,321.779
0.202,319.134,,3.34359,321.769
0.203,319.128,,3.34459,321.759
0.204,319.123,,3.34559,321.749
0.205,319.117,,3.34659,321.739
0.206,319.111,,3.34759,321.729
0.207,319.106,,3.34859,321.718
0.208,319.1,,3.34959,321.708
0.209,319.094,,3.35059,321.698
0.21,319.089,,3.35159,321.687
0.211,319.083,,3.35259,321.677
0.212,319.077,,3.35359,321.666
0.213,319.072,,3.35459,321.655
0.214,319.066,,3.35559,321.644
0.215,319.06,,3.35659,321.633
0.216,319.054,,3.35759,321.623
0.217,319.048,,3.35859,321.612
0.218,319.042,,3.35959,321.6
0.219,319.037,,3.36059,321.589
0.22,319.031,,3.36159,321.578
0.221,319.025,,3.36259,321.567
0.222,319.019,,3.36359,321.556
0.223,319.013,,3.36459,321.544
0.224,319.007,,3.36559,321.533
0.225,319.001,,3.36659,321.521
0.226,318.995,,3.36759,321.51
0.227,318.989,,3.36859,321.498
0.228,318.983,,3.36959,321.486
0.229,318.977,,3.37059,321.474
0.23,318.971,,3.37159,321.462
0.231,318.965,,3.37259,321.45
0.232,318.958,,3.37359,321.438
0.233,318.952,,3.37459,321.426
0.234,318.946,,3.37559,321.414
0.235,318.94,,3.37659,321.402
0.236,318.934,,3.37759,321.39
0.237,318.927,,3.37859,321.377
0.238,318.921,,3.37959,321.365
0.239,318.915,,3.38059,321.352
0.24,318.909,,3.38159,321.34
0.241,318.902,,3.38259,321.327
0.242,318.896,,3.38359,321.314
0.243,318.89,,3.38459,321.301
0.244,318.883,,3.38559,321.288
0.245,318.877,,3.38659,321.276
0.246,318.87,,3.38759,321.263
0.247,318.864,,3.38859,321.249
0.248,318.858,,3.38959,321.236
0.249,318.851,,3.39059,321.223
0.25,318.845,,3.39159,321.21
0.251,318.838,,3.39259,321.196
0.252,318.832,,3.39359,321.183
0.253,318.825,,3.39459,321.169
0.254,318.818,,3.39559,321.156
0.255,318.812,,3.39659,321.142
0.256,318.805,,3.39759,321.128
0.257,318.798,,3.39859,321.115
0.258,318.792,,3.39959,321.101
0.259,318.785,,3.40059,321.087
0.26,318.778,,3.40159,321.073
0.261,318.772,,3.40259,321.059
0.262,318.765,,3.40359,321.045
0.263,318.758,,3.40459,321.03
0.264,318.751,,3.40559,321.016
0.265,318.745,,3.40659,321.002
0.266,318.738,,3.40759,320.987
0.267,318.731,,3.40859,320.973
0.268,318.724,,3.40959,320.958
0.269,318.717,,3.41059,320.943
0.27,318.71,,3.41159,320.929
0.271,318.703,,3.41259,320.914
0.272,318.696,,3.41359,320.899
0.273,318.689,,3.41459,320.884
0.274,318.682,,3.41559,320.869
0.275,318.675,,3.41659,320.854
0.276,318.668,,3.41759,320.839
0.277,318.661,,3.41859,320.823
0.278,318.654,,3.41959,320.808
0.279,318.647,,3.42059,320.793
0.28,318.64,,3.42159,320.777
0.281,318.633,,3.42259,320.762
0.282,318.626,,3.42359,320.746
0.283,318.618,,3.42459,320.73
0.284,318.611,,3.42559,320.714
0.285,318.604,,3.42659,320.699
0.286,318.597,,3.42759,320.683
0.287,318.589,,3.42859,320.667
0.288,318.582,,3.42959,320.651
0.289,318.575,,3.43059,320.634
0.29,318.567,,3.43159,320.618
0.291,318.56,,3.43259,320.602
0.292,318.553,,3.43359,320.585
0.293,318.545,,3.43459,320.569
0.294,318.538,,3.43559,320.552
0.295,318.53,,3.43659,320.536
0.296,318.523,,3.43759,320.519
0.297,318.515,,3.43859,320.502
0.298,318.508,,3.43959,320.486
0.299,318.5,,3.44059,320.469
0.3,318.493,,3.44159,320.452
0.301,318.485,,3.44259,320.435
0.302,318.478,,3.44359,320.417
0.303,318.47,,3.44459,320.4
0.304,318.462,,3.44559,320.383
0.305,318.455,,3.44659,320.366
0.306,318.447,,3.44759,320.348
0.307,318.439,,3.44859,320.331
0.308,318.432,,3.44959,320.313
0.309,318.424,,3.45059,320.295
0.31,318.416,,3.45159,320.278
0.311,318.408,,3.45259,320.26
0.312,318.4,,3.45359,320.242
0.313,318.393,,3.45459,320.224
0.314,318.385,,3.45559,320.206
0.315,318.377,,3.45659,320.188
0.316,318.369,,3.45759,320.169
0.317,318.361,,3.45859,320.151
0.318,318.353,,3.45959,320.133
0.319,318.345,,3.46059,320.114
0.32,318.337,,3.46159,320.096
0.321,318.329,,3.46259,320.077
0.322,318.321,,3.46359,320.058
0.323,318.313,,3.46459,320.04
0.324,318.305,,3.46559,320.021
0.325,318.297,,3.46659,320.002
0.326,318.289,,3.46759,319.983
0.327,318.281,,3.46859,319.964
0.328,318.272,,3.46959,319.945
0.329,318.264,,3.47059,319.925
0.33,318.256,,3.47159,319.906
0.331,318.248,,3.47259,319.887
0.332,318.24,,3.47359,319.867
0.333,318.231,,3.47459,319.847
0.334,318.223,,3.47559,319.828
0.335,318.215,,3.47659,319.808
0.336,318.206,,3.47759,319.788
0.337,318.198,,3.47859,319.768
0.338,318.19,,3.47959,319.748
0.339,318.181,,3.48059,319.728
0.34,318.173,,3.48159,319.708
0.341,318.164,,3.48259,319.688
0.342,318.156,,3.48359,319.668
0.343,318.147,,3.48459,319.647
0.344,318.139,,3.48559,319.627
0.345,318.13,,3.48659,319.606
0.346,318.122,,3.48759,319.586
0.347,318.113,,3.48859,319.565
0.348,318.105,,3.48959,319.544
0.349,318.096,,3.49059,319.523
0.35,318.087,,3.49159,319.502
0.351,318.079,,3.49259,319.481
0.352,318.07,,3.49359,319.46
0.353,318.061,,3.49459,319.439
0.354,318.052,,3.49559,319.418
0.355,318.044,,3.49659,319.396
0.356,318.035,,3.49759,319.375
0.357,318.026,,3.49859,319.353
0.358,318.017,,3.49959,319.332
0.359,318.008,,3.50059,319.31
0.36,317.999,,3.50159,319.288
0.361,317.991,,3.50259,319.266
0.362,317.982,,3.50359,319.244
0.363,317.973,,3.50459,319.222
0.364,317.964,,3.50559,319.2
0.365,317.955,,3.50659,319.178
0.366,317.946,,3.50759,319.156
0.367,317.937,,3.50859,319.133
0.368,317.928,,3.50959,319.111
0.369,317.918,,3.51059,319.088
0.37,317.909,,3.51159,319.066
0.371,317.9,,3.51259,319.043
0.372,317.891,,3.51359,319.02
0.373,317.882,,3.51459,318.997
0.374,317.873,,3.51559,318.974
0.375,317.863,,3.51659,318.951
0.376,317.854,,3.51759,318.928
0.377,317.845,,3.51859,318.905
0.378,317.836,,3.51959,318.881
0.379,317.826,,3.52059,318.858
0.38,317.817,,3.52159,318.834
0.381,317.808,,3.52259,318.811
0.382,317.798,,3.52359,318.787
0.383,317.789,,3.52459,318.763
0.384,317.779,,3.52559,318.74
0.385,317.77,,3.52659,318.716
0.386,317.76,,3.52759,318.692
0.387,317.751,,3.52859,318.667
0.388,317.741,,3.52959,318.643
0.389,317.732,,3.53059,318.619
0.39,317.722,,3.53159,318.595
0.391,317.713,,3.53259,318.57
0.392,317.703,,3.53359,318.546
0.393,317.693,,3.53459,318.521
0.394,317.684,,3.53559,318.496
0.395,317.674,,3.53659,318.471
0.396,317.664,,3.53759,318.446
0.397,317.655,,3.53859,318.421
0.398,317.645,,3.53959,318.396
0.399,317.635,,3.54059,318.371
0.4,317.625,,3.54159,318.346
0.401,317.615,,3.54259,318.32
0.402,317.606,,3.54359,318.295
0.403,317.596,,3.54459,318.269
0.404,317.586,,3.54559,318.244
0.405,317.576,,3.54659,318.218
0.406,317.566,,3.54759,318.192
0.407,317.556,,3.54859,318.166
0.408,317.546,,3.54959,318.14
0.409,317.536,,3.55059,318.114
0.41,317.526,,3.55159,318.088
0.411,317.516,,3.55259,318.062
0.412,317.506,,3.55359,318.035
0.413,317.496,,3.55459,318.009
0.414,317.485,,3.55559,317.982
0.415,317.475,,3.55659,317.956
0.416,317.465,,3.55759,317.929
0.417,317.455,,3.55859,317.902
0.418,317.445,,3.55959,317.875
0.419,317.434,,3.56059,317.848
0.42,317.424,,3.56159,317.821
0.421,317.414,,3.56259,317.794
0.422,317.403,,3.56359,317.766
0.423,317.393,,3.56459,317.739
0.424,317.383,,3.56559,317.711
0.425,317.372,,3.56659,317.684
0.426,317.362,,3.56759,317.656
0.427,317.351,,3.56859,317.628
0.428,317.341,,3.56959,317.6
0.429,317.33,,3.57059,317.572
0.43,317.32,,3.57159,317.544
0.431,317.309,,3.57259,317.516
0.432,317.299,,3.57359,317.488
0.433,317.288,,3.57459,317.459
0.434,317.277,,3.57559,317.431
0.435,317.267,,3.57659,317.402
0.436,317.256,,3.57759,317.374
0.437,317.245,,3.57859,317.345
0.438,317.235,,3.57959,317.316
0.439,317.224,,3.58059,317.287
0.44,317.213,,3.58159,317.258
0.441,317.202,,3.58259,317.229
0.442,317.191,,3.58359,317.2
0.443,317.181,,3.58459,317.17
0.444,317.17,,3.58559,317.141
0.445,317.159,,3.58659,317.111
0.446,317.148,,3.58759,317.082
0.447,317.137,,3.58859,317.052
0.448,317.126,,3.58959,317.022
0.449,317.115,,3.59059,316.992
0.45,317.104,,3.59159,316.962
0.451,317.093,,3.59259,316.932
0.452,317.082,,3.59359,316.902
0.453,317.071,,3.59459,316.871
0.454,317.059,,3.59559,316.841
0.455,317.048,,3.59659,316.81
0.456,317.037,,3.59759,316.78
0.457,317.026,,3.59859,316.749
0.458,317.015,,3.59959,316.718
0.459,317.003,,3.60059,316.687
0.46,316.992,,3.60159,316.656
0.461,316.981,,3.60259,316.625
0.462,316.969,,3.60359,316.593
0.463,316.958,,3.60459,316.562
0.464,316.947,,3.60559,316.531
0.465,316.935,,3.60659,316.499
0.466,316.924,,3.60759,316.467
0.467,316.912,,3.60859,316.436
0.468,316.901,,3.60959,316.404
0.469,316.889,,3.61059,316.372
0.47,316.878,,3.61159,316.34
0.471,316.866,,3.61259,316.307
0.472,316.855,,3.61359,316.275
0.473,316.843,,3.61459,316.243
0.474,316.831,,3.61559,316.21
0.475,316.82,,3.61659,316.177
0.476,316.808,,3.61759,316.145
0.477,316.796,,3.61859,316.112
0.478,316.784,,3.61959,316.079
0.479,316.773,,3.62059,316.046
0.48,316.761,,3.62159,316.013
0.481,316.749,,3.62259,315.979
0.482,316.737,,3.62359,315.946
0.483,316.725,,3.62459,315.912
0.484,316.713,,3.62559,315.879
0.485,316.701,,3.62659,315.845
0.486,316.69,,3.62759,315.811
0.487,316.678,,3.62859,315.777
0.488,316.666,,3.62959,315.743
0.489,316.653,,3.63059,315.709
0.49,316.641,,3.63159,315.675
0.491,316.629,,3.63259,315.641
0.492,316.617,,3.63359,315.606
0.493,316.605,,3.63459,315.571
0.494,316.593,,3.63559,315.537
0.495,316.581,,3.63659,315.502
0.496,316.568,,3.63759,315.467
0.497,316.556,,3.63859,315.432
0.498,316.544,,3.63959,315.397
0.499,316.532,,3.64059,315.362
0.5,316.519,,3.64159,315.326
0.501,316.507,,3.64259,315.291
0.502,316.495,,3.64359,315.255
0.503,316.482,,3.64459,315.219
0.504,316.47,,3.64559,315.184
0.505,316.457,,3.64659,315.148
0.506,316.445,,3.64759,315.112
0.507,316.432,,3.64859,315.075
0.508,316.42,,3.64959,315.039
0.509,316.407,,3.65059,315.003
0.51,316.394,,3.65159,314.966
0.511,316.382,,3.65259,314.93
0.512,316.369,,3.65359,314.893
0.513,316.356,,3.65459,314.856
0.514,316.344,,3.65559,314.819
0.515,316.331,,3.65659,314.782
0.516,316.318,,3.65759,314.745
0.517,316.305,,3.65859,314.707
0.518,316.293,,3.65959,314.67
0.519,316.28,,3.66059,314.632
0.52,316.267,,3.66159,314.595
0.521,316.254,,3.66259,314.557
0.522,316.241,,3.66359,314.519
0.523,316.228,,3.66459,314.481
0.524,316.215,,3.66559,314.443
0.525,316.202,,3.66659,314.404
