a, Fruling
3.14159 , 322.481
3.14259 , 322.484
3.14359 , 322.486
3.14459 , 322.489
3.14559 , 322.491
3.14659 , 322.494
3.14759 , 322.496
3.14859 , 322.499
3.14959 , 322.501
3.15059 , 322.503
3.15159 , 322.505
3.15259 , 322.507
3.15359 , 322.509
3.15459 , 322.511
3.15559 , 322.513
3.15659 , 322.515
3.15759 , 322.517
3.15859 , 322.519
3.15959 , 322.52
3.16059 , 322.522
3.16159 , 322.523
3.16259 , 322.525
3.16359 , 322.526
3.16459 , 322.528
3.16559 , 322.529
3.16659 , 322.53
3.16759 , 322.532
3.16859 , 322.533
3.16959 , 322.534
3.17059 , 322.535
3.17159 , 322.536
3.17259 , 322.537
3.17359 , 322.537
3.17459 , 322.538
3.17559 , 322.539
3.17659 , 322.539
3.17759 , 322.54
3.17859 , 322.541
3.17959 , 322.541
3.18059 , 322.541
3.18159 , 322.542
3.18259 , 322.542
3.18359 , 322.542
3.18459 , 322.542
3.18559 , 322.542
3.18659 , 322.542
3.18759 , 322.542
3.18859 , 322.542
3.18959 , 322.542
3.19059 , 322.542
3.19159 , 322.542
3.19259 , 322.541
3.19359 , 322.541
3.19459 , 322.54
3.19559 , 322.54
3.19659 , 322.539
3.19759 , 322.539
3.19859 , 322.538
3.19959 , 322.537
3.20059 , 322.536
3.20159 , 322.535
3.20259 , 322.535
3.20359 , 322.533
3.20459 , 322.532
3.20559 , 322.531
3.20659 , 322.53
3.20759 , 322.529
3.20859 , 322.527
3.20959 , 322.526
3.21059 , 322.525
3.21159 , 322.523
3.21259 , 322.522
3.21359 , 322.52
3.21459 , 322.518
3.21559 , 322.516
3.21659 , 322.515
3.21759 , 322.513
3.21859 , 322.511
3.21959 , 322.509
3.22059 , 322.507
3.22159 , 322.505
3.22259 , 322.502
3.22359 , 322.5
3.22459 , 322.498
3.22559 , 322.495
3.22659 , 322.493
3.22759 , 322.491
3.22859 , 322.488
3.22959 , 322.485
3.23059 , 322.483
3.23159 , 322.48
3.23259 , 322.477
3.23359 , 322.474
3.23459 , 322.471
3.23559 , 322.468
3.23659 , 322.465
3.23759 , 322.462
3.23859 , 322.459
3.23959 , 322.456
3.24059 , 322.452
3.24159 , 322.449
3.24259 , 322.446
3.24359 , 322.442
3.24459 , 322.438
3.24559 , 322.435
3.24659 , 322.431
3.24759 , 322.427
3.24859 , 322.424
3.24959 , 322.42
3.25059 , 322.416
3.25159 , 322.412
3.25259 , 322.408
3.25359 , 322.404
3.25459 , 322.399
3.25559 , 322.395
3.25659 , 322.391
3.25759 , 322.386
3.25859 , 322.382
3.25959 , 322.378
3.26059 , 322.373
3.26159 , 322.368
3.26259 , 322.364
3.26359 , 322.359
3.26459 , 322.354
3.26559 , 322.349
3.26659 , 322.344
3.26759 , 322.339
3.26859 , 322.334
3.26959 , 322.329
3.27059 , 322.324
3.27159 , 322.319
3.27259 , 322.313
3.27359 , 322.308
3.27459 , 322.302
3.27559 , 322.297
3.27659 , 322.291
3.27759 , 322.286
3.27859 , 322.28
3.27959 , 322.274
3.28059 , 322.268
3.28159 , 322.262
3.28259 , 322.256
3.28359 , 322.25
3.28459 , 322.244
3.28559 , 322.238
3.28659 , 322.232
3.28759 , 322.226
3.28859 , 322.219
3.28959 , 322.213
3.29059 , 322.206
3.29159 , 322.2
3.29259 , 322.193
3.29359 , 322.187
3.29459 , 322.18
3.29559 , 322.173
3.29659 , 322.166
3.29759 , 322.159
3.29859 , 322.152
3.29959 , 322.145
3.30059 , 322.138
3.30159 , 322.131
3.30259 , 322.124
3.30359 , 322.116
3.30459 , 322.109
3.30559 , 322.101
3.30659 , 322.094
3.30759 , 322.086
3.30859 , 322.079
3.30959 , 322.071
3.31059 , 322.063
3.31159 , 322.055
3.31259 , 322.047
3.31359 , 322.039
3.31459 , 322.031
3.31559 , 322.023
3.31659 , 322.015
3.31759 , 322.007
3.31859 , 321.999
3.31959 , 321.99
3.32059 , 321.982
3.32159 , 321.973
3.32259 , 321.965
3.32359 , 321.956
3.32459 , 321.947
3.32559 , 321.939
3.32659 , 321.93
3.32759 , 321.921
3.32859 , 321.912
3.32959 , 321.903
3.33059 , 321.894
3.33159 , 321.885
3.33259 , 321.875
3.33359 , 321.866
3.33459 , 321.857
3.33559 , 321.847
3.33659 , 321.838
3.33759 , 321.828
3.33859 , 321.819
3.33959 , 321.809
3.34059 , 321.799
3.34159 , 321.789
3.34259 , 321.779
3.34359 , 321.769
3.34459 , 321.759
3.34559 , 321.749
3.34659 , 321.739
3.34759 , 321.729
3.34859 , 321.718
3.34959 , 321.708
3.35059 , 321.698
3.35159 , 321.687
3.35259 , 321.677
3.35359 , 321.666
3.35459 , 321.655
3.35559 , 321.644
3.35659 , 321.633
3.35759 , 321.623
3.35859 , 321.612
3.35959 , 321.6
3.36059 , 321.589
3.36159 , 321.578
3.36259 , 321.567
3.36359 , 321.556
3.36459 , 321.544
3.36559 , 321.533
3.36659 , 321.521
3.36759 , 321.51
3.36859 , 321.498
3.36959 , 321.486
3.37059 , 321.474
3.37159 , 321.462
3.37259 , 321.45
3.37359 , 321.438
3.37459 , 321.426
3.37559 , 321.414
3.37659 , 321.402
3.37759 , 321.39
3.37859 , 321.377
3.37959 , 321.365
3.38059 , 321.352
3.38159 , 321.34
3.38259 , 321.327
3.38359 , 321.314
3.38459 , 321.301
3.38559 , 321.288
3.38659 , 321.276
3.38759 , 321.263
3.38859 , 321.249
3.38959 , 321.236
3.39059 , 321.223
3.39159 , 321.21
3.39259 , 321.196
3.39359 , 321.183
3.39459 , 321.169
3.39559 , 321.156
3.39659 , 321.142
3.39759 , 321.128
3.39859 , 321.115
3.39959 , 321.101
3.40059 , 321.087
3.40159 , 321.073
3.40259 , 321.059
3.40359 , 321.045
3.40459 , 321.03
3.40559 , 321.016
3.40659 , 321.002
3.40759 , 320.987
3.40859 , 320.973
3.40959 , 320.958
3.41059 , 320.943
3.41159 , 320.929
3.41259 , 320.914
3.41359 , 320.899
3.41459 , 320.884
3.41559 , 320.869
3.41659 , 320.854
3.41759 , 320.839
3.41859 , 320.823
3.41959 , 320.808
3.42059 , 320.793
3.42159 , 320.777
3.42259 , 320.762
3.42359 , 320.746
3.42459 , 320.73
3.42559 , 320.714
3.42659 , 320.699
3.42759 , 320.683
3.42859 , 320.667
3.42959 , 320.651
3.43059 , 320.634
3.43159 , 320.618
3.43259 , 320.602
3.43359 , 320.585
3.43459 , 320.569
3.43559 , 320.552
3.43659 , 320.536
3.43759 , 320.519
3.43859 , 320.502
3.43959 , 320.486
3.44059 , 320.469
3.44159 , 320.452
3.44259 , 320.435
3.44359 , 320.417
3.44459 , 320.4
3.44559 , 320.383
3.44659 , 320.366
3.44759 , 320.348
3.44859 , 320.331
3.44959 , 320.313
3.45059 , 320.295
3.45159 , 320.278
3.45259 , 320.26
3.45359 , 320.242
3.45459 , 320.224
3.45559 , 320.206
3.45659 , 320.188
3.45759 , 320.169
3.45859 , 320.151
3.45959 , 320.133
3.46059 , 320.114
3.46159 , 320.096
3.46259 , 320.077
3.46359 , 320.058
3.46459 , 320.04
3.46559 , 320.021
3.46659 , 320.002
3.46759 , 319.983
3.46859 , 319.964
3.46959 , 319.945
3.47059 , 319.925
3.47159 , 319.906
3.47259 , 319.887
3.47359 , 319.867
3.47459 , 319.847
3.47559 , 319.828
3.47659 , 319.808
3.47759 , 319.788
3.47859 , 319.768
3.47959 , 319.748
3.48059 , 319.728
3.48159 , 319.708
3.48259 , 319.688
3.48359 , 319.668
3.48459 , 319.647
3.48559 , 319.627
3.48659 , 319.606
3.48759 , 319.586
3.48859 , 319.565
3.48959 , 319.544
3.49059 , 319.523
3.49159 , 319.502
3.49259 , 319.481
3.49359 , 319.46
3.49459 , 319.439
3.49559 , 319.418
3.49659 , 319.396
3.49759 , 319.375
3.49859 , 319.353
3.49959 , 319.332
3.50059 , 319.31
3.50159 , 319.288
3.50259 , 319.266
3.50359 , 319.244
3.50459 , 319.222
3.50559 , 319.2
3.50659 , 319.178
3.50759 , 319.156
3.50859 , 319.133
3.50959 , 319.111
3.51059 , 319.088
3.51159 , 319.066
3.51259 , 319.043
3.51359 , 319.02
3.51459 , 318.997
3.51559 , 318.974
3.51659 , 318.951
3.51759 , 318.928
3.51859 , 318.905
3.51959 , 318.881
3.52059 , 318.858
3.52159 , 318.834
3.52259 , 318.811
3.52359 , 318.787
3.52459 , 318.763
3.52559 , 318.74
3.52659 , 318.716
3.52759 , 318.692
3.52859 , 318.667
3.52959 , 318.643
3.53059 , 318.619
3.53159 , 318.595
3.53259 , 318.57
3.53359 , 318.546
3.53459 , 318.521
3.53559 , 318.496
3.53659 , 318.471
3.53759 , 318.446
3.53859 , 318.421
3.53959 , 318.396
3.54059 , 318.371
3.54159 , 318.346
3.54259 , 318.32
3.54359 , 318.295
3.54459 , 318.269
3.54559 , 318.244
3.54659 , 318.218
3.54759 , 318.192
3.54859 , 318.166
3.54959 , 318.14
3.55059 , 318.114
3.55159 , 318.088
3.55259 , 318.062
3.55359 , 318.035
3.55459 , 318.009
3.55559 , 317.982
3.55659 , 317.956
3.55759 , 317.929
3.55859 , 317.902
3.55959 , 317.875
3.56059 , 317.848
3.56159 , 317.821
3.56259 , 317.794
3.56359 , 317.766
3.56459 , 317.739
3.56559 , 317.711
3.56659 , 317.684
3.56759 , 317.656
3.56859 , 317.628
3.56959 , 317.6
3.57059 , 317.572
3.57159 , 317.544
3.57259 , 317.516
3.57359 , 317.488
3.57459 , 317.459
3.57559 , 317.431
3.57659 , 317.402
3.57759 , 317.374
3.57859 , 317.345
3.57959 , 317.316
3.58059 , 317.287
3.58159 , 317.258
3.58259 , 317.229
3.58359 , 317.2
3.58459 , 317.17
3.58559 , 317.141
3.58659 , 317.111
3.58759 , 317.082
3.58859 , 317.052
3.58959 , 317.022
3.59059 , 316.992
3.59159 , 316.962
3.59259 , 316.932
3.59359 , 316.902
3.59459 , 316.871
3.59559 , 316.841
3.59659 , 316.81
3.59759 , 316.78
3.59859 , 316.749
3.59959 , 316.718
3.60059 , 316.687
3.60159 , 316.656
3.60259 , 316.625
3.60359 , 316.593
3.60459 , 316.562
3.60559 , 316.531
3.60659 , 316.499
3.60759 , 316.467
3.60859 , 316.436
3.60959 , 316.404
3.61059 , 316.372
3.61159 , 316.34
3.61259 , 316.307
3.61359 , 316.275
3.61459 , 316.243
3.61559 , 316.21
3.61659 , 316.177
3.61759 , 316.145
3.61859 , 316.112
3.61959 , 316.079
3.62059 , 316.046
3.62159 , 316.013
3.62259 , 315.979
3.62359 , 315.946
3.62459 , 315.912
3.62559 , 315.879
3.62659 , 315.845
3.62759 , 315.811
3.62859 , 315.777
3.62959 , 315.743
3.63059 , 315.709
3.63159 , 315.675
3.63259 , 315.641
3.63359 , 315.606
3.63459 , 315.571
3.63559 , 315.537
3.63659 , 315.502
3.63759 , 315.467
3.63859 , 315.432
3.63959 , 315.397
3.64059 , 315.362
3.64159 , 315.326
3.64259 , 315.291
3.64359 , 315.255
3.64459 , 315.219
3.64559 , 315.184
3.64659 , 315.148
3.64759 , 315.112
3.64859 , 315.075
3.64959 , 315.039
3.65059 , 315.003
3.65159 , 314.966
3.65259 , 314.93
3.65359 , 314.893
3.65459 , 314.856
3.65559 , 314.819
3.65659 , 314.782
3.65759 , 314.745
3.65859 , 314.707
3.65959 , 314.67
3.66059 , 314.632
3.66159 , 314.595
3.66259 , 314.557
3.66359 , 314.519
3.66459 , 314.481
3.66559 , 314.443
3.66659 , 314.404
3.66759 , 314.366
3.66859 , 314.327
3.66959 , 314.289
3.67059 , 314.25
3.67159 , 314.211
3.67259 , 314.172
3.67359 , 314.133
3.67459 , 314.094
3.67559 , 314.054
3.67659 , 314.015
3.67759 , 313.975
3.67859 , 313.935
3.67959 , 313.896
3.68059 , 313.856
3.68159 , 313.815
3.68259 , 313.775
3.68359 , 313.735
3.68459 , 313.694
3.68559 , 313.654
3.68659 , 313.613
3.68759 , 313.572
3.68859 , 313.531
3.68959 , 313.49
3.69059 , 313.449
3.69159 , 313.407
3.69259 , 313.366
3.69359 , 313.324
3.69459 , 313.282
3.69559 , 313.24
3.69659 , 313.198
3.69759 , 313.156
3.69859 , 313.114
3.69959 , 313.072
3.70059 , 313.029
3.70159 , 312.986
3.70259 , 312.944
3.70359 , 312.901
3.70459 , 312.858
3.70559 , 312.814
3.70659 , 312.771
3.70759 , 312.727
3.70859 , 312.684
3.70959 , 312.64
3.71059 , 312.596
3.71159 , 312.552
3.71259 , 312.508
3.71359 , 312.464
3.71459 , 312.419
3.71559 , 312.375
3.71659 , 312.33
3.71759 , 312.285
3.71859 , 312.24
3.71959 , 312.195
3.72059 , 312.15
3.72159 , 312.104
3.72259 , 312.059
3.72359 , 312.013
3.72459 , 311.967
3.72559 , 311.922
