a, Fruling
1.273 , 0
1.274 , 0
1.275 , 0
1.276 , 0
1.277 , 0
1.278 , 0
1.279 , 4.09802
1.28 , 11.4245
1.281 , 17.3305
1.282 , 21.5243
1.283 , 25.8891
1.284 , 28.4521
1.285 , 31.0194
1.286 , 33.5913
1.287 , 36.1682
1.288 , 38.7505
1.289 , 41.3384
1.29 , 43.9324
1.291 , 46.5328
1.292 , 49.14
1.293 , 51.7544
1.294 , 54.3763
1.295 , 57.0062
1.296 , 59.6444
1.297 , 62.2913
1.298 , 64.9474
1.299 , 67.613
1.3 , 70.2887
1.301 , 72.9748
1.302 , 75.6718
1.303 , 78.3802
1.304 , 81.1003
1.305 , 83.8328
1.306 , 86.5781
1.307 , 89.3367
1.308 , 92.1091
1.309 , 94.8958
1.31 , 97.6975
1.311 , 100.515
1.312 , 103.348
1.313 , 106.198
1.314 , 109.065
1.315 , 111.95
1.316 , 114.854
1.317 , 117.777
1.318 , 120.72
1.319 , 123.684
1.32 , 126.669
1.321 , 129.677
1.322 , 132.708
1.323 , 135.762
1.324 , 138.842
1.325 , 141.947
1.326 , 145.08
1.327 , 148.239
1.328 , 151.428
1.329 , 154.647
1.33 , 157.896
1.331 , 161.178
1.332 , 164.493
1.333 , 167.844
1.334 , 171.23
1.335 , 174.654
1.336 , 178.117
1.337 , 181.621
1.338 , 185.167
1.339 , 188.758
1.34 , 192.394
1.341 , 196.079
1.342 , 199.814
1.343 , 203.601
1.344 , 207.444
1.345 , 211.343
1.346 , 215.303
1.347 , 219.326
1.348 , 223.415
1.349 , 227.573
1.35 , 231.803
1.351 , 236.111
1.352 , 240.499
1.353 , 244.973
1.354 , 249.536
1.355 , 254.194
1.356 , 258.953
1.357 , 263.819
1.358 , 268.799
1.359 , 273.899
1.36 , 279.128
1.361 , 284.494
1.362 , 290.008
1.363 , 295.681
1.364 , 301.524
1.365 , 307.551
1.366 , 313.777
1.367 , 320.22
1.368 , 326.536
1.369 , 331.366
1.37 , 336.3
1.371 , 341.344
1.372 , 346.506
1.373 , 351.791
1.374 , 356.933
1.375 , 360.787
1.376 , 363.939
1.377 , 367.125
1.378 , 370.346
1.379 , 373.603
1.38 , 376.685
1.381 , 379.219
1.382 , 381.642
1.383 , 383.599
1.384 , 385.564
1.385 , 387.535
1.386 , 389.498
1.387 , 391.376
1.388 , 392.868
1.389 , 394.363
1.39 , 395.859
1.391 , 397.357
1.392 , 398.858
1.393 , 400.038
1.394 , 401.189
1.395 , 402.34
1.396 , 403.49
1.397 , 404.379
1.398 , 405.246
1.399 , 406.112
1.4 , 406.945
1.401 , 407.772
1.402 , 408.597
1.403 , 409.42
1.404 , 410.242
1.405 , 410.927
1.406 , 411.543
1.407 , 412.158
1.408 , 412.638
1.409 , 413.085
1.41 , 413.529
1.411 , 413.972
1.412 , 414.413
1.413 , 414.852
1.414 , 415.289
1.415 , 415.725
1.416 , 416.158
1.417 , 416.59
1.418 , 416.904
1.419 , 417.19
1.42 , 417.39
1.421 , 417.566
1.422 , 417.741
1.423 , 417.916
1.424 , 418.08
1.425 , 418.208
1.426 , 418.334
1.427 , 418.353
1.428 , 418.352
1.429 , 418.351
1.43 , 418.35
1.431 , 418.349
1.432 , 418.348
1.433 , 418.347
1.434 , 418.346
1.435 , 418.345
1.436 , 418.344
1.437 , 418.343
1.438 , 418.342
1.439 , 418.341
1.44 , 418.34
1.441 , 418.339
1.442 , 418.338
1.443 , 418.337
1.444 , 418.336
1.445 , 418.335
1.446 , 418.334
1.447 , 418.333
1.448 , 418.332
1.449 , 418.331
1.45 , 418.33
1.451 , 418.329
1.452 , 418.328
1.453 , 418.327
1.454 , 418.326
1.455 , 418.325
1.456 , 418.324
1.457 , 418.323
1.458 , 418.322
1.459 , 418.321
1.46 , 418.32
1.461 , 418.319
1.462 , 418.318
1.463 , 418.317
1.464 , 418.316
1.465 , 418.315
1.466 , 418.314
1.467 , 418.313
1.468 , 418.312
1.469 , 418.311
1.47 , 418.31
1.471 , 418.309
1.472 , 418.309
1.473 , 418.308
1.474 , 418.307
1.475 , 418.306
1.476 , 418.305
1.477 , 418.304
1.478 , 418.303
1.479 , 418.302
1.48 , 418.301
1.481 , 418.3
1.482 , 418.299
1.483 , 418.298
1.484 , 418.297
1.485 , 418.296
1.486 , 418.295
1.487 , 418.294
1.488 , 418.293
1.489 , 418.292
1.49 , 418.291
1.491 , 418.29
1.492 , 418.289
1.493 , 418.288
1.494 , 418.287
1.495 , 418.286
1.496 , 418.285
1.497 , 418.284
1.498 , 418.283
1.499 , 418.282
1.5 , 418.281
1.501 , 418.28
1.502 , 418.279
