a, Fruling
4.41443 , 412.551
4.41543 , 412.542
4.41643 , 412.534
4.41743 , 412.525
4.41843 , 412.517
4.41943 , 412.508
4.42043 , 412.5
4.42143 , 412.491
4.42243 , 412.483
4.42343 , 412.474
4.42443 , 412.466
4.42543 , 412.457
4.42643 , 412.448
4.42743 , 412.439
4.42843 , 412.431
4.42943 , 412.422
4.43043 , 412.413
4.43143 , 412.404
4.43243 , 412.396
4.43343 , 412.387
4.43443 , 412.378
4.43543 , 412.369
4.43643 , 412.36
4.43743 , 412.351
4.43843 , 412.342
4.43943 , 412.333
4.44043 , 412.324
4.44143 , 412.315
4.44243 , 412.306
4.44343 , 412.297
4.44443 , 412.288
4.44543 , 412.278
4.44643 , 412.269
4.44743 , 412.26
4.44843 , 412.251
4.44943 , 412.241
4.45043 , 412.232
4.45143 , 412.223
4.45243 , 412.213
4.45343 , 412.204
4.45443 , 412.195
4.45543 , 412.185
4.45643 , 412.176
4.45743 , 412.166
4.45843 , 412.157
4.45943 , 412.147
4.46043 , 412.137
4.46143 , 412.128
4.46243 , 412.118
4.46343 , 412.108
4.46443 , 412.099
4.46543 , 412.089
4.46643 , 412.079
4.46743 , 412.069
4.46843 , 412.06
4.46943 , 412.05
4.47043 , 412.04
4.47143 , 412.03
4.47243 , 412.02
4.47343 , 412.01
4.47443 , 412
4.47543 , 411.99
4.47643 , 411.98
4.47743 , 411.97
4.47843 , 411.96
4.47943 , 411.949
4.48043 , 411.939
4.48143 , 411.929
4.48243 , 411.919
4.48343 , 411.908
4.48443 , 411.898
4.48543 , 411.888
4.48643 , 411.877
4.48743 , 411.867
4.48843 , 411.856
4.48943 , 411.846
4.49043 , 411.835
4.49143 , 411.825
4.49243 , 411.814
4.49343 , 411.804
4.49443 , 411.793
4.49543 , 411.782
4.49643 , 411.771
4.49743 , 411.761
4.49843 , 411.75
4.49943 , 411.739
4.50043 , 411.728
4.50143 , 411.717
4.50243 , 411.706
4.50343 , 411.695
4.50443 , 411.684
4.50543 , 411.673
4.50643 , 411.662
4.50743 , 411.651
4.50843 , 411.64
4.50943 , 411.629
4.51043 , 411.618
4.51143 , 411.606
4.51243 , 411.595
4.51343 , 411.584
4.51443 , 411.572
4.51543 , 411.561
4.51643 , 411.549
4.51743 , 411.538
4.51843 , 411.526
4.51943 , 411.515
4.52043 , 411.503
4.52143 , 411.492
4.52243 , 411.48
4.52343 , 411.468
4.52443 , 411.456
4.52543 , 411.445
4.52643 , 411.433
4.52743 , 411.421
4.52843 , 411.409
4.52943 , 411.397
4.53043 , 411.385
4.53143 , 411.373
4.53243 , 411.361
4.53343 , 411.349
4.53443 , 411.337
4.53543 , 411.324
4.53643 , 411.312
4.53743 , 411.3
4.53843 , 411.287
4.53943 , 411.275
4.54043 , 411.263
4.54143 , 411.25
4.54243 , 411.238
4.54343 , 411.225
4.54443 , 411.212
4.54543 , 411.2
4.54643 , 411.187
4.54743 , 411.174
4.54843 , 411.162
4.54943 , 411.149
4.55043 , 411.136
4.55143 , 411.123
4.55243 , 411.11
4.55343 , 411.097
4.55443 , 411.084
4.55543 , 411.071
4.55643 , 411.058
4.55743 , 411.045
4.55843 , 411.031
4.55943 , 411.018
4.56043 , 411.005
4.56143 , 410.991
4.56243 , 410.978
4.56343 , 410.964
4.56443 , 410.951
4.56543 , 410.937
4.56643 , 410.924
4.56743 , 410.91
4.56843 , 410.896
4.56943 , 410.883
4.57043 , 410.869
4.57143 , 410.855
4.57243 , 410.841
4.57343 , 410.827
4.57443 , 410.813
4.57543 , 410.799
4.57643 , 410.785
4.57743 , 410.771
4.57843 , 410.756
4.57943 , 410.742
4.58043 , 410.728
4.58143 , 410.713
4.58243 , 410.699
4.58343 , 410.684
4.58443 , 410.67
4.58543 , 410.655
4.58643 , 410.641
4.58743 , 410.626
4.58843 , 410.611
4.58943 , 410.596
4.59043 , 410.581
4.59143 , 410.566
4.59243 , 410.551
4.59343 , 410.536
4.59443 , 410.521
4.59543 , 410.506
4.59643 , 410.491
4.59743 , 410.475
4.59843 , 410.46
4.59943 , 410.445
4.60043 , 410.429
4.60143 , 410.414
4.60243 , 410.398
4.60343 , 410.382
4.60443 , 410.367
4.60543 , 410.351
4.60643 , 410.335
4.60743 , 410.319
4.60843 , 410.303
4.60943 , 410.287
4.61043 , 410.271
4.61143 , 410.255
4.61243 , 410.239
4.61343 , 410.222
4.61443 , 410.206
4.61543 , 410.19
4.61643 , 410.173
4.61743 , 410.157
4.61843 , 410.14
4.61943 , 410.123
4.62043 , 410.107
4.62143 , 410.09
4.62243 , 410.073
4.62343 , 410.056
4.62443 , 410.039
4.62543 , 410.022
4.62643 , 410.005
4.62743 , 409.987
4.62843 , 409.97
4.62943 , 409.953
4.63043 , 409.935
4.63143 , 409.918
4.63243 , 409.9
4.63343 , 409.882
4.63443 , 409.865
4.63543 , 409.847
4.63643 , 409.829
4.63743 , 409.811
4.63843 , 409.793
4.63943 , 409.775
4.64043 , 409.757
4.64143 , 409.739
4.64243 , 409.72
4.64343 , 409.702
4.64443 , 409.683
4.64543 , 409.665
4.64643 , 409.646
4.64743 , 409.627
4.64843 , 409.608
4.64943 , 409.59
4.65043 , 409.571
4.65143 , 409.552
4.65243 , 409.532
4.65343 , 409.513
4.65443 , 409.494
4.65543 , 409.475
4.65643 , 409.455
4.65743 , 409.435
4.65843 , 409.416
4.65943 , 409.396
4.66043 , 409.376
4.66143 , 409.356
4.66243 , 409.336
4.66343 , 409.316
4.66443 , 409.296
4.66543 , 409.276
4.66643 , 409.256
