a, Fruling
0 , 578.995
0.001 , 578.996
0.002 , 578.996
0.003 , 578.997
0.004 , 578.997
0.005 , 578.998
0.006 , 578.998
0.007 , 578.999
0.008 , 578.999
0.009 , 579
0.01 , 579
0.011 , 579.001
0.012 , 579.001
0.013 , 579.002
0.014 , 579.002
0.015 , 579.003
0.016 , 579.003
0.017 , 579.004
0.018 , 579.004
0.019 , 579.004
0.02 , 579.005
0.021 , 579.005
0.022 , 579.006
0.023 , 579.006
0.024 , 579.007
0.025 , 579.007
0.026 , 579.008
0.027 , 579.008
0.028 , 579.008
0.029 , 579.009
0.03 , 579.009
0.031 , 579.01
0.032 , 579.01
0.033 , 579.01
0.034 , 579.011
0.035 , 579.011
0.036 , 579.012
0.037 , 579.012
0.038 , 579.012
0.039 , 579.013
0.04 , 579.013
0.041 , 579.013
0.042 , 579.014
0.043 , 579.014
0.044 , 579.014
0.045 , 579.015
0.046 , 579.015
0.047 , 579.016
0.048 , 579.016
0.049 , 579.016
0.05 , 579.017
0.051 , 579.017
0.052 , 579.017
0.053 , 579.018
0.054 , 579.018
0.055 , 579.018
0.056 , 579.018
0.057 , 579.019
0.058 , 579.019
0.059 , 579.019
0.06 , 579.02
0.061 , 579.02
0.062 , 579.02
0.063 , 579.02
0.064 , 579.021
0.065 , 579.021
0.066 , 579.021
0.067 , 579.022
0.068 , 579.022
0.069 , 579.022
0.07 , 579.022
0.071 , 579.023
0.072 , 579.023
0.073 , 579.023
0.074 , 579.023
0.075 , 579.024
0.076 , 579.024
0.077 , 579.024
0.078 , 579.024
0.079 , 579.024
0.08 , 579.025
0.081 , 579.025
0.082 , 579.025
0.083 , 579.025
0.084 , 579.025
0.085 , 579.026
0.086 , 579.026
0.087 , 579.026
0.088 , 579.026
0.089 , 579.026
0.09 , 579.027
0.091 , 579.027
0.092 , 579.027
0.093 , 579.027
0.094 , 579.027
0.095 , 579.027
0.096 , 579.028
0.097 , 579.028
0.098 , 579.028
0.099 , 579.028
0.1 , 579.028
0.101 , 579.028
0.102 , 579.028
0.103 , 579.028
0.104 , 579.029
0.105 , 579.029
0.106 , 579.029
0.107 , 579.029
0.108 , 579.029
0.109 , 579.029
0.11 , 579.029
0.111 , 579.029
0.112 , 579.029
0.113 , 579.029
0.114 , 579.03
0.115 , 579.03
0.116 , 579.03
0.117 , 579.03
0.118 , 579.03
0.119 , 579.03
0.12 , 579.03
0.121 , 579.03
0.122 , 579.03
0.123 , 579.03
0.124 , 579.03
0.125 , 579.03
0.126 , 579.03
0.127 , 579.03
0.128 , 579.03
0.129 , 579.03
0.13 , 579.03
0.131 , 579.03
0.132 , 579.03
0.133 , 579.03
0.134 , 579.03
0.135 , 579.03
0.136 , 579.03
0.137 , 579.03
0.138 , 579.03
0.139 , 579.03
0.14 , 579.03
0.141 , 579.03
0.142 , 579.03
0.143 , 579.03
0.144 , 579.03
0.145 , 579.03
0.146 , 579.03
0.147 , 579.03
0.148 , 579.03
0.149 , 579.03
0.15 , 579.03
0.151 , 579.029
0.152 , 579.029
0.153 , 579.029
0.154 , 579.029
0.155 , 579.029
0.156 , 579.029
0.157 , 579.029
0.158 , 579.029
0.159 , 579.029
0.16 , 579.029
0.161 , 579.029
0.162 , 579.028
0.163 , 579.028
0.164 , 579.028
0.165 , 579.028
0.166 , 579.028
0.167 , 579.028
0.168 , 579.028
0.169 , 579.027
0.17 , 579.027
0.171 , 579.027
0.172 , 579.027
0.173 , 579.027
0.174 , 579.027
0.175 , 579.026
0.176 , 579.026
0.177 , 579.026
0.178 , 579.026
0.179 , 579.026
0.18 , 579.026
0.181 , 579.025
0.182 , 579.025
0.183 , 579.025
0.184 , 579.025
0.185 , 579.024
0.186 , 579.024
0.187 , 579.024
0.188 , 579.024
0.189 , 579.024
0.19 , 579.023
0.191 , 579.023
0.192 , 579.023
0.193 , 579.023
0.194 , 579.022
0.195 , 579.022
0.196 , 579.022
0.197 , 579.022
0.198 , 579.021
0.199 , 579.021
0.2 , 579.021
0.201 , 579.02
0.202 , 579.02
0.203 , 579.02
0.204 , 579.02
0.205 , 579.019
0.206 , 579.019
0.207 , 579.019
0.208 , 579.018
0.209 , 579.018
0.21 , 579.018
0.211 , 579.017
0.212 , 579.017
0.213 , 579.017
0.214 , 579.016
0.215 , 579.016
0.216 , 579.016
0.217 , 579.015
0.218 , 579.015
0.219 , 579.015
0.22 , 579.014
0.221 , 579.014
0.222 , 579.013
0.223 , 579.013
0.224 , 579.013
0.225 , 579.012
0.226 , 579.012
0.227 , 579.012
0.228 , 579.011
0.229 , 579.011
0.23 , 579.01
0.231 , 579.01
0.232 , 579.01
0.233 , 579.009
0.234 , 579.009
0.235 , 579.008
0.236 , 579.008
0.237 , 579.007
0.238 , 579.007
0.239 , 579.006
0.24 , 579.006
0.241 , 579.006
0.242 , 579.005
0.243 , 579.005
0.244 , 579.004
0.245 , 579.004
0.246 , 579.003
0.247 , 579.003
0.248 , 579.002
0.249 , 579.002
0.25 , 579.001
0.251 , 579.001
0.252 , 579
0.253 , 579
0.254 , 578.999
0.255 , 578.999
0.256 , 578.998
0.257 , 578.998
0.258 , 578.997
0.259 , 578.997
0.26 , 578.996
0.261 , 578.996
0.262 , 578.995
0.263 , 578.994
0.264 , 578.994
0.265 , 578.993
0.266 , 578.993
0.267 , 578.992
0.268 , 578.992
0.269 , 578.991
0.27 , 578.99
0.271 , 578.99
0.272 , 578.989
0.273 , 578.989
0.274 , 578.988
0.275 , 578.987
0.276 , 578.987
0.277 , 578.986
0.278 , 578.986
0.279 , 578.985
0.28 , 578.984
0.281 , 578.984
0.282 , 578.983
0.283 , 578.982
0.284 , 578.982
0.285 , 578.981
0.286 , 578.98
0.287 , 578.98
0.288 , 578.979
0.289 , 578.978
0.29 , 578.978
0.291 , 578.977
0.292 , 578.976
0.293 , 578.976
0.294 , 578.975
0.295 , 578.974
0.296 , 578.974
0.297 , 578.973
0.298 , 578.972
0.299 , 578.972
0.3 , 578.971
0.301 , 578.97
0.302 , 578.969
0.303 , 578.969
0.304 , 578.968
0.305 , 578.967
0.306 , 578.966
0.307 , 578.966
0.308 , 578.965
0.309 , 578.964
0.31 , 578.963
0.311 , 578.963
0.312 , 578.962
0.313 , 578.961
0.314 , 578.96
0.315 , 578.959
0.316 , 578.959
0.317 , 578.958
0.318 , 578.957
0.319 , 578.956
0.32 , 578.955
0.321 , 578.955
0.322 , 578.954
0.323 , 578.953
0.324 , 578.952
0.325 , 578.951
0.326 , 578.95
0.327 , 578.95
0.328 , 578.949
0.329 , 578.948
0.33 , 578.947
0.331 , 578.946
0.332 , 578.945
0.333 , 578.944
0.334 , 578.944
0.335 , 578.943
0.336 , 578.942
0.337 , 578.941
0.338 , 578.94
0.339 , 578.939
