a, Fruling
1.05508 , 576.699
1.05608 , 576.693
1.05708 , 576.687
1.05808 , 576.68
1.05908 , 576.674
1.06008 , 576.668
1.06108 , 576.662
1.06208 , 576.656
1.06308 , 576.649
1.06408 , 576.643
1.06508 , 576.637
1.06608 , 576.631
1.06708 , 576.624
1.06808 , 576.618
1.06908 , 576.612
1.07008 , 576.605
1.07108 , 576.599
1.07208 , 576.593
1.07308 , 576.586
1.07408 , 576.58
1.07508 , 576.574
1.07608 , 576.567
1.07708 , 576.561
1.07808 , 576.554
1.07908 , 576.548
1.08008 , 576.541
1.08108 , 576.535
1.08208 , 576.529
1.08308 , 576.522
1.08408 , 576.516
1.08508 , 576.509
1.08608 , 576.503
1.08708 , 576.496
1.08808 , 576.49
1.08908 , 576.483
1.09008 , 576.476
1.09108 , 576.47
1.09208 , 576.463
1.09308 , 576.457
1.09408 , 576.45
1.09508 , 576.443
1.09608 , 576.437
1.09708 , 576.43
1.09808 , 576.424
1.09908 , 576.417
1.10008 , 576.41
1.10108 , 576.403
1.10208 , 576.397
1.10308 , 576.39
1.10408 , 576.383
1.10508 , 576.377
1.10608 , 576.37
1.10708 , 576.363
1.10808 , 576.356
1.10908 , 576.35
1.11008 , 576.343
1.11108 , 576.336
1.11208 , 576.329
1.11308 , 576.322
1.11408 , 576.315
1.11508 , 576.309
1.11608 , 576.302
1.11708 , 576.295
1.11808 , 576.288
1.11908 , 576.281
1.12008 , 576.274
1.12108 , 576.267
1.12208 , 576.26
1.12308 , 576.253
1.12408 , 576.246
1.12508 , 576.239
1.12608 , 576.232
1.12708 , 576.225
1.12808 , 576.218
1.12908 , 576.211
1.13008 , 576.204
1.13108 , 576.197
1.13208 , 576.19
1.13308 , 576.183
1.13408 , 576.176
1.13508 , 576.169
1.13608 , 576.161
1.13708 , 576.154
1.13808 , 576.147
1.13908 , 576.14
1.14008 , 576.133
1.14108 , 576.126
1.14208 , 576.118
1.14308 , 576.111
1.14408 , 576.104
1.14508 , 576.097
1.14608 , 576.089
1.14708 , 576.082
1.14808 , 576.075
1.14908 , 576.067
1.15008 , 576.06
1.15108 , 576.053
1.15208 , 576.045
1.15308 , 576.038
1.15408 , 576.031
1.15508 , 576.023
1.15608 , 576.016
1.15708 , 576.009
1.15808 , 576.001
1.15908 , 575.994
1.16008 , 575.986
1.16108 , 575.979
1.16208 , 575.971
1.16308 , 575.964
1.16408 , 575.956
1.16508 , 575.949
1.16608 , 575.941
1.16708 , 575.934
1.16808 , 575.926
1.16908 , 575.919
1.17008 , 575.911
1.17108 , 575.903
1.17208 , 575.896
1.17308 , 575.888
1.17408 , 575.881
1.17508 , 575.873
1.17608 , 575.865
1.17708 , 575.858
1.17808 , 575.85
1.17908 , 575.842
1.18008 , 575.834
1.18108 , 575.827
1.18208 , 575.819
1.18308 , 575.811
1.18408 , 575.803
1.18508 , 575.796
1.18608 , 575.788
1.18708 , 575.78
1.18808 , 575.772
1.18908 , 575.764
1.19008 , 575.757
1.19108 , 575.749
1.19208 , 575.741
1.19308 , 575.733
1.19408 , 575.725
1.19508 , 575.717
1.19608 , 575.709
1.19708 , 575.701
1.19808 , 575.693
1.19908 , 575.685
1.20008 , 575.677
1.20108 , 575.669
1.20208 , 575.661
1.20308 , 575.653
1.20408 , 575.645
1.20508 , 575.637
1.20608 , 575.629
1.20708 , 575.621
1.20808 , 575.613
1.20908 , 575.605
1.21008 , 575.596
1.21108 , 575.588
1.21208 , 575.58
1.21308 , 575.572
1.21408 , 575.564
1.21508 , 575.556
1.21608 , 575.547
1.21708 , 575.539
1.21808 , 575.531
1.21908 , 575.523
1.22008 , 575.514
1.22108 , 575.506
1.22208 , 575.498
1.22308 , 575.489
1.22408 , 575.481
1.22508 , 575.473
1.22608 , 575.464
1.22708 , 575.456
1.22808 , 575.448
1.22908 , 575.439
1.23008 , 575.431
1.23108 , 575.422
1.23208 , 575.414
1.23308 , 575.405
1.23408 , 575.397
1.23508 , 575.388
1.23608 , 575.38
1.23708 , 575.371
1.23808 , 575.363
1.23908 , 575.354
1.24008 , 575.346
1.24108 , 575.337
1.24208 , 575.329
1.24308 , 575.32
1.24408 , 575.311
1.24508 , 575.303
1.24608 , 575.294
1.24708 , 575.285
1.24808 , 575.277
1.24908 , 575.268
1.25008 , 575.259
1.25108 , 575.25
1.25208 , 575.242
1.25308 , 575.233
1.25408 , 575.224
1.25508 , 575.215
1.25608 , 575.207
1.25708 , 575.198
1.25808 , 575.189
1.25908 , 575.18
1.26008 , 575.171
1.26108 , 575.162
1.26208 , 575.153
1.26308 , 575.145
1.26408 , 575.136
1.26508 , 575.127
1.26608 , 575.118
1.26708 , 575.109
1.26808 , 575.1
1.26908 , 575.091
1.27008 , 575.082
1.27108 , 575.073
1.27208 , 575.064
1.27308 , 575.055
1.27408 , 575.046
1.27508 , 575.037
1.27608 , 575.027
1.27708 , 575.018
1.27808 , 575.009
1.27908 , 575
1.28008 , 574.991
1.28108 , 574.982
1.28208 , 574.972
1.28308 , 574.963
1.28408 , 574.954
1.28508 , 574.945
1.28608 , 574.936
1.28708 , 574.926
1.28808 , 574.917
1.28908 , 574.908
1.29008 , 574.898
1.29108 , 574.889
1.29208 , 574.88
1.29308 , 574.87
1.29408 , 574.861
1.29508 , 574.852
1.29608 , 574.842
1.29708 , 574.833
1.29808 , 574.823
1.29908 , 574.814
1.30008 , 574.804
1.30108 , 574.795
1.30208 , 574.785
1.30308 , 574.776
1.30408 , 574.766
1.30508 , 574.757
1.30608 , 574.747
1.30708 , 574.738
1.30808 , 574.728
1.30908 , 574.719
1.31008 , 574.709
1.31108 , 574.699
1.31208 , 574.69
1.31308 , 574.68
1.31408 , 574.67
1.31508 , 574.661
1.31608 , 574.651
1.31708 , 574.641
1.31808 , 574.631
1.31908 , 574.622
1.32008 , 574.612
1.32108 , 574.602
1.32208 , 574.592
1.32308 , 574.582
1.32408 , 574.573
1.32508 , 574.563
1.32608 , 574.553
1.32708 , 574.543
1.32808 , 574.533
1.32908 , 574.523
1.33008 , 574.513
1.33108 , 574.503
1.33208 , 574.493
1.33308 , 574.483
1.33408 , 574.473
1.33508 , 574.463
1.33608 , 574.453
1.33708 , 574.443
1.33808 , 574.433
1.33908 , 574.423
1.34008 , 574.413
1.34108 , 574.403
1.34208 , 574.393
1.34308 , 574.383
1.34408 , 574.373
1.34508 , 574.363
1.34608 , 574.352
1.34708 , 574.342
1.34808 , 574.332
1.34908 , 574.322
1.35008 , 574.312
1.35108 , 574.301
1.35208 , 574.291
1.35308 , 574.281
1.35408 , 574.271
1.35508 , 574.26
1.35608 , 574.25
1.35708 , 574.24
1.35808 , 574.229
1.35908 , 574.219
1.36008 , 574.208
1.36108 , 574.198
1.36208 , 574.188
1.36308 , 574.177
1.36408 , 574.167
1.36508 , 574.156
1.36608 , 574.146
1.36708 , 574.135
1.36808 , 574.125
1.36908 , 574.114
1.37008 , 574.104
1.37108 , 574.093
1.37208 , 574.083
1.37308 , 574.072
1.37408 , 574.061
1.37508 , 574.051
1.37608 , 574.04
1.37708 , 574.03
1.37808 , 574.019
1.37908 , 574.008
1.38008 , 573.998
1.38108 , 573.987
1.38208 , 573.976
1.38308 , 573.965
1.38408 , 573.955
1.38508 , 573.944
1.38608 , 573.933
1.38708 , 573.922
1.38808 , 573.912
1.38908 , 573.901
1.39008 , 573.89
1.39108 , 573.879
1.39208 , 573.868
1.39308 , 573.857
1.39408 , 573.846
1.39508 , 573.835
1.39608 , 573.825
1.39708 , 573.814
1.39808 , 573.803
1.39908 , 573.792
1.40008 , 573.781
1.40108 , 573.77
1.40208 , 573.759
1.40308 , 573.748
1.40408 , 573.737
1.40508 , 573.726
1.40608 , 573.715
1.40708 , 573.703
1.40808 , 573.692
1.40908 , 573.681
1.41008 , 573.67
1.41108 , 573.659
1.41208 , 573.648
1.41308 , 573.637
1.41408 , 573.625
1.41508 , 573.614
1.41608 , 573.603
1.41708 , 573.592
1.41808 , 573.581
1.41908 , 573.569
1.42008 , 573.558
1.42108 , 573.547
1.42208 , 573.536
1.42308 , 573.524
1.42408 , 573.513
1.42508 , 573.502
1.42608 , 573.49
1.42708 , 573.479
1.42808 , 573.468
1.42908 , 573.456
1.43008 , 573.445
1.43108 , 573.433
1.43208 , 573.422
1.43308 , 573.41
1.43408 , 573.399
1.43508 , 573.388
1.43608 , 573.376
1.43708 , 573.365
1.43808 , 573.353
1.43908 , 573.342
1.44008 , 573.33
1.44108 , 573.318
1.44208 , 573.307
1.44308 , 573.295
1.44408 , 573.284
1.44508 , 573.272
1.44608 , 573.261
1.44708 , 573.249
1.44808 , 573.237
1.44908 , 573.226
1.45008 , 573.214
1.45108 , 573.202
1.45208 , 573.191
1.45308 , 573.179
1.45408 , 573.167
1.45508 , 573.156
1.45608 , 573.144
1.45708 , 573.132
1.45808 , 573.12
1.45908 , 573.109
1.46008 , 573.097
1.46108 , 573.085
1.46208 , 573.073
1.46308 , 573.061
1.46408 , 573.05
1.46508 , 573.038
1.46608 , 573.026
1.46708 , 573.014
1.46808 , 573.002
1.46908 , 572.99
1.47008 , 572.979
1.47108 , 572.967
1.47208 , 572.955
1.47308 , 572.943
1.47408 , 572.931
1.47508 , 572.919
1.47608 , 572.907
1.47708 , 572.895
1.47808 , 572.883
1.47908 , 572.871
1.48008 , 572.859
1.48108 , 572.847
1.48208 , 572.835
1.48308 , 572.823
1.48408 , 572.811
1.48508 , 572.799
1.48608 , 572.787
1.48708 , 572.775
1.48808 , 572.763
1.48908 , 572.751
1.49008 , 572.739
1.49108 , 572.727
1.49208 , 572.715
1.49308 , 572.703
1.49408 , 572.69
1.49508 , 572.678
1.49608 , 572.666
1.49708 , 572.654
1.49808 , 572.642
1.49908 , 572.63
1.50008 , 572.618
1.50108 , 572.606
1.50208 , 572.593
1.50308 , 572.581
1.50408 , 572.569
1.50508 , 572.557
1.50608 , 572.545
1.50708 , 572.533
1.50808 , 572.52
1.50908 , 572.508
1.51008 , 572.496
1.51108 , 572.484
1.51208 , 572.472
1.51308 , 572.459
1.51408 , 572.447
1.51508 , 572.435
1.51608 , 572.423
1.51708 , 572.41
1.51808 , 572.398
1.51908 , 572.386
1.52008 , 572.374
1.52108 , 572.361
1.52208 , 572.349
1.52308 , 572.337
1.52408 , 572.325
1.52508 , 572.312
1.52608 , 572.3
1.52708 , 572.288
1.52808 , 572.275
1.52908 , 572.263
1.53008 , 572.251
1.53108 , 572.239
