a, Fruling
0 , 32.7048
0.001 , 32.7046
0.002 , 32.7044
0.003 , 32.7041
0.004 , 32.7039
0.005 , 32.7036
0.006 , 32.7034
0.007 , 32.7031
0.008 , 32.7029
0.009 , 32.7026
0.01 , 32.7024
0.011 , 32.7021
0.012 , 32.7018
0.013 , 32.7016
0.014 , 32.7013
0.015 , 32.7011
0.016 , 32.7008
0.017 , 32.7006
0.018 , 32.7003
0.019 , 32.7
0.02 , 32.6998
0.021 , 32.6995
0.022 , 32.6992
0.023 , 32.699
0.024 , 32.6987
0.025 , 32.6984
0.026 , 32.6982
0.027 , 32.6979
0.028 , 32.6976
0.029 , 32.6973
0.03 , 32.6971
0.031 , 32.6968
0.032 , 32.6965
0.033 , 32.6962
0.034 , 32.696
0.035 , 32.6957
0.036 , 32.6954
0.037 , 32.6951
0.038 , 32.6948
0.039 , 32.6946
0.04 , 32.6943
0.041 , 32.694
0.042 , 32.6937
0.043 , 32.6934
0.044 , 32.6931
0.045 , 32.6928
0.046 , 32.6925
0.047 , 32.6923
0.048 , 32.692
0.049 , 32.6917
0.05 , 32.6914
0.051 , 32.6911
0.052 , 32.6908
0.053 , 32.6905
0.054 , 32.6902
0.055 , 32.6899
0.056 , 32.6896
0.057 , 32.6893
0.058 , 32.689
0.059 , 32.6887
0.06 , 32.6884
0.061 , 32.688
0.062 , 32.6877
0.063 , 32.6874
0.064 , 32.6871
0.065 , 32.6868
0.066 , 32.6865
0.067 , 32.6862
0.068 , 32.6859
0.069 , 32.6856
0.07 , 32.6852
0.071 , 32.6849
0.072 , 32.6846
0.073 , 32.6843
0.074 , 32.684
0.075 , 32.6836
0.076 , 32.6833
0.077 , 32.683
0.078 , 32.6827
0.079 , 32.6823
0.08 , 32.682
0.081 , 32.6817
0.082 , 32.6814
0.083 , 32.681
0.084 , 32.6807
0.085 , 32.6804
0.086 , 32.68
0.087 , 32.6797
0.088 , 32.6794
0.089 , 32.679
0.09 , 32.6787
0.091 , 32.6783
0.092 , 32.678
0.093 , 32.6777
0.094 , 32.6773
0.095 , 32.677
0.096 , 32.6766
0.097 , 32.6763
0.098 , 32.6759
0.099 , 32.6756
0.1 , 32.6752
0.101 , 32.6749
0.102 , 32.6745
0.103 , 32.6742
0.104 , 32.6738
0.105 , 32.6735
0.106 , 32.6731
0.107 , 32.6728
0.108 , 32.6724
0.109 , 32.672
0.11 , 32.6717
0.111 , 32.6713
0.112 , 32.671
0.113 , 32.6706
0.114 , 32.6702
0.115 , 32.6699
0.116 , 32.6695
0.117 , 32.6691
0.118 , 32.6688
0.119 , 32.6684
0.12 , 32.668
0.121 , 32.6677
0.122 , 32.6673
0.123 , 32.6669
0.124 , 32.6665
0.125 , 32.6662
0.126 , 32.6658
0.127 , 32.6654
0.128 , 32.665
0.129 , 32.6646
0.13 , 32.6643
0.131 , 32.6639
0.132 , 32.6635
0.133 , 32.6631
0.134 , 32.6627
0.135 , 32.6623
0.136 , 32.662
0.137 , 32.6616
0.138 , 32.6612
0.139 , 32.6608
0.14 , 32.6604
0.141 , 32.66
0.142 , 32.6596
0.143 , 32.6592
0.144 , 32.6588
0.145 , 32.6584
0.146 , 32.658
0.147 , 32.6576
0.148 , 32.6572
0.149 , 32.6568
0.15 , 32.6564
0.151 , 32.656
0.152 , 32.6556
0.153 , 32.6552
0.154 , 32.6548
0.155 , 32.6544
0.156 , 32.654
0.157 , 32.6535
0.158 , 32.6531
0.159 , 32.6527
0.16 , 32.6523
0.161 , 32.6519
0.162 , 32.6515
0.163 , 32.6511
0.164 , 32.6506
0.165 , 32.6502
0.166 , 32.6498
0.167 , 32.6494
0.168 , 32.6489
0.169 , 32.6485
0.17 , 32.6481
0.171 , 32.6477
0.172 , 32.6472
0.173 , 32.6468
0.174 , 32.6464
0.175 , 32.646
0.176 , 32.6455
0.177 , 32.6451
0.178 , 32.6447
0.179 , 32.6442
0.18 , 32.6438
0.181 , 32.6433
0.182 , 32.6429
0.183 , 32.6425
0.184 , 32.642
0.185 , 32.6416
0.186 , 32.6411
0.187 , 32.6407
0.188 , 32.6402
0.189 , 32.6398
0.19 , 32.6394
0.191 , 32.6389
0.192 , 32.6385
0.193 , 32.638
0.194 , 32.6375
0.195 , 32.6371
0.196 , 32.6366
0.197 , 32.6362
0.198 , 32.6357
0.199 , 32.6353
0.2 , 32.6348
0.201 , 32.6343
0.202 , 32.6339
0.203 , 32.6334
0.204 , 32.633
0.205 , 32.6325
0.206 , 32.632
0.207 , 32.6316
0.208 , 32.6311
0.209 , 32.6306
0.21 , 32.6302
0.211 , 32.6297
0.212 , 32.6292
0.213 , 32.6287
0.214 , 32.6283
0.215 , 32.6278
0.216 , 32.6273
0.217 , 32.6268
0.218 , 32.6263
0.219 , 32.6259
0.22 , 32.6254
0.221 , 32.6249
0.222 , 32.6244
0.223 , 32.6239
0.224 , 32.6234
0.225 , 32.623
0.226 , 32.6225
0.227 , 32.622
0.228 , 32.6215
0.229 , 32.621
0.23 , 32.6205
0.231 , 32.62
0.232 , 32.6195
0.233 , 32.619
0.234 , 32.6185
0.235 , 32.618
0.236 , 32.6175
0.237 , 32.617
0.238 , 32.6165
0.239 , 32.616
0.24 , 32.6155
0.241 , 32.615
0.242 , 32.6145
0.243 , 32.614
0.244 , 32.6135
0.245 , 32.613
0.246 , 32.6124
0.247 , 32.6119
0.248 , 32.6114
0.249 , 32.6109
0.25 , 32.6104
0.251 , 32.6099
0.252 , 32.6093
0.253 , 32.6088
0.254 , 32.6083
0.255 , 32.6078
0.256 , 32.6073
0.257 , 32.6067
0.258 , 32.6062
0.259 , 32.6057
0.26 , 32.6052
0.261 , 32.6046
0.262 , 32.6041
0.263 , 32.6036
0.264 , 32.603
0.265 , 32.6025
0.266 , 32.602
0.267 , 32.6014
0.268 , 32.6009
0.269 , 32.6003
0.27 , 32.5998
0.271 , 32.5993
0.272 , 32.5987
0.273 , 32.5982
0.274 , 32.5976
0.275 , 32.5971
0.276 , 32.5965
0.277 , 32.596
0.278 , 32.5954
0.279 , 32.5949
0.28 , 32.5943
0.281 , 32.5938
0.282 , 32.5932
0.283 , 32.5927
0.284 , 32.5921
0.285 , 32.5916
0.286 , 32.591
0.287 , 32.5904
0.288 , 32.5899
0.289 , 32.5893
0.29 , 32.5888
0.291 , 32.5882
0.292 , 32.5876
0.293 , 32.5871
0.294 , 32.5865
0.295 , 32.5859
0.296 , 32.5854
0.297 , 32.5848
0.298 , 32.5842
0.299 , 32.5836
0.3 , 32.5831
0.301 , 32.5825
0.302 , 32.5819
0.303 , 32.5813
0.304 , 32.5807
0.305 , 32.5802
0.306 , 32.5796
0.307 , 32.579
0.308 , 32.5784
0.309 , 32.5778
0.31 , 32.5772
0.311 , 32.5766
0.312 , 32.5761
0.313 , 32.5755
0.314 , 32.5749
0.315 , 32.5743
0.316 , 32.5737
0.317 , 32.5731
0.318 , 32.5725
0.319 , 32.5719
0.32 , 32.5713
0.321 , 32.5707
0.322 , 32.5701
0.323 , 32.5695
0.324 , 32.5689
0.325 , 32.5683
0.326 , 32.5677
0.327 , 32.5671
0.328 , 32.5664
0.329 , 32.5658
0.33 , 32.5652
0.331 , 32.5646
0.332 , 32.564
0.333 , 32.5634
0.334 , 32.5628
0.335 , 32.5621
0.336 , 32.5615
0.337 , 32.5609
0.338 , 32.5603
0.339 , 32.5597
0.34 , 32.559
0.341 , 32.5584
0.342 , 32.5578
0.343 , 32.5572
0.344 , 32.5565
0.345 , 32.5559
0.346 , 32.5553
0.347 , 32.5546
0.348 , 32.554
0.349 , 32.5534
0.35 , 32.5527
0.351 , 32.5521
0.352 , 32.5515
0.353 , 32.5508
0.354 , 32.5502
0.355 , 32.5495
0.356 , 32.5489
0.357 , 32.5482
0.358 , 32.5476
0.359 , 32.5469
0.36 , 32.5463
0.361 , 32.5456
0.362 , 32.545
0.363 , 32.5443
0.364 , 32.5437
0.365 , 32.543
0.366 , 32.5424
0.367 , 32.5417
0.368 , 32.5411
0.369 , 32.5404
0.37 , 32.5397
0.371 , 32.5391
0.372 , 32.5384
0.373 , 32.5377
0.374 , 32.5371
0.375 , 32.5364
0.376 , 32.5357
0.377 , 32.5351
0.378 , 32.5344
0.379 , 32.5337
0.38 , 32.533
0.381 , 32.5324
0.382 , 32.5317
0.383 , 32.531
0.384 , 32.5303
0.385 , 32.5297
0.386 , 32.529
0.387 , 32.5283
0.388 , 32.5276
0.389 , 32.5269
0.39 , 32.5262
0.391 , 32.5255
0.392 , 32.5249
0.393 , 32.5242
0.394 , 32.5235
0.395 , 32.5228
0.396 , 32.5221
0.397 , 32.5214
0.398 , 32.5207
0.399 , 32.52
0.4 , 32.5193
0.401 , 32.5186
0.402 , 32.5179
0.403 , 32.5172
0.404 , 32.5165
0.405 , 32.5158
0.406 , 32.5151
0.407 , 32.5144
0.408 , 32.5137
0.409 , 32.5129
0.41 , 32.5122
0.411 , 32.5115
0.412 , 32.5108
0.413 , 32.5101
0.414 , 32.5094
0.415 , 32.5086
0.416 , 32.5079
0.417 , 32.5072
0.418 , 32.5065
0.419 , 32.5058
0.42 , 32.505
0.421 , 32.5043
0.422 , 32.5036
