a, Fruling
1.2861 , 28.8971
1.2871 , 28.8672
1.2881 , 28.8373
1.2891 , 28.8074
1.2901 , 28.7776
1.2911 , 28.7477
1.2921 , 28.7178
1.2931 , 28.6879
1.2941 , 28.658
1.2951 , 28.6281
1.2961 , 28.5982
1.2971 , 28.5683
1.2981 , 28.5384
1.2991 , 28.5085
1.3001 , 28.4786
1.3011 , 28.4487
1.3021 , 28.4188
1.3031 , 28.3889
1.3041 , 28.359
1.3051 , 28.3291
1.3061 , 28.2992
1.3071 , 28.2693
1.3081 , 28.2394
1.3091 , 28.2095
1.3101 , 28.1796
1.3111 , 28.1497
1.3121 , 28.1198
1.3131 , 28.0899
1.3141 , 28.06
1.3151 , 28.0301
1.3161 , 28.0002
1.3171 , 27.9703
1.3181 , 27.9404
1.3191 , 27.9105
1.3201 , 27.8807
1.3211 , 27.8508
1.3221 , 27.8209
1.3231 , 27.791
1.3241 , 27.7611
1.3251 , 27.7312
1.3261 , 27.7013
1.3271 , 27.6714
1.3281 , 27.6416
1.3291 , 27.6117
1.3301 , 27.5818
1.3311 , 27.5519
1.3321 , 27.5221
1.3331 , 27.4922
1.3341 , 27.4623
1.3351 , 27.4324
1.3361 , 27.4026
1.3371 , 27.3727
1.3381 , 27.3428
1.3391 , 27.313
1.3401 , 27.2831
1.3411 , 27.2533
1.3421 , 27.2234
1.3431 , 27.1936
1.3441 , 27.1637
1.3451 , 27.1339
1.3461 , 27.104
1.3471 , 27.0742
1.3481 , 27.0443
1.3491 , 27.0145
1.3501 , 26.9847
1.3511 , 26.9549
1.3521 , 26.925
1.3531 , 26.8952
1.3541 , 26.8654
1.3551 , 26.8356
1.3561 , 26.8058
1.3571 , 26.7759
1.3581 , 26.7461
1.3591 , 26.7163
1.3601 , 26.6865
1.3611 , 26.6567
1.3621 , 26.627
1.3631 , 26.5972
1.3641 , 26.5674
1.3651 , 26.5376
1.3661 , 26.5078
1.3671 , 26.4781
1.3681 , 26.4483
1.3691 , 26.4185
1.3701 , 26.3888
1.3711 , 26.359
1.3721 , 26.3293
1.3731 , 26.2995
1.3741 , 26.2698
1.3751 , 26.24
1.3761 , 26.2103
1.3771 , 26.1806
1.3781 , 26.1508
1.3791 , 26.1211
1.3801 , 26.0914
1.3811 , 26.0617
1.3821 , 26.032
1.3831 , 26.0023
1.3841 , 25.9726
1.3851 , 25.9429
1.3861 , 25.9132
1.3871 , 25.8836
1.3881 , 25.8539
1.3891 , 25.8242
1.3901 , 25.7946
1.3911 , 25.7649
1.3921 , 25.7353
1.3931 , 25.7056
1.3941 , 25.676
1.3951 , 25.6463
1.3961 , 25.6167
1.3971 , 25.5871
1.3981 , 25.5575
1.3991 , 25.5279
1.4001 , 25.4983
1.4011 , 25.4687
1.4021 , 25.4391
1.4031 , 25.4095
1.4041 , 25.3799
1.4051 , 25.3503
1.4061 , 25.3208
1.4071 , 25.2912
1.4081 , 25.2617
1.4091 , 25.2321
1.4101 , 25.2026
1.4111 , 25.173
1.4121 , 25.1435
1.4131 , 25.114
1.4141 , 25.0845
1.4151 , 25.055
1.4161 , 25.0255
1.4171 , 24.996
1.4181 , 24.9665
1.4191 , 24.937
1.4201 , 24.9076
1.4211 , 24.8781
1.4221 , 24.8486
1.4231 , 24.8192
1.4241 , 24.7897
1.4251 , 24.7603
1.4261 , 24.7309
1.4271 , 24.7015
1.4281 , 24.6721
1.4291 , 24.6427
1.4301 , 24.6133
1.4311 , 24.5839
1.4321 , 24.5545
1.4331 , 24.5251
1.4341 , 24.4958
1.4351 , 24.4664
1.4361 , 24.4371
1.4371 , 24.4077
1.4381 , 24.3784
1.4391 , 24.3491
1.4401 , 24.3198
1.4411 , 24.2905
1.4421 , 24.2612
1.4431 , 24.2319
1.4441 , 24.2026
1.4451 , 24.1733
1.4461 , 24.1441
1.4471 , 24.1148
1.4481 , 24.0856
1.4491 , 24.0564
1.4501 , 24.0271
1.4511 , 23.9979
1.4521 , 23.9687
1.4531 , 23.9395
1.4541 , 23.9103
1.4551 , 23.8811
1.4561 , 23.852
1.4571 , 23.8228
1.4581 , 23.7937
1.4591 , 23.7645
1.4601 , 23.7354
1.4611 , 23.7063
1.4621 , 23.6772
1.4631 , 23.6481
1.4641 , 23.619
1.4651 , 23.5899
1.4661 , 23.5608
1.4671 , 23.5317
1.4681 , 23.5027
1.4691 , 23.4736
1.4701 , 23.4446
1.4711 , 23.4156
1.4721 , 23.3866
1.4731 , 23.3576
1.4741 , 23.3286
