a, Eruling, Fbend,
0,3.58927,17.7399,1
0.001,3.58982,508798,1
0.002,3.59037,127212,1
0.003,3.59092,56548.3,1
0.004,3.59146,31815.8,1
0.005,3.592,20368.1,1
0.006,3.59254,14149.5,1
0.007,3.59308,10399.9,1
0.008,3.59361,7966.16,1
0.009,3.59414,6297.57,1
0.01,3.59468,5104.01,1
0.011,3.5952,4220.87,1
0.012,3.59573,3549.14,1
0.013,3.59626,3026.35,1
0.014,3.59678,2611.51,1
0.015,3.5973,2276.82,1
0.016,3.59782,2002.88,1
0.017,3.59834,1775.82,1
0.018,3.59885,1585.53,1
0.019,3.59936,1424.47,1
0.02,3.59987,1286.95,1
0.021,3.60038,1168.58,1
0.022,3.60089,1065.98,1
0.023,3.60139,976.448,1
0.024,3.6019,897.864,1
0.025,3.6024,828.51,1
0.026,3.60289,766.993,1
0.027,3.60339,712.174,1
0.028,3.60388,663.114,1
0.029,3.60438,619.033,1
0.03,3.60487,579.278,1
0.031,3.60535,543.301,1
0.032,3.60584,510.636,1
0.033,3.60632,480.888,1
0.034,3.60681,453.72,1
0.035,3.60729,428.841,1
0.036,3.60776,406,1
0.037,3.60824,384.98,1
0.038,3.60871,365.593,1
0.039,3.60918,347.672,1
0.04,3.60965,331.074,1
0.041,3.61012,315.671,1
0.042,3.61059,301.351,1
0.043,3.61105,288.013,1
0.044,3.61151,275.571,1
0.045,3.61197,263.944,1
0.046,3.61243,253.064,1
0.047,3.61288,242.868,1
0.048,3.61333,233.299,1
0.049,3.61378,224.306,1
0.05,3.61423,215.844,1
0.051,3.61468,207.872,1
0.052,3.61512,200.353,1
0.053,3.61557,193.252,1
0.054,3.61601,186.54,1
0.055,3.61645,180.188,1
0.056,3.61688,174.17,1
0.057,3.61732,168.465,1
0.058,3.61775,163.049,1
0.059,3.61818,157.904,1
0.06,3.61861,153.013,1
0.061,3.61903,148.358,1
0.062,3.61946,143.924,1
0.063,3.61988,139.698,1
0.064,3.6203,135.667,1
0.065,3.62072,131.818,1
0.066,3.62113,128.142,1
0.067,3.62155,124.627,1
0.068,3.62196,121.265,1
0.069,3.62237,118.046,1
0.07,3.62277,114.963,1
0.071,3.62318,112.008,1
0.072,3.62358,109.174,1
0.073,3.62398,106.455,1
0.074,3.62438,103.843,1
0.075,3.62478,101.335,1
0.076,3.62517,98.9232,1
0.077,3.62557,96.6041,1
0.078,3.62596,94.3726,1
0.079,3.62635,92.2243,1
0.08,3.62673,90.1551,1
0.081,3.62712,88.1612,1
0.082,3.6275,86.2389,1
0.083,3.62788,84.385,1
0.084,3.62826,82.596,1
0.085,3.62863,80.8691,1
0.086,3.62901,79.2013,1
0.087,3.62938,77.5901,1
0.088,3.62975,76.0328,1
0.089,3.63012,74.5271,1
0.09,3.63048,73.0707,1
0.091,3.63085,71.6615,1
0.092,3.63121,70.2975,1
0.093,3.63157,68.9768,1
0.094,3.63193,67.6975,1
0.095,3.63228,66.458,1
0.096,3.63264,65.2565,1
0.097,3.63299,64.0917,1
0.098,3.63334,62.9619,1
0.099,3.63368,61.8659,1
0.1,3.63403,60.8023,1
0.101,3.63437,59.7697,1
0.102,3.63471,58.7672,1
0.103,3.63505,57.7934,1
0.104,3.63539,56.8473,1
0.105,3.63572,55.928,1
0.106,3.63605,55.0343,1
0.107,3.63638,54.1654,1
0.108,3.63671,53.3204,1
0.109,3.63704,52.4984,1
0.11,3.63736,51.6985,1
0.111,3.63768,50.9201,1
0.112,3.638,50.1624,1
0.113,3.63832,49.4246,1
0.114,3.63864,48.7061,1
0.115,3.63895,48.0063,1
0.116,3.63926,47.3244,1
0.117,3.63957,46.66,1
0.118,3.63988,46.0124,1
0.119,3.64018,45.3811,1
0.12,3.64049,44.7655,1
0.121,3.64079,44.1652,1
0.122,3.64109,43.5797,1
0.123,3.64138,43.0086,1
0.124,3.64168,42.4513,1
0.125,3.64197,41.9074,1
0.126,3.64226,41.3766,1
0.127,3.64255,40.8584,1
0.128,3.64283,40.3525,1
0.129,3.64312,39.8585,1
0.13,3.6434,39.376,1
0.131,3.64368,38.9048,1
0.132,3.64396,38.4444,1
0.133,3.64423,37.9947,1
0.134,3.64451,37.5552,1
0.135,3.64478,37.1257,1
0.136,3.64505,36.7059,1
0.137,3.64532,36.2956,1
0.138,3.64558,35.8945,1
0.139,3.64584,35.5023,1
0.14,3.6461,35.1188,1
0.141,3.64636,34.7438,1
0.142,3.64662,34.3771,1
0.143,3.64687,34.0184,1
0.144,3.64713,33.6675,1
0.145,3.64738,33.3242,1
0.146,3.64763,32.9884,1
0.147,3.64787,32.6598,1
0.148,3.64812,32.3383,1
0.149,3.64836,32.0237,1
0.15,3.6486,31.7159,1
0.151,3.64883,31.4146,1
0.152,3.64907,31.1197,1
0.153,3.6493,30.8311,1
0.154,3.64954,30.5486,1
0.155,3.64976,30.272,1
0.156,3.64999,30.0014,1
0.157,3.65022,29.7364,1
0.158,3.65044,29.477,1
0.159,3.65066,29.223,1
0.16,3.65088,28.9744,1
0.161,3.6511,28.731,1
0.162,3.65131,28.4928,1
0.163,3.65152,28.2595,1
0.164,3.65173,28.0311,1
0.165,3.65194,27.8076,1
0.166,3.65215,27.5887,1
0.167,3.65235,27.3744,1
0.168,3.65255,27.1647,1
0.169,3.65275,26.9594,1
0.17,3.65295,26.7584,1
0.171,3.65314,26.5617,1
0.172,3.65334,26.3691,1
0.173,3.65353,26.1807,1
0.174,3.65372,25.9963,1
0.175,3.6539,25.8159,1
0.176,3.65409,25.6393,1
0.177,3.65427,25.4666,1
0.178,3.65445,25.2976,1
0.179,3.65463,25.1323,1
0.18,3.6548,24.9706,1
0.181,3.65498,24.8126,1
0.182,3.65515,24.658,1
0.183,3.65532,24.5069,1
0.184,3.65549,24.3592,1
0.185,3.65565,24.2149,1
0.186,3.65581,24.0738,1
0.187,3.65598,23.9361,1
0.188,3.65613,23.8015,1
0.189,3.65629,23.6701,1
0.19,3.65645,23.5419,1
0.191,3.6566,23.4167,1
0.192,3.65675,23.2946,1
0.193,3.6569,23.1755,1
0.194,3.65704,23.0594,1
0.195,3.65719,22.9462,1
0.196,3.65733,22.8359,1
0.197,3.65747,22.7285,1
0.198,3.65761,22.624,1
0.199,3.65774,22.5223,1
0.2,3.65787,22.4233,1
0.201,3.65801,22.3272,1
0.202,3.65813,22.2337,1
0.203,3.65826,22.143,1
0.204,3.65839,22.055,1
0.205,3.65851,21.9697,1
0.206,3.65863,21.887,1
0.207,3.65875,21.8069,1
0.208,3.65886,21.7295,1
0.209,3.65898,21.6547,1
0.21,3.65909,21.5824,1
0.211,3.6592,21.5128,1
0.212,3.65931,21.4457,1
0.213,3.65941,21.3811,1
0.214,3.65951,21.3191,1
0.215,3.65961,21.2596,1
0.216,3.65971,21.2027,1
0.217,3.65981,21.1482,1
0.218,3.6599,21.0963,1
0.219,3.66,21.0469,1
0.22,3.66009,21,1
0.221,3.66017,20.9556,1
0.222,3.66026,20.9137,1
0.223,3.66034,20.8743,1
0.224,3.66042,20.8374,1
0.225,3.6605,20.8031,1
0.226,3.66058,20.7712,1
0.227,3.66066,20.7419,1
0.228,3.66073,20.7151,1
0.229,3.6608,20.6908,1
0.23,3.66087,20.6691,1
0.231,3.66093,20.65,1
0.232,3.661,20.6334,1
0.233,3.66106,20.6194,1
0.234,3.66112,20.608,1
0.235,3.66118,20.5992,1
0.236,3.66123,20.593,1
0.237,3.66129,20.5895,1
0.238,3.66134,20.5887,1
0.239,3.66139,20.5906,1
0.24,3.66143,20.5952,1
0.241,3.66148,20.6025,1
0.242,3.66152,20.6126,1
0.243,3.66156,20.6256,1
0.244,3.6616,20.6413,1
0.245,3.66163,20.6599,1
0.246,3.66167,20.6815,1
0.247,3.6617,20.7059,1
0.248,3.66173,20.7334,1
0.249,3.66175,20.7638,1
0.25,3.66178,20.7973,1
0.251,3.6618,20.8339,1
0.252,3.66182,20.8737,1
0.253,3.66184,20.9166,1
0.254,3.66186,20.9629,1
0.255,3.66187,21.0124,1
0.256,3.66188,21.0652,1
0.257,3.66189,21.1215,1
0.258,3.6619,21.1813,1
0.259,3.6619,21.2447,1
0.26,3.66191,21.3117,1
0.261,3.66191,21.3824,1
0.262,3.66191,21.4569,1
0.263,3.6619,21.5352,1
0.264,3.6619,21.6174,1
0.265,3.66189,21.7036,1
0.266,3.66188,21.7939,1
0.267,3.66187,21.8884,1
0.268,3.66185,21.9871,1
0.269,3.66184,22.0902,1
0.27,3.66182,22.1977,1
0.271,3.6618,22.3099,1
0.272,3.66177,22.4267,1
0.273,3.66175,22.5483,1
0.274,3.66172,22.6748,1
0.275,3.66169,22.8064,1
0.276,3.66166,22.9432,1
0.277,3.66162,23.0853,1
0.278,3.66159,23.2329,1
0.279,3.66155,23.3861,1
0.28,3.66151,23.5451,1
0.281,3.66146,23.71,1
0.282,3.66142,23.8811,1
0.283,3.66137,24.0585,1
0.284,3.66132,24.2423,1
0.285,3.66127,24.4328,1
0.286,3.66121,24.6302,1
0.287,3.66116,24.8348,1
0.288,3.6611,25.0466,1
0.289,3.66104,25.266,1
0.29,3.66097,25.4933,1
0.291,3.66091,25.7286,1
0.292,3.66084,25.9722,1
0.293,3.66077,26.2245,1
0.294,3.6607,26.4857,1
0.295,3.66062,26.7562,1
0.296,3.66055,27.0362,1
0.297,3.66047,27.3261,1
0.298,3.66039,27.6263,1
0.299,3.6603,27.9371,1
0.3,3.66022,28.259,1
0.301,3.66013,28.5923,1
0.302,3.66004,28.9375,1
0.303,3.65995,29.2951,1
0.304,3.65986,29.6655,1
0.305,3.65976,30.0492,1
0.306,3.65966,30.4469,1
0.307,3.65956,30.859,1
0.308,3.65946,31.2861,1
0.309,3.65935,31.7289,1
0.31,3.65924,32.1881,1
0.311,3.65913,32.6644,1
0.312,3.65902,33.1584,1
0.313,3.65891,33.671,1
0.314,3.65879,34.2029,1
0.315,3.65867,34.7552,1
0.316,3.65855,35.3287,1
0.317,3.65843,35.9244,1
0.318,3.6583,36.5432,1
0.319,3.65817,37.1865,1
0.32,3.65804,37.8552,1
0.321,3.65791,38.5508,1
0.322,3.65777,39.2744,1
0.323,3.65764,40.0275,1
0.324,3.6575,40.8117,1
0.325,3.65736,41.6284,1
0.326,3.65721,42.4795,1
0.327,3.65707,43.3668,1
0.328,3.65692,44.2921,1
0.329,3.65677,45.2577,1
0.33,3.65662,46.2656,1
0.331,3.65646,47.3184,1
0.332,3.6563,48.4186,1
0.333,3.65615,49.5689,1
0.334,3.65598,50.7723,1
0.335,3.65582,52.032,1
0.336,3.65565,53.3514,1
0.337,3.65549,54.7341,1
0.338,3.65531,56.1843,1
0.339,3.65514,57.7061,1
0.34,3.65497,59.3043,1
0.341,3.65479,60.9839,1
0.342,3.65461,62.7503,1
0.343,3.65443,64.6094,1
0.344,3.65424,66.5678,1
0.345,3.65406,68.6325,1
0.346,3.65387,70.8111,1
0.347,3.65368,73.1121,1
0.348,3.65348,75.5444,1
0.349,3.65329,78.1183,1
0.35,3.65309,80.8447,1
0.351,3.65289,83.7357,1
0.352,3.65269,86.8046,1
0.353,3.65248,90.0662,1
0.354,3.65228,93.5367,1
0.355,3.65207,97.2342,1
0.356,3.65185,101.179,1
0.357,3.65164,105.392,1
0.358,3.65142,109.9,1
0.359,3.65121,114.73,1
0.36,3.65099,119.913,1
0.361,3.65076,125.484,1
0.362,3.65054,131.482,1
0.363,3.65031,137.953,1
0.364,3.65008,144.947,1
0.365,3.64985,152.521,1
0.366,3.64961,160.742,1
0.367,3.64938,169.684,1
0.368,3.64914,179.435,1
0.369,3.6489,190.095,1
0.37,3.64865,201.779,1
0.371,3.64841,214.623,1
0.372,3.64816,228.785,1
0.373,3.64791,244.453,1
0.374,3.64766,261.846,1
0.375,3.6474,281.228,1
0.376,3.64714,302.913,1
0.377,3.64688,327.279,1
0.378,3.64662,354.789,1
0.379,3.64636,386.006,1
0.38,3.64609,421.628,1
0.381,3.64582,462.523,1
0.382,3.64555,509.784,1
0.383,3.64528,564.806,1
0.384,3.645,629.385,1
0.385,3.64472,705.868,1
0.386,3.64444,797.372,1
0.387,3.64416,908.102,1
0.388,3.64387,1043.85,1
0.389,3.64359,1212.76,1
0.39,3.6433,1426.58,1
0.391,3.64301,1702.77,1
0.392,3.64271,2068.19,1
0.393,3.64241,2565.84,1
0.394,3.64212,3268.18,1
0.395,3.64181,4305.07,1
0.396,3.64151,5928.39,1
0.397,3.64121,8680.83,1
0.398,3.6409,13916.4,1
0.399,3.64059,25849.8,1
0.4,3.64027,63715.9,1
0.401,3.63996,344855,1
0.402,3.63964,3.23E+06,1
0.403,3.63932,126109,1
0.404,3.639,38816.9,1
0.405,3.63867,18585.6,1
0.406,3.63835,10863.2,1
0.407,3.63802,7117.48,1
0.408,3.63769,5021.85,1
0.409,3.63735,3732.31,1
