a, Fruling, Fbend
3.14159,4.99192,1000000
3.14259,4.99106,125907
3.14359,4.9902,31492.2
3.14459,4.98934,14008.3
3.14559,4.98847,7889.26
3.14659,4.98761,5057.23
3.14759,4.98675,3519.03
3.14859,4.98588,2591.73
3.14959,4.98501,1990.04
3.15059,4.98415,1577.68
3.15159,4.98328,1282.86
3.15259,4.98241,1064.87
3.15359,4.98154,899.209
3.15459,4.98067,770.412
3.15559,4.97979,668.343
3.15659,4.97892,586.122
3.15759,4.97805,518.953
3.15859,4.97717,463.405
3.15959,4.97629,416.975
3.16059,4.97542,377.8
3.16159,4.97454,344.472
3.16259,4.97366,315.91
3.16359,4.97278,291.274
3.16459,4.97189,269.9
3.16559,4.97101,251.264
3.16659,4.97013,234.942
3.16759,4.96924,220.592
3.16859,4.96836,207.933
3.16959,4.96747,196.735
3.17059,4.96658,186.808
3.17159,4.96569,177.991
3.17259,4.9648,170.151
3.17359,4.96391,163.176
3.17459,4.96302,156.971
3.17559,4.96212,151.455
3.17659,4.96123,146.56
3.17759,4.96033,142.227
3.17859,4.95944,138.405
3.17959,4.95854,135.052
3.18059,4.95764,132.132
3.18159,4.95674,129.612
3.18259,4.95584,127.468
3.18359,4.95494,125.676
3.18459,4.95403,124.217
3.18559,4.95313,123.077
3.18659,4.95222,122.243
3.18759,4.95132,121.705
3.18859,4.95041,121.457
3.18959,4.9495,121.493
3.19059,4.94859,121.811
3.19159,4.94768,122.411
3.19259,4.94677,123.296
3.19359,4.94586,124.469
3.19459,4.94494,125.936
3.19559,4.94403,127.709
3.19659,4.94311,129.796
3.19759,4.94219,132.214
3.19859,4.94128,134.979
3.19959,4.94036,138.112
3.20059,4.93944,141.635
3.20159,4.93851,145.579
3.20259,4.93759,149.974
3.20359,4.93667,154.858
3.20459,4.93574,160.275
3.20559,4.93482,166.274
3.20659,4.93389,172.915
3.20759,4.93296,180.262
3.20859,4.93203,188.395
3.20959,4.9311,197.404
3.21059,4.93017,207.393
3.21159,4.92924,218.487
3.21259,4.9283,230.83
3.21359,4.92737,244.593
3.21459,4.92643,259.98
3.21559,4.92549,277.232
3.21659,4.92456,296.64
3.21759,4.92362,318.556
3.21859,4.92268,343.406
3.21959,4.92173,371.714
3.22059,4.92079,404.128
3.22159,4.91985,441.456
3.22259,4.9189,484.718
3.22359,4.91796,535.212
3.22459,4.91701,594.617
3.22559,4.91606,665.127
3.22659,4.91511,749.661
3.22759,4.91416,852.163
3.22859,4.91321,978.072
3.22959,4.91225,1135.05
3.23059,4.9113,1334.19
3.23159,4.91035,1591.99
3.23259,4.90939,1933.91
