a, Fruling
0 , 665.754
0.001 , 665.755
0.002 , 665.756
0.003 , 665.757
0.004 , 665.758
0.005 , 665.759
0.006 , 665.76
0.007 , 665.761
0.008 , 665.762
0.009 , 665.763
0.01 , 665.764
0.011 , 665.765
0.012 , 665.766
0.013 , 665.767
0.014 , 665.768
0.015 , 665.769
0.016 , 665.77
0.017 , 665.771
0.018 , 665.772
0.019 , 665.773
0.02 , 665.774
0.021 , 665.774
0.022 , 665.775
0.023 , 665.776
0.024 , 665.777
0.025 , 665.778
0.026 , 665.779
0.027 , 665.779
0.028 , 665.78
0.029 , 665.781
0.03 , 665.782
0.031 , 665.782
0.032 , 665.783
0.033 , 665.784
0.034 , 665.785
0.035 , 665.785
0.036 , 665.786
0.037 , 665.787
0.038 , 665.787
0.039 , 665.788
0.04 , 665.789
0.041 , 665.789
0.042 , 665.79
0.043 , 665.791
0.044 , 665.791
0.045 , 665.792
0.046 , 665.793
0.047 , 665.793
0.048 , 665.794
0.049 , 665.794
0.05 , 665.795
0.051 , 665.795
0.052 , 665.796
0.053 , 665.797
0.054 , 665.797
0.055 , 665.798
0.056 , 665.798
0.057 , 665.799
0.058 , 665.799
0.059 , 665.799
0.06 , 665.8
0.061 , 665.8
0.062 , 665.801
0.063 , 665.801
0.064 , 665.802
0.065 , 665.802
0.066 , 665.802
0.067 , 665.803
0.068 , 665.803
0.069 , 665.804
0.07 , 665.804
0.071 , 665.804
0.072 , 665.805
0.073 , 665.805
0.074 , 665.805
0.075 , 665.805
0.076 , 665.806
0.077 , 665.806
0.078 , 665.806
0.079 , 665.807
0.08 , 665.807
0.081 , 665.807
0.082 , 665.807
0.083 , 665.807
0.084 , 665.808
0.085 , 665.808
0.086 , 665.808
0.087 , 665.808
0.088 , 665.808
0.089 , 665.808
0.09 , 665.809
0.091 , 665.809
0.092 , 665.809
0.093 , 665.809
0.094 , 665.809
0.095 , 665.809
0.096 , 665.809
0.097 , 665.809
0.098 , 665.809
0.099 , 665.809
0.1 , 665.809
0.101 , 665.809
0.102 , 665.809
0.103 , 665.809
0.104 , 665.809
0.105 , 665.809
0.106 , 665.809
0.107 , 665.809
0.108 , 665.809
0.109 , 665.809
0.11 , 665.809
0.111 , 665.809
0.112 , 665.809
0.113 , 665.809
0.114 , 665.809
0.115 , 665.808
0.116 , 665.808
0.117 , 665.808
0.118 , 665.808
0.119 , 665.808
0.12 , 665.808
0.121 , 665.807
0.122 , 665.807
0.123 , 665.807
0.124 , 665.807
0.125 , 665.806
0.126 , 665.806
0.127 , 665.806
0.128 , 665.806
0.129 , 665.805
0.13 , 665.805
0.131 , 665.805
0.132 , 665.804
0.133 , 665.804
0.134 , 665.804
0.135 , 665.803
0.136 , 665.803
0.137 , 665.803
0.138 , 665.802
0.139 , 665.802
0.14 , 665.802
0.141 , 665.801
0.142 , 665.801
0.143 , 665.8
0.144 , 665.8
0.145 , 665.799
0.146 , 665.799
0.147 , 665.798
0.148 , 665.798
0.149 , 665.797
0.15 , 665.797
0.151 , 665.796
0.152 , 665.796
0.153 , 665.795
0.154 , 665.795
0.155 , 665.794
0.156 , 665.793
0.157 , 665.793
0.158 , 665.792
0.159 , 665.792
0.16 , 665.791
0.161 , 665.79
0.162 , 665.79
0.163 , 665.789
0.164 , 665.788
0.165 , 665.788
0.166 , 665.787
0.167 , 665.786
0.168 , 665.786
0.169 , 665.785
0.17 , 665.784
0.171 , 665.783
0.172 , 665.783
0.173 , 665.782
0.174 , 665.781
0.175 , 665.78
0.176 , 665.779
0.177 , 665.779
0.178 , 665.778
0.179 , 665.777
0.18 , 665.776
0.181 , 665.775
0.182 , 665.774
0.183 , 665.774
0.184 , 665.773
0.185 , 665.772
0.186 , 665.771
0.187 , 665.77
0.188 , 665.769
0.189 , 665.768
0.19 , 665.767
0.191 , 665.766
0.192 , 665.765
0.193 , 665.764
0.194 , 665.763
0.195 , 665.762
0.196 , 665.761
0.197 , 665.76
0.198 , 665.759
0.199 , 665.758
0.2 , 665.757
0.201 , 665.756
0.202 , 665.755
0.203 , 665.754
0.204 , 665.752
0.205 , 665.751
0.206 , 665.75
0.207 , 665.749
0.208 , 665.748
0.209 , 665.747
0.21 , 665.745
0.211 , 665.744
0.212 , 665.743
0.213 , 665.742
0.214 , 665.741
0.215 , 665.739
0.216 , 665.738
0.217 , 665.737
0.218 , 665.736
0.219 , 665.734
0.22 , 665.733
0.221 , 665.732
0.222 , 665.73
0.223 , 665.729
0.224 , 665.728
0.225 , 665.726
0.226 , 665.725
0.227 , 665.724
0.228 , 665.722
0.229 , 665.721
0.23 , 665.719
0.231 , 665.718
0.232 , 665.716
0.233 , 665.715
0.234 , 665.714
0.235 , 665.712
0.236 , 665.711
0.237 , 665.709
0.238 , 665.708
0.239 , 665.706
0.24 , 665.705
0.241 , 665.703
0.242 , 665.701
0.243 , 665.7
0.244 , 665.698
0.245 , 665.697
0.246 , 665.695
0.247 , 665.693
0.248 , 665.692
0.249 , 665.69
0.25 , 665.689
0.251 , 665.687
0.252 , 665.685
0.253 , 665.684
0.254 , 665.682
0.255 , 665.68
0.256 , 665.678
0.257 , 665.677
0.258 , 665.675
0.259 , 665.673
0.26 , 665.671
0.261 , 665.67
0.262 , 665.668
0.263 , 665.666
0.264 , 665.664
0.265 , 665.662
0.266 , 665.661
0.267 , 665.659
0.268 , 665.657
0.269 , 665.655
0.27 , 665.653
0.271 , 665.651
0.272 , 665.649
0.273 , 665.647
0.274 , 665.646
0.275 , 665.644
0.276 , 665.642
0.277 , 665.64
0.278 , 665.638
0.279 , 665.636
0.28 , 665.634
0.281 , 665.632
0.282 , 665.63
0.283 , 665.628
0.284 , 665.626
0.285 , 665.624
0.286 , 665.621
0.287 , 665.619
0.288 , 665.617
0.289 , 665.615
0.29 , 665.613
0.291 , 665.611
0.292 , 665.609
0.293 , 665.607
0.294 , 665.604
0.295 , 665.602
0.296 , 665.6
0.297 , 665.598
0.298 , 665.596
0.299 , 665.593
0.3 , 665.591
0.301 , 665.589
0.302 , 665.587
0.303 , 665.584
0.304 , 665.582
0.305 , 665.58
0.306 , 665.578
0.307 , 665.575
0.308 , 665.573
0.309 , 665.571
0.31 , 665.568
0.311 , 665.566
0.312 , 665.563
0.313 , 665.561
0.314 , 665.559
0.315 , 665.556
0.316 , 665.554
0.317 , 665.551
0.318 , 665.549
0.319 , 665.546
0.32 , 665.544
0.321 , 665.541
0.322 , 665.539
0.323 , 665.536
0.324 , 665.534
0.325 , 665.531
0.326 , 665.529
0.327 , 665.526
0.328 , 665.524
0.329 , 665.521
0.33 , 665.519
0.331 , 665.516
0.332 , 665.513
0.333 , 665.511
0.334 , 665.508
0.335 , 665.505
0.336 , 665.503
0.337 , 665.5
0.338 , 665.497
0.339 , 665.495
0.34 , 665.492
0.341 , 665.489
0.342 , 665.486
0.343 , 665.484
0.344 , 665.481
0.345 , 665.478
0.346 , 665.475
0.347 , 665.472
0.348 , 665.47
0.349 , 665.467
0.35 , 665.464
0.351 , 665.461
0.352 , 665.458
0.353 , 665.455
0.354 , 665.452
0.355 , 665.45
0.356 , 665.447
0.357 , 665.444
0.358 , 665.441
0.359 , 665.438
0.36 , 665.435
0.361 , 665.432
0.362 , 665.429
0.363 , 665.426
0.364 , 665.423
0.365 , 665.42
0.366 , 665.417
0.367 , 665.414
0.368 , 665.411
0.369 , 665.407
0.37 , 665.404
0.371 , 665.401
0.372 , 665.398
0.373 , 665.395
0.374 , 665.392
0.375 , 665.389
0.376 , 665.386
0.377 , 665.382
0.378 , 665.379
0.379 , 665.376
0.38 , 665.373
0.381 , 665.369
0.382 , 665.366
0.383 , 665.363
0.384 , 665.36
0.385 , 665.356
0.386 , 665.353
0.387 , 665.35
0.388 , 665.346
0.389 , 665.343
0.39 , 665.34
0.391 , 665.336
0.392 , 665.333
0.393 , 665.33
0.394 , 665.326
0.395 , 665.323
0.396 , 665.319
0.397 , 665.316
0.398 , 665.312
0.399 , 665.309
0.4 , 665.306
0.401 , 665.302
0.402 , 665.299
0.403 , 665.295
0.404 , 665.291
0.405 , 665.288
0.406 , 665.284
0.407 , 665.281
0.408 , 665.277
0.409 , 665.274
0.41 , 665.27
0.411 , 665.266
0.412 , 665.263
0.413 , 665.259
0.414 , 665.255
0.415 , 665.252
0.416 , 665.248
0.417 , 665.244
0.418 , 665.241
0.419 , 665.237
0.42 , 665.233
0.421 , 665.229
0.422 , 665.226
0.423 , 665.222
0.424 , 665.218
0.425 , 665.214
0.426 , 665.21
0.427 , 665.207
0.428 , 665.203
0.429 , 665.199
0.43 , 665.195
0.431 , 665.191
0.432 , 665.187
0.433 , 665.183
0.434 , 665.179
0.435 , 665.176
0.436 , 665.172
0.437 , 665.168
0.438 , 665.164
0.439 , 665.16
0.44 , 665.156
0.441 , 665.152
0.442 , 665.148
0.443 , 665.144
0.444 , 665.139
0.445 , 665.135
0.446 , 665.131
0.447 , 665.127
0.448 , 665.123
0.449 , 665.119
0.45 , 665.115
0.451 , 665.111
0.452 , 665.107
0.453 , 665.102
0.454 , 665.098
0.455 , 665.094
0.456 , 665.09
0.457 , 665.085
0.458 , 665.081
0.459 , 665.077
0.46 , 665.073
0.461 , 665.068
0.462 , 665.064
0.463 , 665.06
0.464 , 665.055
0.465 , 665.051
0.466 , 665.047
0.467 , 665.042
0.468 , 665.038
0.469 , 665.034
0.47 , 665.029
0.471 , 665.025
0.472 , 665.02
0.473 , 665.016
0.474 , 665.011
0.475 , 665.007
0.476 , 665.002
0.477 , 664.998
0.478 , 664.993
0.479 , 664.989
0.48 , 664.984
0.481 , 664.98
0.482 , 664.975
0.483 , 664.971
0.484 , 664.966
0.485 , 664.961
0.486 , 664.957
