a, Fruling
1.22517 , 656.747
1.22617 , 656.711
1.22717 , 656.675
1.22817 , 656.64
1.22917 , 656.604
1.23017 , 656.568
1.23117 , 656.533
1.23217 , 656.497
1.23317 , 656.461
1.23417 , 656.425
1.23517 , 656.389
1.23617 , 656.353
1.23717 , 656.317
1.23817 , 656.281
1.23917 , 656.246
1.24017 , 656.21
1.24117 , 656.174
1.24217 , 656.138
1.24317 , 656.101
1.24417 , 656.065
1.24517 , 656.029
1.24617 , 655.993
1.24717 , 655.957
1.24817 , 655.921
1.24917 , 655.885
1.25017 , 655.849
1.25117 , 655.812
1.25217 , 655.776
1.25317 , 655.74
1.25417 , 655.704
1.25517 , 655.667
1.25617 , 655.631
1.25717 , 655.595
1.25817 , 655.559
1.25917 , 655.522
1.26017 , 655.486
1.26117 , 655.449
1.26217 , 655.413
1.26317 , 655.377
1.26417 , 655.34
1.26517 , 655.304
1.26617 , 655.268
1.26717 , 655.231
1.26817 , 655.195
1.26917 , 655.158
1.27017 , 655.122
1.27117 , 655.085
1.27217 , 655.049
1.27317 , 655.013
1.27417 , 654.938
1.27517 , 654.84
1.27617 , 654.742
1.27717 , 654.644
1.27817 , 654.545
1.27917 , 654.447
1.28017 , 654.348
1.28117 , 654.25
1.28217 , 654.151
1.28317 , 654.053
1.28417 , 653.954
1.28517 , 653.856
1.28617 , 653.757
1.28717 , 653.658
1.28817 , 653.56
1.28917 , 653.461
1.29017 , 653.362
1.29117 , 653.264
1.29217 , 653.165
1.29317 , 653.066
1.29417 , 652.967
1.29517 , 652.868
1.29617 , 652.769
1.29717 , 652.67
1.29817 , 652.571
1.29917 , 652.473
1.30017 , 652.374
1.30117 , 652.275
1.30217 , 652.176
1.30317 , 652.077
1.30417 , 651.978
1.30517 , 651.879
1.30617 , 651.779
1.30717 , 651.68
1.30817 , 651.581
1.30917 , 651.482
1.31017 , 651.383
1.31117 , 651.284
1.31217 , 651.185
1.31317 , 651.086
1.31417 , 650.987
1.31517 , 650.888
1.31617 , 650.789
1.31717 , 650.69
1.31817 , 650.591
1.31917 , 650.491
1.32017 , 650.392
1.32117 , 650.293
1.32217 , 650.194
1.32317 , 650.095
1.32417 , 649.996
1.32517 , 649.897
1.32617 , 649.798
1.32717 , 649.699
1.32817 , 649.6
1.32917 , 649.501
1.33017 , 649.402
1.33117 , 649.303
1.33217 , 649.205
1.33317 , 649.106
1.33417 , 649.007
1.33517 , 648.908
1.33617 , 648.809
1.33717 , 648.711
1.33817 , 648.612
1.33917 , 648.513
1.34017 , 648.415
1.34117 , 648.316
1.34217 , 648.218
1.34317 , 648.119
1.34417 , 648.021
1.34517 , 647.922
1.34617 , 647.824
1.34717 , 647.725
1.34817 , 647.627
1.34917 , 647.529
1.35017 , 647.431
1.35117 , 647.333
1.35217 , 647.235
1.35317 , 647.137
