a, Fruling
0,384.968
0.001,384.971
0.002,384.973
0.003,384.976
0.004,384.978
0.005,384.981
0.006,384.983
0.007,384.985
0.008,384.988
0.009,384.99
0.01,384.993
0.011,384.995
0.012,384.998
0.013,385
0.014,385.002
0.015,385.005
0.016,385.007
0.017,385.01
0.018,385.012
0.019,385.014
0.02,385.017
0.021,385.019
0.022,385.022
0.023,385.024
0.024,385.026
0.025,385.029
0.026,385.031
0.027,385.033
0.028,385.036
0.029,385.038
0.03,385.041
0.031,385.043
0.032,385.045
0.033,385.048
0.034,385.05
0.035,385.052
0.036,385.055
0.037,385.057
0.038,385.059
0.039,385.062
0.04,385.064
0.041,385.066
0.042,385.069
0.043,385.071
0.044,385.073
0.045,385.076
0.046,385.078
0.047,385.08
0.048,385.083
0.049,385.085
0.05,385.087
0.051,385.09
0.052,385.092
0.053,385.094
0.054,385.096
0.055,385.099
0.056,385.101
0.057,385.103
0.058,385.106
0.059,385.108
0.06,385.11
0.061,385.112
0.062,385.115
0.063,385.117
0.064,385.119
0.065,385.121
0.066,385.124
0.067,385.126
0.068,385.128
0.069,385.131
0.07,385.133
0.071,385.135
0.072,385.137
0.073,385.139
0.074,385.142
0.075,385.144
0.076,385.146
0.077,385.148
0.078,385.151
0.079,385.153
0.08,385.155
0.081,385.157
0.082,385.16
0.083,385.162
0.084,385.164
0.085,385.166
0.086,385.168
0.087,385.171
0.088,385.173
0.089,385.175
0.09,385.177
0.091,385.179
0.092,385.182
0.093,385.184
0.094,385.186
0.095,385.188
0.096,385.19
0.097,385.193
0.098,385.195
0.099,385.197
0.1,385.199
0.101,385.201
0.102,385.203
0.103,385.206
0.104,385.208
0.105,385.21
0.106,385.212
0.107,385.214
0.108,385.216
0.109,385.219
0.11,385.221
0.111,385.223
0.112,385.225
0.113,385.227
0.114,385.229
0.115,385.231
0.116,385.234
0.117,385.236
0.118,385.238
0.119,385.24
0.12,385.242
0.121,385.244
0.122,385.246
0.123,385.248
0.124,385.251
0.125,385.253
0.126,385.255
0.127,385.257
0.128,385.259
0.129,385.261
0.13,385.263
0.131,385.265
0.132,385.267
0.133,385.27
0.134,385.272
0.135,385.274
