a, Fruling
4.46559,379.753
4.46659,379.741
4.46759,379.729
4.46859,379.717
4.46959,379.705
4.47059,379.692
4.47159,379.68
4.47259,379.668
4.47359,379.656
4.47459,379.643
4.47559,379.631
4.47659,379.618
4.47759,379.606
4.47859,379.593
4.47959,379.581
4.48059,379.568
4.48159,379.555
4.48259,379.543
4.48359,379.53
4.48459,379.517
4.48559,379.504
4.48659,379.491
4.48759,379.478
4.48859,379.465
4.48959,379.452
4.49059,379.439
4.49159,379.426
4.49259,379.413
4.49359,379.4
4.49459,379.386
4.49559,379.373
4.49659,379.36
4.49759,379.346
4.49859,379.333
4.49959,379.319
4.50059,379.306
4.50159,379.292
4.50259,379.278
4.50359,379.265
4.50459,379.251
4.50559,379.237
4.50659,379.223
4.50759,379.209
4.50859,379.195
4.50959,379.181
4.51059,379.167
4.51159,379.153
4.51259,379.139
4.51359,379.125
4.51459,379.111
4.51559,379.096
4.51659,379.082
4.51759,379.068
4.51859,379.053
4.51959,379.039
4.52059,379.024
4.52159,379.009
4.52259,378.995
4.52359,378.98
4.52459,378.965
4.52559,378.95
4.52659,378.935
4.52759,378.92
4.52859,378.905
4.52959,378.89
4.53059,378.875
4.53159,378.86
4.53259,378.845
4.53359,378.829
4.53459,378.814
4.53559,378.798
4.53659,378.783
4.53759,378.767
4.53859,378.752
4.53959,378.736
4.54059,378.72
4.54159,378.705
4.54259,378.689
4.54359,378.673
4.54459,378.657
4.54559,378.641
4.54659,378.625
4.54759,378.609
4.54859,378.592
4.54959,378.576
4.55059,378.56
4.55159,378.543
4.55259,378.527
4.55359,378.51
4.55459,378.494
4.55559,378.477
4.55659,378.46
4.55759,378.443
4.55859,378.427
4.55959,378.41
4.56059,378.393
4.56159,378.376
4.56259,378.358
4.56359,378.341
4.56459,378.324
4.56559,378.306
4.56659,378.289
4.56759,378.272
4.56859,378.254
4.56959,378.236
4.57059,378.219
4.57159,378.201
4.57259,378.183
4.57359,378.165
4.57459,378.147
4.57559,378.129
4.57659,378.111
4.57759,378.092
4.57859,378.074
4.57959,378.056
4.58059,378.037
4.58159,378.019
4.58259,378
4.58359,377.981
4.58459,377.963
4.58559,377.944
4.58659,377.925
4.58759,377.906
4.58859,377.887
4.58959,377.868
4.59059,377.848
4.59159,377.829
4.59259,377.809
4.59359,377.79
4.59459,377.77
4.59559,377.751
4.59659,377.731
4.59759,377.711
4.59859,377.691
4.59959,377.671
4.60059,377.651
4.60159,377.631
4.60259,377.61
4.60359,377.59
4.60459,377.57
4.60559,377.549
4.60659,377.528
4.60759,377.508
4.60859,377.487
4.60959,377.466
4.61059,377.445
4.61159,377.424
4.61259,377.402
4.61359,377.381
4.61459,377.36
4.61559,377.338
4.61659,377.317
4.61759,377.295
4.61859,377.273
4.61959,377.251
4.62059,377.229
4.62159,377.207
4.62259,377.185
4.62359,377.163
4.62459,377.14
4.62559,377.118
4.62659,377.095
4.62759,377.072
4.62859,377.049
4.62959,377.027
4.63059,377.003
4.63159,376.98
4.63259,376.957
