a, Fruling
1.35541,12.3654
1.35641,12.336
1.35741,12.3065
1.35841,12.277
1.35941,12.2476
1.36041,12.2181
1.36141,12.1886
1.36241,12.1592
1.36341,12.1297
1.36441,12.1002
1.36541,12.0708
1.36641,12.0413
1.36741,12.0119
1.36841,11.9824
1.36941,11.953
1.37041,11.9235
1.37141,11.894
1.37241,11.8646
1.37341,11.8351
1.37441,11.8057
1.37541,11.7762
1.37641,11.7468
1.37741,11.7173
1.37841,11.6879
1.37941,11.6585
1.38041,11.629
1.38141,11.5996
1.38241,11.5701
1.38341,11.5407
1.38441,11.5112
1.38541,11.4818
1.38641,11.4524
1.38741,11.4229
1.38841,11.3935
1.38941,11.3641
1.39041,11.3346
1.39141,11.3052
1.39241,11.2758
1.39341,11.2464
1.39441,11.2169
1.39541,11.1875
1.39641,11.1581
1.39741,11.1287
1.39841,11.0993
1.39941,11.0698
1.40041,11.0404
1.40141,11.011
1.40241,10.9816
1.40341,10.9522
1.40441,10.9228
1.40541,10.8934
1.40641,10.864
1.40741,10.8346
1.40841,10.8052
1.40941,10.7758
1.41041,10.7464
1.41141,10.717
1.41241,10.6876
1.41341,10.6582
1.41441,10.6288
1.41541,10.5994
1.41641,10.5701
1.41741,10.5407
1.41841,10.5113
1.41941,10.4819
1.42041,10.4525
1.42141,10.4232
1.42241,10.3938
1.42341,10.3644
1.42441,10.3351
1.42541,10.3057
1.42641,10.2763
1.42741,10.247
1.42841,10.2176
1.42941,10.1883
1.43041,10.1589
1.43141,10.1296
1.43241,10.1002
1.43341,10.0709
1.43441,10.0415
1.43541,10.0122
1.43641,9.98286
1.43741,9.95352
1.43841,9.92419
1.43941,9.89486
1.44041,9.86553
1.44141,9.8362
1.44241,9.80688
1.44341,9.77756
1.44441,9.74824
1.44541,9.71893
1.44641,9.68962
1.44741,9.66031
1.44841,9.631
1.44941,9.6017
1.45041,9.57239
1.45141,9.5431
1.45241,9.5138
1.45341,9.48451
1.45441,9.45522
1.45541,9.42593
1.45641,9.39664
1.45741,9.36736
1.45841,9.33808
1.45941,9.30881
1.46041,9.27954
1.46141,9.25027
1.46241,9.221
1.46341,9.19174
1.46441,9.16247
1.46541,9.13322
1.46641,9.10396
1.46741,9.07471
1.46841,9.04546
1.46941,9.01622
1.47041,8.98697
1.47141,8.95773
1.47241,8.9285
1.47341,8.89927
1.47441,8.87004
1.47541,8.84081
1.47641,8.81159
1.47741,8.78237
1.47841,8.75315
1.47941,8.72394
1.48041,8.69473
1.48141,8.66552
1.48241,8.63632
1.48341,8.60712
1.48441,8.57792
1.48541,8.54873
1.48641,8.51954
1.48741,8.49035
1.48841,8.46117
1.48941,8.43199
1.49041,8.40281
1.49141,8.37364
1.49241,8.34447
1.49341,8.31531
1.49441,8.28614
1.49541,8.25699
1.49641,8.22783
1.49741,8.19868
1.49841,8.16953
1.49941,8.14039
1.50041,8.11125
1.50141,8.08211
1.50241,8.05298
1.50341,8.02385
1.50441,7.99473
1.50541,7.96561
1.50641,7.93649
1.50741,7.90738
1.50841,7.87827
1.50941,7.84916
1.51041,7.82006
1.51141,7.79096
1.51241,7.76187
1.51341,7.73278
1.51441,7.70369
1.51541,7.67461
1.51641,7.64553
1.51741,7.61645
1.51841,7.58738
1.51941,7.55832
1.52041,7.52926
1.52141,5.50297
1.52241,5.4777
1.52341,5.45243
1.52441,5.42718
1.52541,5.40193
1.52641,5.3767
1.52741,5.35147
1.52841,5.32625
1.52941,5.30104
1.53041,5.27584
1.53141,5.25065
1.53241,5.22546
1.53341,5.20029
1.53441,5.17512
1.53541,5.14997
1.53641,5.12482
1.53741,5.09968
1.53841,5.07455
1.53941,5.04943
1.54041,5.02432
1.54141,4.99922
1.54241,4.97413
1.54341,4.94905
1.54441,4.92397
1.54541,4.89891
1.54641,4.87385
1.54741,4.8488
1.54841,4.82377
1.54941,4.79874
1.55041,4.77372
1.55141,4.74871
1.55241,4.72371
1.55341,4.69872
1.55441,4.67374
1.55541,4.64877
1.55641,4.62381
1.55741,4.59886
1.55841,4.57391
1.55941,4.54898
1.56041,4.52406
1.56141,4.49914
1.56241,4.47424
1.56341,4.44934
1.56441,4.42446
1.56541,4.39958
1.56641,4.37471
1.56741,4.34986
1.56841,4.32501
1.56941,4.30017
1.57041,4.27534
1.57141,4.25053
1.57241,4.22572
1.57341,4.20092
1.57441,4.17613
1.57541,4.15135
1.57641,4.12659
1.57741,4.10183
1.57841,4.07708
1.57941,4.05234
1.58041,4.02761
1.58141,4.00289
1.58241,3.97818
1.58341,3.95348
1.58441,3.92879
1.58541,3.90411
1.58641,3.87944
1.58741,3.85479
1.58841,3.83014
1.58941,3.8055
1.59041,3.78087
1.59141,3.75625
1.59241,3.73164
1.59341,3.70704
1.59441,3.68246
1.59541,3.65788
1.59641,3.63331
1.59741,3.60875
1.59841,3.58421
1.59941,3.55967
1.60041,3.53514
1.60141,3.51063
1.60241,3.48612
1.60341,3.46162
1.60441,3.43714
1.60541,3.41266
1.60641,3.3882
1.60741,3.36375
1.60841,3.3393
1.60941,3.31487
1.61041,3.29045
1.61141,3.26604
1.61241,3.24163
1.61341,3.21724
1.61441,3.19286
1.61541,3.16849
1.61641,3.14413
1.61741,3.11979
1.61841,3.09545
1.61941,3.07112
1.62041,3.0468
1.62141,3.0225
1.62241,2.9982
1.62341,2.97392
1.62441,2.94964
1.62541,2.92538
1.62641,2.90113
1.62741,2.87689
1.62841,2.85266
1.62941,2.82844
1.63041,2.80423
1.63141,2.78003
1.63241,2.75584
1.63341,2.73167
1.63441,2.7075
1.63541,2.68335
1.63641,2.6592
1.63741,2.63507
1.63841,2.61095
1.63941,2.58684
1.64041,2.56274
1.64141,2.53865
1.64241,2.51458
1.64341,2.49051
1.64441,2.46645
1.64541,2.44241
1.64641,2.41838
1.64741,2.39436
1.64841,2.37034
1.64941,2.34635
1.65041,2.32236
1.65141,2.29838
1.65241,2.27441
1.65341,2.25046
1.65441,2.22652
1.65541,2.20258
1.65641,2.17866
1.65741,2.15475
1.65841,2.13086
1.65941,2.10697
1.66041,2.08309
1.66141,2.05923
1.66241,2.03538
1.66341,2.01154
1.66441,0
1.66541,0
1.66641,0
1.66741,0
1.66841,0
1.66941,0
1.67041,0
1.67141,0
1.67241,0
1.67341,0
1.67441,0
1.67541,0
1.67641,0
1.67741,0
1.67841,0
1.67941,0
1.68041,0
1.68141,0
1.68241,0
1.68341,0
1.68441,0
1.68541,0
1.68641,2.0195
1.68741,2.05909
1.68841,2.09872
1.68941,2.13839
1.69041,2.17809
1.69141,2.21784
1.69241,2.25762
1.69341,2.29744
1.69441,2.3373
1.69541,2.3772
1.69641,2.41714
1.69741,2.45712
1.69841,2.49714
1.69941,2.53719
1.70041,2.57729
1.70141,2.61743
1.70241,2.6576
1.70341,2.69782
1.70441,2.73808
1.70541,2.77837
1.70641,2.81871
1.70741,2.85909
1.70841,2.8995
1.70941,2.93996
1.71041,2.98046
1.71141,3.021
1.71241,3.06158
1.71341,3.10221
1.71441,3.14287
1.71541,3.18358
1.71641,3.22433
1.71741,3.26512
1.71841,3.30595
1.71941,3.34682
1.72041,3.38774
1.72141,3.4287
1.72241,3.4697
1.72341,3.51074
1.72441,3.55183
1.72541,3.59295
1.72641,3.63413
1.72741,3.67534
1.72841,3.7166
1.72941,3.7579
1.73041,3.79925
1.73141,3.84064
1.73241,3.88207
1.73341,3.92355
1.73441,3.96507
1.73541,4.00664
1.73641,4.04825
1.73741,4.0899
1.73841,4.1316
1.73941,4.17335
1.74041,4.21514
1.74141,4.25697
1.74241,4.29885
1.74341,4.34078
1.74441,4.38275
1.74541,4.42477
1.74641,4.46683
1.74741,4.50894
1.74841,4.5511
1.74941,4.5933
1.75041,4.63555
1.75141,4.67785
1.75241,4.72019
1.75341,4.76258
1.75441,4.80502
1.75541,4.8475
1.75641,4.89003
1.75741,4.93261
1.75841,4.97524
1.75941,5.01791
1.76041,5.06064
1.76141,5.10341
1.76241,5.14623
1.76341,5.1891
1.76441,5.23202
1.76541,5.27498
1.76641,5.318
1.76741,5.36107
1.76841,5.40418
1.76941,5.44735
1.77041,5.49056
1.77141,5.53382
1.77241,5.57714
1.77341,5.6205
1.77441,5.66392
1.77541,5.70739
1.77641,5.7509
1.77741,5.79447
1.77841,5.83809
1.77941,5.88176
1.78041,5.92548
1.78141,5.96926
1.78241,6.01308
1.78341,6.05696
1.78441,6.10089
1.78541,6.14487
1.78641,6.18891
1.78741,6.233
1.78841,6.27714
1.78941,6.32133
1.79041,6.36558
1.79141,6.40988
1.79241,6.45424
1.79341,6.49865
1.79441,6.54311
1.79541,6.58763
1.79641,6.6322
1.79741,6.67682
1.79841,6.72151
1.79941,6.76624
1.80041,6.81103
1.80141,6.85588
1.80241,6.90078
1.80341,6.94574
1.80441,6.99076
1.80541,7.03583
1.80641,7.08095
1.80741,7.12614
1.80841,7.17138
1.80941,7.21668
1.81041,7.26203
1.81141,7.30744
1.81241,7.35291
1.81341,7.39844
1.81441,7.44403
1.81541,7.48967
1.81641,7.53537
1.81741,7.58114
1.81841,7.62696
1.81941,7.67283
1.82041,7.71877
1.82141,7.76477
1.82241,7.81083
1.82341,7.85695
1.82441,7.90312
1.82541,7.94936
1.82641,7.99566
1.82741,8.04202
1.82841,8.08844
1.82941,8.13492
1.83041,8.18146
1.83141,8.22807
1.83241,8.27473
1.83341,8.32146
1.83441,8.36825
1.83541,8.41511
1.83641,8.46202
1.83741,8.509
1.83841,8.55604
1.83941,8.60315
1.84041,8.65032
1.84141,8.69755
1.84241,8.74485
1.84341,8.79221
1.84441,8.83964
1.84541,8.88713
1.84641,8.93468
1.84741,8.98231
1.84841,9.02999
1.84941,9.07775
1.85041,9.12556
1.85141,9.17345
1.85241,9.2214
1.85341,9.26942
1.85441,9.3175
1.85541,9.36566
1.85641,9.41388
1.85741,9.46217
1.85841,9.51052
1.85941,9.55894
1.86041,9.60744
1.86141,9.656
1.86241,9.70463
1.86341,9.75333
1.86441,9.8021
1.86541,9.85094
1.86641,9.89984
1.86741,9.94882
1.86841,9.99787
1.86941,10.047
1.87041,10.0962
1.87141,10.1454
1.87241,10.1948
1.87341,10.2442
1.87441,10.2937
1.87541,10.3432
1.87641,10.3928
1.87741,10.4425
1.87841,10.4923
1.87941,10.5421
1.88041,10.5921
1.88141,10.6421
1.88241,10.6921
1.88341,10.7423
1.88441,10.7925
1.88541,10.8428
1.88641,10.8931
1.88741,10.9436
1.88841,10.9941
1.88941,11.0447
1.89041,11.0953
1.89141,11.1461
1.89241,11.1969
1.89341,11.2478
1.89441,11.2988
1.89541,11.3498
1.89641,11.401
1.89741,11.4522
1.89841,11.5035
1.89941,11.5548
1.90041,11.6063
1.90141,11.6578
1.90241,11.7094
1.90341,11.7611
1.90441,11.8129
1.90541,11.8648
1.90641,11.9167
1.90741,11.9687
1.90841,12.0208
1.90941,12.073
1.91041,12.1252
1.91141,12.1776
1.91241,12.23
1.91341,12.2825
1.91441,12.3351
1.91541,12.3878
1.91641,12.4406
1.91741,12.4934
1.91841,12.5463
1.91941,12.5994
1.92041,12.6525
1.92141,12.7057
1.92241,12.7589
1.92341,12.8123
1.92441,12.8657
1.92541,12.9193
1.92641,12.9729
1.92741,13.0266
1.92841,13.0804
1.92941,13.1343
1.93041,13.1883
1.93141,13.2424
1.93241,13.2965
1.93341,13.3508
1.93441,13.4051
1.93541,13.4595
1.93641,13.5141
1.93741,13.5687
1.93841,13.6234
1.93941,13.6782
1.94041,13.7331
1.94141,13.7881
1.94241,13.8431
1.94341,13.8983
1.94441,13.9536
1.94541,14.0089
1.94641,14.0644
1.94741,14.1199
1.94841,14.1756
1.94941,14.2313
1.95041,14.2872
1.95141,14.3431
1.95241,14.3991
1.95341,14.4553
1.95441,14.5115
1.95541,14.5678
1.95641,14.6242
1.95741,14.6808
1.95841,14.7374
1.95941,14.7941
1.96041,14.8509
1.96141,14.9078
1.96241,14.9649
1.96341,15.022
1.96441,15.0792
1.96541,15.1366
1.96641,15.194
1.96741,15.2515
1.96841,15.3092
1.96941,15.3669
1.97041,15.4247
1.97141,15.4827
1.97241,15.5408
1.97341,15.5989
1.97441,15.6572
1.97541,15.7156
1.97641,15.774
1.97741,15.8326
1.97841,15.8913
1.97941,15.9501
1.98041,16.009
1.98141,16.0681
1.98241,16.1272
1.98341,16.1864
1.98441,16.2458
1.98541,16.3052
1.98641,16.3648
1.98741,16.4245
1.98841,16.4843
1.98941,16.5442
1.99041,16.6042
1.99141,16.6644
1.99241,16.7246
1.99341,16.785
1.99441,16.8455
1.99541,16.9061
1.99641,16.9668
1.99741,17.0276
1.99841,17.0885
1.99941,17.1496
2.00041,17.2108
2.00141,17.2721
2.00241,17.3335
2.00341,17.395
2.00441,17.4567
2.00541,17.5184
2.00641,17.5803
2.00741,17.6424
2.00841,17.7045
2.00941,17.7668
2.01041,17.8291
2.01141,17.8916
2.01241,17.9543
2.01341,18.017
2.01441,18.0799
2.01541,18.1429
2.01641,18.206
2.01741,18.2693
2.01841,18.3327
2.01941,18.3962
2.02041,18.4598
2.02141,18.5236
2.02241,18.5875
2.02341,18.6515
2.02441,18.7156
2.02541,18.7799
2.02641,18.8443
2.02741,18.9089
2.02841,18.9736
2.02941,19.0384
2.03041,19.1033
2.03141,19.1684
2.03241,19.2336
2.03341,19.2989
2.03441,19.3644
2.03541,19.43
2.03641,19.4958
2.03741,19.5617
2.03841,19.6277
2.03941,19.6939
2.04041,19.7602
2.04141,19.8266
2.04241,19.8932
2.04341,19.9599
2.04441,20.0268
2.04541,20.0938
2.04641,20.161
2.04741,20.2283
2.04841,20.2957
2.04941,20.3633
2.05041,20.431
2.05141,20.4989
2.05241,20.5669
2.05341,20.6351
2.05441,20.7034
2.05541,20.7719
2.05641,20.8405
2.05741,20.9092
2.05841,20.9781
2.05941,21.0472
2.06041,21.1164
2.06141,21.1858
2.06241,21.2553
2.06341,21.3249
2.06441,21.3948
2.06541,21.4647
2.06641,21.5349
2.06741,21.6052
2.06841,21.6756
2.06941,21.7462
2.07041,21.817
2.07141,21.8879
2.07241,21.959
2.07341,22.0302
2.07441,22.1016
2.07541,22.1732
2.07641,22.2449
2.07741,22.3168
2.07841,22.3888
2.07941,22.461
2.08041,22.5334
2.08141,22.6059
2.08241,22.6786
2.08341,22.7515
2.08441,22.8245
2.08541,22.8978
2.08641,22.9711
2.08741,23.0447
2.08841,23.1184
2.08941,23.1923
2.09041,23.2664
2.09141,23.3406
2.09241,23.415
2.09341,23.472
2.09441,23.5244
2.09541,23.5771
2.09641,23.63
2.09741,23.6832
2.09841,23.7365
2.09941,23.7902
2.10041,23.844
2.10141,23.8982
2.10241,23.9525
2.10341,24.0071
2.10441,24.0619
2.10541,24.117
2.10641,24.1723
2.10741,24.2279
2.10841,24.2837
2.10941,24.3397
2.11041,24.396
2.11141,24.4525
2.11241,24.5093
2.11341,24.5663
2.11441,24.6235
2.11541,24.681
2.11641,24.7388
2.11741,24.7968
2.11841,24.855
2.11941,24.9135
2.12041,24.9723
2.12141,25.0312
2.12241,25.0905
2.12341,25.15
2.12441,25.2097
2.12541,25.2697
2.12641,25.3299
2.12741,25.3904
2.12841,25.4512
2.12941,25.5122
2.13041,25.5734
2.13141,25.6349
2.13241,25.6967
2.13341,25.7587
2.13441,25.821
2.13541,25.8835
2.13641,25.9463
2.13741,26.0093
2.13841,26.0727
2.13941,26.1362
2.14041,26.2001
2.14141,26.2641
2.14241,26.3285
2.14341,26.3931
2.14441,26.458
2.14541,26.5231
2.14641,26.5886
2.14741,26.6542
2.14841,26.7202
2.14941,26.7864
2.15041,26.8529
2.15141,26.9196
2.15241,26.9867
2.15341,27.0539
2.15441,27.1215
2.15541,27.1894
2.15641,27.2575
2.15741,27.3259
2.15841,27.3945
2.15941,27.4635
2.16041,27.5327
2.16141,27.6022
2.16241,27.6719
2.16341,27.742
2.16441,27.8123
2.16541,29.8901
2.16641,29.9738
2.16741,30.0578
2.16841,30.142
2.16941,30.2265
2.17041,30.3113
2.17141,30.3964
2.17241,30.4817
2.17341,30.5674
2.17441,30.6533
2.17541,30.7396
2.17641,30.8261
2.17741,30.9129
2.17841,31
2.17941,31.0874
2.18041,31.175
2.18141,31.263
2.18241,31.3513
2.18341,31.4398
2.18441,31.5287
2.18541,31.6178
2.18641,31.7073
2.18741,31.797
2.18841,31.8871
2.18941,31.9775
2.19041,32.0681
2.19141,32.1591
2.19241,32.2503
2.19341,32.3419
2.19441,32.4338
2.19541,32.526
2.19641,32.6185
2.19741,32.7113
2.19841,32.8045
2.19941,32.8979
2.20041,32.9917
2.20141,33.0436
2.20241,33.0623
2.20341,33.0809
2.20441,33.0995
2.20541,33.1181
2.20641,33.1367
2.20741,33.1552
2.20841,33.1738
2.20941,33.1923
2.21041,33.2109
2.21141,33.2294
2.21241,33.2479
2.21341,33.2664
2.21441,33.2849
2.21541,33.3034
2.21641,33.3219
2.21741,33.3403
2.21841,33.3588
2.21941,33.3772
2.22041,33.3956
2.22141,33.414
2.22241,33.4324
2.22341,33.4508
2.22441,33.4692
2.22541,33.4876
2.22641,33.5059
2.22741,33.5242
2.22841,33.5426
2.22941,33.5609
2.23041,33.5792
2.23141,33.5975
2.23241,33.6158
2.23341,33.634
2.23441,33.6523
2.23541,33.6705
2.23641,33.6888
2.23741,33.707
2.23841,33.7252
2.23941,33.7434
2.24041,33.7616
2.24141,33.7797
2.24241,33.7979
2.24341,33.816
2.24441,33.8342
2.24541,33.8523
2.24641,33.8704
2.24741,33.8885
2.24841,33.9066
2.24941,33.9246
2.25041,33.9427
2.25141,33.9607
2.25241,33.9788
2.25341,33.9968
2.25441,34.0148
2.25541,34.0328
2.25641,34.0508
2.25741,34.0687
2.25841,34.0867
2.25941,34.1046
2.26041,34.1226
2.26141,34.1405
2.26241,34.1584
2.26341,34.1763
2.26441,34.1942
2.26541,34.212
2.26641,34.2299
2.26741,34.2477
2.26841,34.2656
2.26941,34.2834
2.27041,34.3012
2.27141,34.319
2.27241,34.3368
2.27341,34.3545
2.27441,34.3723
2.27541,34.39
2.27641,34.4077
2.27741,34.4255
2.27841,34.4432
2.27941,34.4608
2.28041,34.4785
2.28141,34.4962
2.28241,34.5138
2.28341,34.5315
2.28441,34.5491
2.28541,34.5667
2.28641,34.5843
2.28741,34.6019
2.28841,34.6195
2.28941,34.637
2.29041,34.6546
2.29141,34.6721
2.29241,34.6896
2.29341,34.7071
2.29441,34.7246
2.29541,34.7421
2.29641,34.7596
2.29741,34.777
2.29841,34.7944
2.29941,34.8119
2.30041,34.8293
2.30141,34.8467
2.30241,34.8641
2.30341,34.8815
2.30441,34.8988
2.30541,34.9162
2.30641,34.9335
2.30741,34.9508
2.30841,34.9681
2.30941,34.9854
2.31041,35.0027
2.31141,35.02
2.31241,35.0372
2.31341,35.0545
2.31441,35.0717
2.31541,35.0889
2.31641,35.1061
2.31741,35.1233
2.31841,35.1405
2.31941,35.1576
2.32041,35.1748
2.32141,35.1919
2.32241,35.2091
2.32341,35.2262
2.32441,35.2433
2.32541,35.2603
2.32641,35.2774
2.32741,35.2945
2.32841,35.3115
2.32941,35.3285
2.33041,35.3456
2.33141,35.3626
2.33241,35.3795
2.33341,35.3965
2.33441,35.4135
2.33541,35.4304
2.33641,35.4474
2.33741,35.4643
2.33841,35.4812
2.33941,35.4981
2.34041,35.515
2.34141,35.5319
2.34241,35.5487
2.34341,35.5655
2.34441,35.5824
2.34541,35.5992
2.34641,35.616
2.34741,35.6328
2.34841,35.6496
2.34941,35.6663
2.35041,35.6831
2.35141,35.6998
2.35241,35.7165
2.35341,35.7332
2.35441,35.7499
2.35541,35.7666
2.35641,35.7833
2.35741,35.7999
2.35841,35.8166
2.35941,35.8332
2.36041,35.8498
2.36141,35.8664
2.36241,35.883
2.36341,35.8996
2.36441,35.9161
2.36541,35.9327
2.36641,35.9492
2.36741,35.9657
2.36841,35.9822
2.36941,35.9987
2.37041,36.0152
2.37141,36.0316
2.37241,36.0481
2.37341,36.0645
2.37441,36.081
2.37541,36.0974
2.37641,36.1138
2.37741,36.1301
2.37841,36.1465
2.37941,36.1629
2.38041,36.1792
2.38141,36.1955
2.38241,36.2119
2.38341,36.2282
2.38441,36.2444
2.38541,36.2607
2.38641,36.277
2.38741,36.2932
2.38841,36.3095
2.38941,36.3257
2.39041,36.3419
2.39141,36.3581
2.39241,36.3742
2.39341,36.3904
2.39441,36.4066
2.39541,36.4227
2.39641,36.4388
2.39741,36.4549
2.39841,36.471
2.39941,36.4871
2.40041,36.5032
2.40141,36.5192
2.40241,36.5353
2.40341,36.5513
