a, Fruling'
0 , 18.3997
0.001 , 18.4007
0.002 , 18.4017
0.003 , 18.4027
0.004 , 18.4037
0.005 , 18.4047
0.006 , 18.4057
0.007 , 18.4068
0.008 , 18.4078
0.009 , 18.4087
0.01 , 18.4097
0.011 , 18.4107
0.012 , 18.4117
0.013 , 18.4127
0.014 , 18.4137
0.015 , 18.4147
0.016 , 18.4156
0.017 , 18.4166
0.018 , 18.4176
0.019 , 18.4185
0.02 , 18.4195
0.021 , 18.4205
0.022 , 18.4214
0.023 , 18.4224
0.024 , 18.4233
0.025 , 18.4243
0.026 , 18.4252
0.027 , 18.4262
0.028 , 18.4271
0.029 , 18.4281
0.03 , 18.429
0.031 , 18.4299
0.032 , 18.4309
0.033 , 18.4318
0.034 , 18.4327
0.035 , 18.4336
0.036 , 18.4346
0.037 , 18.4355
0.038 , 18.4364
0.039 , 18.4373
0.04 , 18.4382
0.041 , 18.4391
0.042 , 18.44
0.043 , 18.4409
0.044 , 18.4418
0.045 , 18.4427
0.046 , 18.4436
0.047 , 18.4445
0.048 , 18.4454
0.049 , 18.4462
0.05 , 18.4471
0.051 , 18.448
0.052 , 18.4489
0.053 , 18.4497
0.054 , 18.4506
0.055 , 18.4515
0.056 , 18.4523
0.057 , 18.4532
0.058 , 18.4541
0.059 , 18.4549
0.06 , 18.4558
0.061 , 18.4566
0.062 , 18.4575
0.063 , 18.4583
0.064 , 18.4592
0.065 , 18.46
0.066 , 18.4608
0.067 , 18.4617
0.068 , 18.4625
0.069 , 18.4633
0.07 , 18.4641
0.071 , 18.465
0.072 , 18.4658
0.073 , 18.4666
0.074 , 18.4674
0.075 , 18.4682
0.076 , 18.469
0.077 , 18.4698
0.078 , 18.4706
0.079 , 18.4714
0.08 , 18.4722
0.081 , 18.473
0.082 , 18.4738
0.083 , 18.4746
0.084 , 18.4754
0.085 , 18.4762
0.086 , 18.4769
0.087 , 18.4777
0.088 , 18.4785
0.089 , 18.4793
0.09 , 18.48
0.091 , 18.4808
0.092 , 18.4816
0.093 , 18.4823
0.094 , 18.4831
0.095 , 18.4838
0.096 , 18.4846
0.097 , 18.4853
0.098 , 18.4861
0.099 , 18.4868
0.1 , 18.4876
0.101 , 18.4883
0.102 , 18.4891
0.103 , 18.4898
0.104 , 18.4905
0.105 , 18.4913
0.106 , 18.492
0.107 , 18.4927
0.108 , 18.4934
0.109 , 18.4941
0.11 , 18.4949
0.111 , 18.4956
0.112 , 18.4963
0.113 , 18.497
0.114 , 18.4977
0.115 , 18.4984
0.116 , 18.4991
0.117 , 18.4998
0.118 , 18.5005
0.119 , 18.5012
0.12 , 18.5019
0.121 , 18.5025
0.122 , 18.5032
0.123 , 18.5039
0.124 , 18.5046
0.125 , 18.5053
0.126 , 18.5059
0.127 , 18.5066
0.128 , 18.5073
0.129 , 18.5079
0.13 , 18.5086
0.131 , 18.5092
0.132 , 18.5099
0.133 , 18.5106
0.134 , 18.5112
0.135 , 18.5119
0.136 , 18.5125
0.137 , 18.5131
0.138 , 18.5138
0.139 , 18.5144
0.14 , 18.5151
0.141 , 18.5157
0.142 , 18.5163
0.143 , 18.5169
0.144 , 18.5176
0.145 , 18.5182
0.146 , 18.5188
0.147 , 18.5194
0.148 , 18.52
0.149 , 18.5207
0.15 , 18.5213
0.151 , 18.5219
0.152 , 18.5225
0.153 , 18.5231
0.154 , 18.5237
0.155 , 18.5243
0.156 , 18.5249
0.157 , 18.5254
0.158 , 18.526
0.159 , 18.5266
0.16 , 18.5272
0.161 , 18.5278
0.162 , 18.5284
0.163 , 18.5289
0.164 , 18.5295
0.165 , 18.5301
0.166 , 18.5306
0.167 , 18.5312
0.168 , 18.5318
0.169 , 18.5323
0.17 , 18.5329
0.171 , 18.5334
0.172 , 18.534
0.173 , 18.5345
0.174 , 18.5351
0.175 , 18.5356
0.176 , 18.5362
0.177 , 18.5367
0.178 , 18.5372
0.179 , 18.5378
0.18 , 18.5383
0.181 , 18.5388
0.182 , 18.5394
0.183 , 18.5399
0.184 , 18.5404
0.185 , 18.5409
0.186 , 18.5414
0.187 , 18.5419
0.188 , 18.5425
0.189 , 18.543
0.19 , 18.5435
0.191 , 18.544
0.192 , 18.5445
0.193 , 18.545
0.194 , 18.5455
0.195 , 18.546
0.196 , 18.5464
0.197 , 18.5469
0.198 , 18.5474
0.199 , 18.5479
0.2 , 18.5484
0.201 , 18.5489
0.202 , 18.5493
0.203 , 18.5498
0.204 , 18.5503
0.205 , 18.5507
0.206 , 18.5512
0.207 , 18.5517
0.208 , 18.5521
0.209 , 18.5526
0.21 , 18.553
0.211 , 18.5535
0.212 , 18.5539
0.213 , 18.5544
0.214 , 18.5548
0.215 , 18.5553
0.216 , 18.5557
0.217 , 18.5561
0.218 , 18.5566
0.219 , 18.557
0.22 , 18.5574
0.221 , 18.5579
0.222 , 18.5583
0.223 , 18.5587
0.224 , 18.5591
0.225 , 18.5596
0.226 , 18.56
0.227 , 18.5604
0.228 , 18.5608
0.229 , 18.5612
0.23 , 18.5616
0.231 , 18.562
0.232 , 18.5624
0.233 , 18.5628
0.234 , 18.5632
0.235 , 18.5636
0.236 , 18.564
0.237 , 18.5644
0.238 , 18.5647
0.239 , 18.5651
0.24 , 18.5655
0.241 , 18.5659
0.242 , 18.5663
0.243 , 18.5666
0.244 , 18.567
0.245 , 18.5674
0.246 , 18.5677
0.247 , 18.5681
0.248 , 18.5685
0.249 , 18.5688
0.25 , 18.5692
0.251 , 18.5695
0.252 , 18.5699
0.253 , 18.5702
0.254 , 18.5706
0.255 , 18.5709
0.256 , 18.5713
0.257 , 18.5716
0.258 , 18.5719
0.259 , 18.5723
0.26 , 18.5726
0.261 , 18.5729
0.262 , 18.5733
0.263 , 18.5736
0.264 , 18.5739
0.265 , 18.5742
0.266 , 18.5745
0.267 , 18.5748
0.268 , 18.5752
0.269 , 18.5755
0.27 , 18.5758
0.271 , 18.5761
0.272 , 18.5764
0.273 , 18.5767
0.274 , 18.577
0.275 , 18.5773
0.276 , 18.5776
0.277 , 18.5779
0.278 , 18.5781
0.279 , 18.5784
0.28 , 18.5787
0.281 , 18.579
0.282 , 18.5793
0.283 , 18.5796
0.284 , 18.5798
0.285 , 18.5801
0.286 , 18.5804
0.287 , 18.5806
0.288 , 18.5809
0.289 , 18.5812
0.29 , 18.5814
0.291 , 18.5817
0.292 , 18.5819
0.293 , 18.5822
0.294 , 18.5824
0.295 , 18.5827
0.296 , 18.5829
0.297 , 18.5832
0.298 , 18.5834
0.299 , 18.5837
0.3 , 18.5839
0.301 , 18.5841
0.302 , 18.5844
0.303 , 18.5846
0.304 , 18.5848
0.305 , 18.585
0.306 , 18.5853
0.307 , 18.5855
0.308 , 18.5857
0.309 , 18.5859
0.31 , 18.5861
0.311 , 18.5863
0.312 , 18.5866
0.313 , 18.5868
0.314 , 18.587
0.315 , 18.5872
0.316 , 18.5874
0.317 , 18.5876
0.318 , 18.5878
0.319 , 18.588
0.32 , 18.5881
0.321 , 18.5883
0.322 , 18.5885
0.323 , 18.5887
0.324 , 18.5889
0.325 , 18.5891
0.326 , 18.5892
0.327 , 18.5894
0.328 , 18.5896
0.329 , 18.5898
0.33 , 18.5899
0.331 , 18.5901
0.332 , 18.5903
0.333 , 18.5904
0.334 , 18.5906
0.335 , 18.5907
0.336 , 18.5909
0.337 , 18.591
0.338 , 18.5912
0.339 , 18.5913
0.34 , 18.5915
0.341 , 18.5916
0.342 , 18.5918
0.343 , 18.5919
0.344 , 18.5921
0.345 , 18.5922
0.346 , 18.5923
0.347 , 18.5925
0.348 , 18.5926
0.349 , 18.5927
0.35 , 18.5928
0.351 , 18.593
0.352 , 18.5931
0.353 , 18.5932
0.354 , 18.5933
0.355 , 18.5934
0.356 , 18.5935
0.357 , 18.5936
0.358 , 18.5937
0.359 , 18.5939
0.36 , 18.594
0.361 , 18.5941
0.362 , 18.5942
0.363 , 18.5943
0.364 , 18.5943
0.365 , 18.5944
0.366 , 18.5945
0.367 , 18.5946
0.368 , 18.5947
0.369 , 18.5948
0.37 , 18.5949
0.371 , 18.5949
0.372 , 18.595
0.373 , 18.5951
0.374 , 18.5952
0.375 , 18.5952
0.376 , 18.5953
0.377 , 18.5954
0.378 , 18.5954
0.379 , 18.5955
0.38 , 18.5956
0.381 , 18.5956
0.382 , 18.5957
0.383 , 18.5957
0.384 , 18.5958
0.385 , 18.5958
0.386 , 18.5959
0.387 , 18.5959
0.388 , 18.596
0.389 , 18.596
0.39 , 18.596
0.391 , 18.5961
0.392 , 18.5961
0.393 , 18.5962
0.394 , 18.5962
0.395 , 18.5962
0.396 , 18.5962
0.397 , 18.5963
0.398 , 18.5963
0.399 , 18.5963
0.4 , 18.5963
0.401 , 18.5963
0.402 , 18.5964
0.403 , 18.5964
0.404 , 18.5964
0.405 , 18.5964
0.406 , 18.5964
0.407 , 18.5964
0.408 , 18.5964
0.409 , 18.5964
0.41 , 18.5964
0.411 , 18.5964
0.412 , 18.5964
0.413 , 18.5964
0.414 , 18.5964
0.415 , 18.5964
0.416 , 18.5964
0.417 , 18.5963
0.418 , 18.5963
0.419 , 18.5963
0.42 , 18.5963
0.421 , 18.5963
0.422 , 18.5962
0.423 , 18.5962
0.424 , 18.5962
0.425 , 18.5962
0.426 , 18.5961
0.427 , 18.5961
0.428 , 18.5961
0.429 , 18.596
0.43 , 18.596
0.431 , 18.5959
0.432 , 18.5959
0.433 , 18.5958
0.434 , 18.5958
0.435 , 18.5957
0.436 , 18.5957
0.437 , 18.5956
0.438 , 18.5956
0.439 , 18.5955
0.44 , 18.5955
0.441 , 18.5954
0.442 , 18.5953
0.443 , 18.5953
0.444 , 18.5952
0.445 , 18.5951
0.446 , 18.5951
0.447 , 18.595
0.448 , 18.5949
0.449 , 18.5949
0.45 , 18.5948
0.451 , 18.5947
0.452 , 18.5946
0.453 , 18.5945
0.454 , 18.5945
0.455 , 18.5944
0.456 , 18.5943
0.457 , 18.5942
0.458 , 18.5941
0.459 , 18.594
0.46 , 18.5939
0.461 , 18.5938
0.462 , 18.5937
0.463 , 18.5936
0.464 , 18.5935
0.465 , 18.5934
0.466 , 18.5933
0.467 , 18.5932
0.468 , 18.5931
0.469 , 18.593
0.47 , 18.5929
0.471 , 18.5927
0.472 , 18.5926
0.473 , 18.5925
0.474 , 18.5924
0.475 , 18.5923
0.476 , 18.5922
0.477 , 18.592
0.478 , 18.5919
0.479 , 18.5918
0.48 , 18.5916
0.481 , 18.5915
0.482 , 18.5914
