a, Fruling'
1.36825 , 8.75176
1.36925 , 8.72231
1.37025 , 8.69284
1.37125 , 8.66337
1.37225 , 8.63388
1.37325 , 8.60439
1.37425 , 8.57489
1.37525 , 8.54538
1.37625 , 8.51586
1.37725 , 8.48634
1.37825 , 8.4568
1.37925 , 8.42726
1.38025 , 8.3977
1.38125 , 8.36814
1.38225 , 8.33857
1.38325 , 8.30899
1.38425 , 8.2794
1.38525 , 8.2498
1.38625 , 8.22019
1.38725 , 8.19058
1.38825 , 8.16095
1.38925 , 8.13132
1.39025 , 8.10168
1.39125 , 8.07203
1.39225 , 8.04237
1.39325 , 8.0127
1.39425 , 7.98302
1.39525 , 7.95333
1.39625 , 7.92364
1.39725 , 7.89393
1.39825 , 7.86422
1.39925 , 7.8345
1.40025 , 7.80477
1.40125 , 7.77503
1.40225 , 7.74528
1.40325 , 7.71552
1.40425 , 7.68576
1.40525 , 7.65598
1.40625 , 7.6262
1.40725 , 7.59641
1.40825 , 7.56661
1.40925 , 7.5368
1.41025 , 7.50698
1.41125 , 7.47715
1.41225 , 7.44731
1.41325 , 7.41747
1.41425 , 7.38762
1.41525 , 7.35775
1.41625 , 7.32788
1.41725 , 7.298
1.41825 , 7.26811
1.41925 , 7.23821
1.42025 , 7.20831
1.42125 , 7.17839
1.42225 , 7.14847
1.42325 , 7.11853
1.42425 , 7.08859
1.42525 , 7.05864
1.42625 , 7.02868
1.42725 , 6.99871
1.42825 , 6.96873
1.42925 , 6.93875
1.43025 , 6.90875
1.43125 , 6.87875
1.43225 , 6.84874
1.43325 , 6.81872
1.43425 , 6.78869
1.43525 , 6.75865
1.43625 , 5.73427
1.43725 , 5.72645
1.43825 , 5.71862
1.43925 , 5.71078
1.44025 , 5.70292
1.44125 , 5.69505
1.44225 , 5.68716
1.44325 , 5.67927
1.44425 , 5.67136
1.44525 , 5.66344
1.44625 , 5.6555
1.44725 , 5.64755
1.44825 , 5.63959
1.44925 , 5.63162
1.45025 , 5.62363
1.45125 , 5.61563
1.45225 , 5.60762
1.45325 , 6.62586
1.45425 , 6.64841
1.45525 , 6.6709
1.45625 , 6.69333
1.45725 , 6.7157
1.45825 , 6.73801
1.45925 , 6.76026
1.46025 , 6.78245
1.46125 , 6.80458
1.46225 , 6.82666
1.46325 , 6.84867
1.46425 , 6.87063
1.46525 , 6.89253
1.46625 , 6.91436
1.46725 , 6.93614
1.46825 , 6.95786
1.46925 , 6.97952
1.47025 , 7.00113
1.47125 , 7.02267
1.47225 , 7.04416
1.47325 , 7.06558
1.47425 , 7.08695
1.47525 , 7.10826
1.47625 , 7.12951
1.47725 , 7.1507
1.47825 , 7.17184
1.47925 , 7.19292
1.48025 , 7.21393
1.48125 , 7.23489
1.48225 , 7.25579
1.48325 , 7.27664
1.48425 , 7.29742
1.48525 , 7.31815
1.48625 , 7.33882
1.48725 , 7.35943
